Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index,Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
abstract,1,0.022727272727272728,1,0.022727272727272728,0.0003872966692486445,0.002277904328018223
category,50,1.1363636363636365,16,0.36363636363636365,0.019364833462432222,0.03644646924829157
collective,66,1.5,27,0.6136363636363636,0.025561580170410533,0.06150341685649203
datatype,37,0.8409090909090909,9,0.20454545454545456,0.014329976762199844,0.02050113895216401
enumeration,4,0.09090909090909091,1,0.022727272727272728,0.001549186676994578,0.002277904328018223
event,0,0.0,0,0.0,0.0,0.0
historicalRole,0,0.0,0,0.0,0.0,0.0
historicalRoleMixin,0,0.0,0,0.0,0.0,0.0
kind,342,7.7727272727272725,43,0.9772727272727273,0.13245546088303642,0.0979498861047836
mixin,4,0.09090909090909091,3,0.06818181818181818,0.001549186676994578,0.00683371298405467
mode,21,0.4772727272727273,8,0.18181818181818182,0.008133230054221533,0.018223234624145785
phase,93,2.1136363636363638,20,0.45454545454545453,0.03601859024012394,0.04555808656036447
phaseMixin,0,0.0,0,0.0,0.0,0.0
quality,18,0.4090909090909091,3,0.06818181818181818,0.006971340046475601,0.00683371298405467
quantity,1,0.022727272727272728,1,0.022727272727272728,0.0003872966692486445,0.002277904328018223
relator,229,5.204545454545454,40,0.9090909090909091,0.08869093725793958,0.09111617312072894
role,350,7.954545454545454,40,0.9090909090909091,0.13555383423702555,0.09111617312072894
roleMixin,31,0.7045454545454546,13,0.29545454545454547,0.012006196746707979,0.029612756264236904
situation,0,0.0,0,0.0,0.0,0.0
subkind,270,6.136363636363637,34,0.7727272727272727,0.104570100697134,0.0774487471526196
type,6,0.13636363636363635,2,0.045454545454545456,0.0023237800154918666,0.004555808656036446
none_c,0,0.0,0,0.0,0.0,0.0
other_c,0,0.0,0,0.0,0.0,0.0
bringsAbout,0,0.0,0,0.0,0.0,0.0
characterization,33,0.75,11,0.25,0.012780790085205267,0.025056947608200455
comparative,1,0.022727272727272728,1,0.022727272727272728,0.0003872966692486445,0.002277904328018223
componentOf,137,3.1136363636363638,20,0.45454545454545453,0.05305964368706429,0.04555808656036447
creation,0,0.0,0,0.0,0.0,0.0
derivation,72,1.6363636363636365,22,0.5,0.027885360185902403,0.05011389521640091
externalDependence,0,0.0,0,0.0,0.0,0.0
historicalDependence,0,0.0,0,0.0,0.0,0.0
instantiation,0,0.0,0,0.0,0.0,0.0
manifestation,0,0.0,0,0.0,0.0,0.0
material,123,2.7954545454545454,29,0.6590909090909091,0.04763749031758327,0.06605922551252848
mediation,466,10.590909090909092,39,0.8863636363636364,0.18048024786986833,0.0888382687927107
memberOf,52,1.1818181818181819,18,0.4090909090909091,0.020139426800929512,0.04100227790432802
participation,0,0.0,0,0.0,0.0,0.0
participational,0,0.0,0,0.0,0.0,0.0
subCollectionOf,14,0.3181818181818182,5,0.11363636363636363,0.005422153369481022,0.011389521640091117
subQuantityOf,0,0.0,0,0.0,0.0,0.0
termination,0,0.0,0,0.0,0.0,0.0
triggers,0,0.0,0,0.0,0.0,0.0
none_r,82,1.8636363636363635,13,0.29545454545454547,0.031758326878388844,0.029612756264236904
other_r,79,1.7954545454545454,20,0.45454545454545453,0.030596436870642913,0.04555808656036447
