Stereotype,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none_c,other_c,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none_r,other_r
abstract,0.10847133903591596,0.010422909427079158,0.022034809646843914,0.00526851369091641,0.0005285888786043871,0.0,0.0,0.0,0.07696464901046392,0.0016241442559351144,0.0046190746656773335,0.057349962252387976,0.0,0.0016241442559351144,0.0005285888786043871,0.0470311741905108,0.057349962252387934,0.00806947791830502,0.0,0.0769646490104639,0.0010697655580785143,0.0,0.0,0.0,0.04703117419051071,0.10847133903591596,0.10847133903591595,0.0,0.01601763945202818,0.0,0.0,0.0,0.0,0.024972466265017493,0.06507264574308778,0.03711931943165937,0.0,0.0,0.002775199730153083,0.0,0.0,0.0,0.07696464901046363,0.01399577171818292
category,0.010422909427079158,1.2695542513663816,0.29204143587147874,0.2633354871939149,0.047031174190510686,0.0,0.0,0.0,0.8062497996807992,0.03561389197413603,0.22087888491045846,0.39153625043039986,0.0,0.15086184974394834,0.10847133903591596,0.5970878735206545,0.7147327674786462,0.31145408586362056,0.0,0.7822109432467815,0.021159173367155504,0.0,0.0,0.0,0.2004174904363793,0.010422909427079158,0.5136891666960866,0.0,0.3575655049573535,0.0,0.0,0.0,0.0,0.5147578832014044,0.7654472109591484,0.27502798091505937,0.0,0.0,0.05545637215481822,0.0,0.0,0.0,0.4840460039494323,0.2932371077734758
collective,0.022034809646843914,0.29204143587147874,1.5339012580752471,0.1813873232239141,0.02497246626501759,0.0,0.0,0.0,0.8443074412293259,0.07200614761078442,0.1548570169201987,0.3671308377678428,0.0,0.10124260787793428,0.057349962252388115,0.8173770042835755,0.998694460945588,0.2874324141938027,0.0,0.7931860644457973,0.08179383963880121,0.0,0.0,0.0,0.200384010851097,0.022034809646843914,0.5633433355714345,0.0,0.4687030652685701,0.0,0.0,0.0,0.0,0.5223317240901569,0.8272888590424271,0.5204194835189659,0.0,0.0,0.4109150511106298,0.0,0.0,0.0,0.29132684979103596,0.6529234458555265
datatype,0.00526851369091641,0.2633354871939149,0.1813873232239141,0.893058477682596,0.10847133903591598,0.0,0.0,0.0,0.5284434158500464,0.18910614730061298,0.1370438135985811,0.45461549190112077,0.0,0.15759945727516095,0.00526851369091641,0.528850349153072,0.5722490424459001,0.14417343196556837,0.0,0.5610162218316407,0.11321126384822802,0.0,0.0,0.0,0.22946881588120172,0.00526851369091641,0.3111595648617083,0.0,0.4629659803515477,0.0,0.0,0.0,0.0,0.5115112868440755,0.673170830157548,0.18966041699810726,0.0,0.0,0.12822411091493918,0.0,0.0,0.0,0.4996321109213799,0.33772120367853886
enumeration,0.0005285888786043871,0.047031174190510686,0.02497246626501759,0.10847133903591598,0.10847133903591596,0.0,0.0,0.0,0.05734996225238799,0.0769646490104643,0.0046190746656773335,0.057349962252387976,0.0,0.0016241442559351144,0.0005285888786043871,0.034588845083314154,0.0650726457430878,0.00806947791830502,0.0,0.10847133903591598,0.0010697655580785143,0.0,0.0,0.0,0.006625869972220574,0.0005285888786043871,0.10847133903591595,0.0,0.03711931943165957,0.0,0.0,0.0,0.0,0.10847133903591602,0.07696464901046385,0.01213919433469951,0.0,0.0,0.002775199730153083,0.0,0.0,0.0,0.00806947791830498,0.01399577171818292
event,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historicalRole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historicalRoleMixin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kind,0.07696464901046392,0.8062497996807992,0.8443074412293259,0.5284434158500464,0.05734996225238799,0.0,0.0,0.0,2.704623533499539,0.14666752578572873,0.5268339050468639,0.9215914644589934,0.0,0.19006621907855686,0.10847133903591599,1.5412630843693627,1.7871671362877783,0.5273218964665773,0.0,1.5862349928676902,0.1337860223842475,0.0,0.0,0.0,0.5724777510310105,0.07696464901046392,1.1627758707609124,0.0,0.8553114537705837,0.0,0.0,0.0,0.0,1.1609936327957868,1.7732949845118777,0.6822684954756747,0.0,0.0,0.3809815762906764,0.0,0.0,0.0,0.7542704442800338,0.9782031268746059
mixin,0.0016241442559351144,0.03561389197413603,0.07200614761078442,0.18910614730061298,0.0769646490104643,0.0,0.0,0.0,0.14666752578572873,0.2923089726456129,0.014226293215926111,0.09559065176082406,0.0,0.004993374823929253,0.0016241442559351144,0.1470744590887544,0.2055115860599564,0.058523878638095675,0.0,0.18691978866755887,0.0032879406518547677,0.0,0.0,0.0,0.0204332063408567,0.0016241442559351144,0.16632671530242787,0.0,0.12850325345746846,0.0,0.0,0.0,0.0,0.23544506087991002,0.1922986169371722,0.0690473267063466,0.0,0.0,0.008537880520241153,0.0,0.0,0.0,0.041141589738635215,0.03910051395273571
mode,0.0046190746656773335,0.22087888491045846,0.1548570169201987,0.1370438135985811,0.0046190746656773335,0.0,0.0,0.0,0.5268339050468639,0.014226293215926111,0.7143008299940776,0.14744035085156398,0.0,0.014226293215926111,0.0046190746656773335,0.38317260669550457,0.46839677807566177,0.07202691334528478,0.0,0.35492120389434634,0.06916313153016153,0.0,0.0,0.0,0.4192459010009933,0.0046190746656773335,0.15618592370794243,0.0,0.19660837088746153,0.0,0.0,0.0,0.0,0.24210741291532223,0.39989311239267356,0.2544310308325946,0.0,0.0,0.08210827940077574,0.0,0.0,0.0,0.23203162075052192,0.3427882946900919
phase,0.057349962252387976,0.39153625043039986,0.3671308377678428,0.45461549190112077,0.057349962252387976,0.0,0.0,0.0,0.9215914644589934,0.09559065176082406,0.14744035085156398,1.44790929619548,0.0,0.1797474310166799,0.0470311741905107,0.7252355741186071,0.7747837356966363,0.1700225848217018,0.0,0.7889081368226278,0.1849073991677754,0.0,0.0,0.0,0.28946786664176233,0.057349962252387976,0.549253719135744,0.0,0.4132870747549548,0.0,0.0,0.0,0.0,0.5282637277155682,0.8373901824445145,0.4472335574589568,0.0,0.0,0.13364770170355691,0.0,0.0,0.0,0.5053607539382401,0.37829827712607267
phaseMixin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quality,0.0016241442559351144,0.15086184974394834,0.10124260787793428,0.15759945727516095,0.0016241442559351144,0.0,0.0,0.0,0.19006621907855686,0.004993374823929253,0.014226293215926111,0.1797474310166799,0.0,0.2923089726456129,0.10847133903591638,0.24891027935278487,0.15281699407092952,0.024909365986205176,0.0,0.21740358932733267,0.0032879406518547677,0.0,0.0,0.0,0.18747011450737994,0.0016241442559351144,0.16632671530242793,0.0,0.12494988974344484,0.0,0.0,0.0,0.0,0.1158632450038574,0.2292955925947086,0.03758513943951759,0.0,0.0,0.008537880520241153,0.0,0.0,0.0,0.16040042150255013,0.04339928230381944
