Stereotype,x_value,y_value,distance_from_origin,rank,quadrant
abstract,0.0003872966692486445,0.022727272727272728,0.022730572459351873,25,Q3
category,0.019364833462432222,0.36363636363636365,0.3641516191556827,13,Q1
collective,0.025561580170410533,0.6136363636363636,0.6141685283028331,7,Q1
datatype,0.014329976762199844,0.20454545454545456,0.2050468024847298,17,Q1
enumeration,0.001549186676994578,0.022727272727272728,0.02278001108384305,23,Q4
event,0.0,0.0,0.0,35,Q3
historicalRole,0.0,0.0,0.0,35,Q3
historicalRoleMixin,0.0,0.0,0.0,35,Q3
kind,0.13245546088303642,0.9772727272727273,0.9862081081540609,1,Q1
mixin,0.001549186676994578,0.06818181818181818,0.06819941575951138,21,Q1
mode,0.008133230054221533,0.18181818181818182,0.18200000184281406,18,Q1
phase,0.03601859024012394,0.45454545454545453,0.45597029408813444,10,Q1
phaseMixin,0.0,0.0,0.0,35,Q3
quality,0.006971340046475601,0.06818181818181818,0.06853728848314694,20,Q1
quantity,0.0003872966692486445,0.022727272727272728,0.022730572459351873,25,Q3
relator,0.08869093725793958,0.9090909090909091,0.9134070085911468,3,Q1
role,0.13555383423702555,0.9090909090909091,0.919141514114173,2,Q1
roleMixin,0.012006196746707979,0.29545454545454547,0.29569838888650163,15,Q1
situation,0.0,0.0,0.0,35,Q3
subkind,0.104570100697134,0.7727272727272727,0.7797706996138913,5,Q1
type,0.0023237800154918666,0.045454545454545456,0.04551390618305287,22,Q1
none_c,0.0,0.0,0.0,35,Q3
other_c,0.0,0.0,0.0,35,Q3
bringsAbout,0.0,0.0,0.0,35,Q3
characterization,0.012780790085205267,0.25,0.25032648400679075,16,Q1
comparative,0.0003872966692486445,0.022727272727272728,0.022730572459351873,25,Q3
componentOf,0.05305964368706429,0.45454545454545453,0.45763183459647133,9,Q1
creation,0.0,0.0,0.0,35,Q3
derivation,0.027885360185902403,0.5,0.5007769895998592,8,Q1
externalDependence,0.0,0.0,0.0,35,Q3
historicalDependence,0.0,0.0,0.0,35,Q3
instantiation,0.0,0.0,0.0,35,Q3
manifestation,0.0,0.0,0.0,35,Q3
material,0.04763749031758327,0.6590909090909091,0.6608102276221508,6,Q1
mediation,0.18048024786986833,0.8863636363636364,0.9045516103235557,4,Q1
memberOf,0.020139426800929512,0.4090909090909091,0.40958633816656587,12,Q1
participation,0.0,0.0,0.0,35,Q3
participational,0.0,0.0,0.0,35,Q3
subCollectionOf,0.005422153369481022,0.11363636363636363,0.11376564897919776,19,Q1
subQuantityOf,0.0,0.0,0.0,35,Q3
termination,0.0,0.0,0.0,35,Q3
triggers,0.0,0.0,0.0,35,Q3
none_r,0.031758326878388844,0.29545454545454547,0.2971564903478749,14,Q1
other_r,0.030596436870642913,0.45454545454545453,0.4555740468871258,11,Q1
