Stereotype,Stereotype2,Absolute Value,Sign,Classification
collective,category,0.03654435019808827,positive,very_weak
datatype,category,0.11798626471077009,positive,very_weak
kind,category,0.11133318293158305,positive,very_weak
phase,category,0.23551185768365623,positive,weak
relator,category,0.065322047723084,positive,very_weak
role,category,0.18224078155812617,positive,very_weak
roleMixin,category,0.02918780994615664,positive,very_weak
subkind,category,0.12206718593880915,positive,very_weak
characterization,category,0.13148522452368833,positive,very_weak
componentOf,category,0.0030407290590533527,positive,very_weak
derivation,category,0.12219611868550904,positive,very_weak
material,category,0.1390003212231753,positive,very_weak
mediation,category,0.09571126975457356,positive,very_weak
memberOf,category,0.018629010133460164,positive,very_weak
none_r,category,0.19382818827696432,positive,very_weak
other_r,category,0.20774019121056259,positive,weak
category,collective,0.03654435019808827,positive,very_weak
datatype,collective,0.1145408263217949,positive,very_weak
kind,collective,0.16252146859566297,positive,very_weak
phase,collective,0.019162487161055206,positive,very_weak
relator,collective,0.1391554184091373,positive,very_weak
role,collective,0.09306418175086591,positive,very_weak
roleMixin,collective,0.04350352311107422,positive,very_weak
subkind,collective,0.10133772323876095,positive,very_weak
characterization,collective,0.02731336741439411,positive,very_weak
componentOf,collective,0.23720587576250182,positive,weak
derivation,collective,0.06645383085417475,positive,very_weak
material,collective,0.06256203624244991,positive,very_weak
mediation,collective,0.13086097323144988,positive,very_weak
memberOf,collective,0.4322689553630309,positive,moderate
none_r,collective,0.21222532439234076,positive,weak
other_r,collective,0.4099714490191298,positive,moderate
category,datatype,0.11798626471077009,positive,very_weak
collective,datatype,0.1145408263217949,positive,very_weak
kind,datatype,0.028119564123163257,positive,very_weak
phase,datatype,0.3584949586619557,positive,weak
relator,datatype,0.04768693414190498,positive,very_weak
role,datatype,0.09242383173929135,positive,very_weak
roleMixin,datatype,0.16705271195968435,positive,very_weak
subkind,datatype,0.11115875758236987,positive,very_weak
characterization,datatype,0.22632738762454482,positive,weak
componentOf,datatype,0.03312840668136357,positive,very_weak
derivation,datatype,0.29450607357147135,positive,weak
material,datatype,0.28801577864864725,positive,weak
mediation,datatype,0.059428921863357735,positive,very_weak
memberOf,datatype,0.11343530282172073,positive,very_weak
none_r,datatype,0.45493078523226566,positive,moderate
other_r,datatype,0.016751874595941407,positive,very_weak
category,kind,0.11133318293158305,positive,very_weak
collective,kind,0.16252146859566297,positive,very_weak
datatype,kind,0.028119564123163257,positive,very_weak
phase,kind,0.1261891471563994,positive,very_weak
relator,kind,0.0442531514136554,positive,very_weak
role,kind,0.05109941240889621,positive,very_weak
roleMixin,kind,0.08589018006268047,positive,very_weak
subkind,kind,0.3348093093724249,positive,weak
characterization,kind,0.16107587377956495,positive,very_weak
componentOf,kind,0.30841096316953415,positive,weak
derivation,kind,0.1743753734967714,positive,very_weak
material,kind,0.17257716169794962,positive,very_weak
mediation,kind,0.07468781409864096,positive,very_weak
memberOf,kind,0.06648564910587067,positive,very_weak
none_r,kind,0.10597714558931227,positive,very_weak
other_r,kind,0.22889079171997667,positive,weak
category,phase,0.23551185768365623,positive,weak
collective,phase,0.019162487161055206,positive,very_weak
datatype,phase,0.3584949586619557,positive,weak
kind,phase,0.1261891471563994,positive,very_weak
relator,phase,0.14095189274529787,positive,very_weak
role,phase,0.12202022099191981,positive,very_weak
roleMixin,phase,0.2584700933347078,positive,weak
subkind,phase,0.24627051354509708,positive,weak
characterization,phase,0.2522745448217273,positive,weak
componentOf,phase,0.19484675465485587,positive,very_weak
derivation,phase,0.12497773393983211,positive,very_weak
material,phase,0.04209815008207998,positive,very_weak
mediation,phase,0.13674210826918654,positive,very_weak
memberOf,phase,0.24418175858273367,positive,weak
none_r,phase,0.39834417691821516,positive,weak
other_r,phase,0.06645194640606111,positive,very_weak
category,relator,0.065322047723084,positive,very_weak
collective,relator,0.1391554184091373,positive,very_weak
datatype,relator,0.04768693414190498,positive,very_weak
kind,relator,0.0442531514136554,positive,very_weak
phase,relator,0.14095189274529787,positive,very_weak
role,relator,0.556378168963377,positive,moderate
roleMixin,relator,0.22185103936842854,positive,weak
subkind,relator,0.17560016973383863,positive,very_weak
characterization,relator,0.10448012097286784,positive,very_weak
componentOf,relator,0.17861211466642893,positive,very_weak
derivation,relator,0.34219869588198504,positive,weak
material,relator,0.39065077971174744,positive,weak
mediation,relator,0.9659433802624712,positive,very_strong
memberOf,relator,0.11566573855142145,positive,very_weak
none_r,relator,0.03441535363185041,positive,very_weak
other_r,relator,0.06277225661959962,positive,very_weak
category,role,0.18224078155812617,positive,very_weak
collective,role,0.09306418175086591,positive,very_weak
datatype,role,0.09242383173929135,positive,very_weak
kind,role,0.05109941240889621,positive,very_weak
phase,role,0.12202022099191981,positive,very_weak
relator,role,0.556378168963377,positive,moderate
roleMixin,role,0.1357350890823833,positive,very_weak
subkind,role,0.10397893527191898,positive,very_weak
characterization,role,0.2684338940341209,positive,weak
componentOf,role,0.19922884703473778,positive,very_weak
derivation,role,0.17581831296393563,positive,very_weak
material,role,0.23253234385331667,positive,weak
mediation,role,0.5696059152547371,positive,moderate
memberOf,role,0.09889233768657592,positive,very_weak
none_r,role,0.05042422883314416,positive,very_weak
other_r,role,0.17206428430643486,positive,very_weak
category,roleMixin,0.02918780994615664,positive,very_weak
collective,roleMixin,0.04350352311107422,positive,very_weak
datatype,roleMixin,0.16705271195968435,positive,very_weak
kind,roleMixin,0.08589018006268047,positive,very_weak
phase,roleMixin,0.2584700933347078,positive,weak
relator,roleMixin,0.22185103936842854,positive,weak
role,roleMixin,0.1357350890823833,positive,very_weak
subkind,roleMixin,0.03695621961370502,positive,very_weak
characterization,roleMixin,0.14185778548738293,positive,very_weak
componentOf,roleMixin,0.11042547845046102,positive,very_weak
derivation,roleMixin,0.14720650577369537,positive,very_weak
material,roleMixin,0.11994230333398352,positive,very_weak
mediation,roleMixin,0.2209262019386838,positive,weak
memberOf,roleMixin,0.24461120090074853,positive,weak
none_r,roleMixin,0.26698027463457347,positive,weak
other_r,roleMixin,0.07448487603387915,positive,very_weak
category,subkind,0.12206718593880915,positive,very_weak
collective,subkind,0.10133772323876095,positive,very_weak
datatype,subkind,0.11115875758236987,positive,very_weak
kind,subkind,0.3348093093724249,positive,weak
phase,subkind,0.24627051354509708,positive,weak
relator,subkind,0.17560016973383863,positive,very_weak
role,subkind,0.10397893527191898,positive,very_weak
roleMixin,subkind,0.03695621961370502,positive,very_weak
characterization,subkind,0.12763847461941485,positive,very_weak
componentOf,subkind,0.3803743797011318,positive,weak
derivation,subkind,0.10402156029522203,positive,very_weak
material,subkind,0.05661774427637796,positive,very_weak
mediation,subkind,0.19301550659311073,positive,very_weak
memberOf,subkind,0.14148809075936034,positive,very_weak
none_r,subkind,0.043791981448355076,positive,very_weak
other_r,subkind,0.08105859637436012,positive,very_weak
category,characterization,0.13148522452368833,positive,very_weak
collective,characterization,0.02731336741439411,positive,very_weak
datatype,characterization,0.22632738762454482,positive,weak
kind,characterization,0.16107587377956495,positive,very_weak
phase,characterization,0.2522745448217273,positive,weak
relator,characterization,0.10448012097286784,positive,very_weak
role,characterization,0.2684338940341209,positive,weak
roleMixin,characterization,0.14185778548738293,positive,very_weak
subkind,characterization,0.12763847461941485,positive,very_weak
componentOf,characterization,0.11920539671854202,positive,very_weak
derivation,characterization,0.10621469446267115,positive,very_weak
material,characterization,0.30446572438448566,positive,weak
mediation,characterization,0.12752112443829416,positive,very_weak
memberOf,characterization,0.1353364863319,positive,very_weak
none_r,characterization,0.24947117157941182,positive,weak
other_r,characterization,0.12001236137840207,positive,very_weak
category,componentOf,0.0030407290590533527,positive,very_weak
collective,componentOf,0.23720587576250182,positive,weak
datatype,componentOf,0.03312840668136357,positive,very_weak
kind,componentOf,0.30841096316953415,positive,weak
phase,componentOf,0.19484675465485587,positive,very_weak
relator,componentOf,0.17861211466642893,positive,very_weak
role,componentOf,0.19922884703473778,positive,very_weak
roleMixin,componentOf,0.11042547845046102,positive,very_weak
subkind,componentOf,0.3803743797011318,positive,weak
characterization,componentOf,0.11920539671854202,positive,very_weak
derivation,componentOf,0.2518401012015032,positive,weak
material,componentOf,0.2458662787450264,positive,weak
mediation,componentOf,0.13408496275753662,positive,very_weak
