Stereotype,category,collective,datatype,kind,mode,phase,relator,role,roleMixin,subkind,characterization,componentOf,derivation,material,mediation,memberOf,subCollectionOf,none_r,other_r
category,1.0,0.11467216020540867,0.085183541999992,-0.20173664619648224,0.1336306209562122,0.25877458475338283,0.0747017880833996,0.23904572186687872,0.02824162720642928,0.07174300539794394,0.1091089451179962,-0.120761472884912,0.0944911182523068,0.045305023518296864,-0.02706659809803834,-0.05241424183609591,-0.2706659809803834,0.2353468933869107,-0.2156454872944857
collective,0.11467216020540867,1.0,-0.06048758095342483,-0.12100640283171157,0.13201967239688991,0.06817466567532182,-0.08856148855400953,0.0738012404616746,-0.09997918443513878,-0.09619174323913846,0.026948402781814772,0.2556549962824568,-0.04667600280093366,0.02014148736276902,0.010027613959936447,0.5652909360936715,0.284115728864866,-0.20228346618272267,0.44313532688959184
datatype,0.085183541999992,-0.06048758095342483,1.0,0.07733088933397006,0.05312127152597305,0.3291804799191294,-0.035634832254989916,-0.23162640965743447,-0.20488730980894157,-0.1283377895839496,0.2277100170213244,-0.010286889997472794,0.2817180849095055,0.24583373920350934,0.004034850217792017,-0.07813453848974924,-0.004034850217792017,0.41258129509471797,0.10286889997472795
kind,-0.20173664619648224,-0.12100640283171157,0.07733088933397006,1.0,-0.3234983196103152,0.13921151159742615,-0.04822428221704121,-0.04822428221704121,0.09875443336644377,0.281193469771011,-0.26413527189768715,0.13921151159742615,0.15249857033260467,0.21204065721006787,-0.0546032472424634,-0.18328047158971922,0.0546032472424634,-0.23549134110459669,-0.16705381391691138
mode,0.1336306209562122,0.13201967239688991,0.05312127152597305,-0.3234983196103152,1.0,-0.07530800950958867,-0.4658474953124562,-0.2608745973749755,-0.046964663578423126,-0.3067859955389482,0.6804138174397717,-0.07530800950958867,-0.2357022603955158,-0.4068381021724862,-0.38821675738207223,0.3268602252303067,0.016878989451394443,0.08218816126224048,0.2797154638927579
phase,0.25877458475338283,0.06817466567532182,0.3291804799191294,0.13921151159742615,-0.07530800950958867,1.0,0.1299038105676658,0.1299038105676658,-0.19098802789444014,0.16832508230603463,0.21081851067789195,0.175,0.09128709291752769,-0.01750752438129634,0.0392232270276368,0.16878989451394444,-0.18304172612897177,0.40926005977380026,0.08333333333333333
relator,0.0747017880833996,-0.08856148855400953,-0.035634832254989916,-0.04822428221704121,-0.4658474953124562,0.1299038105676658,1.0,0.45,0.20478155158843714,0.2057983021710106,-0.18257418583505539,-0.18763883748662838,0.31622776601683794,0.43969686527576396,0.8831760866327847,-0.2192645048267573,0.11322770341445958,0.03150485409052879,-0.18763883748662838
role,0.23904572186687872,0.0738012404616746,-0.23162640965743447,-0.04822428221704121,-0.2608745973749755,0.1299038105676658,0.45,1.0,0.20478155158843714,0.2057983021710106,-0.36514837167011077,-0.18763883748662838,0.15811388300841897,0.2729152956884052,0.3849741916091626,-0.2192645048267573,0.11322770341445958,0.03150485409052879,-0.18763883748662838
roleMixin,0.02824162720642928,-0.09997918443513878,-0.20488730980894157,0.09875443336644377,-0.046964663578423126,-0.19098802789444014,0.20478155158843714,0.20478155158843714,1.0,-0.0054030379016468694,-0.14379932713576268,-0.09094667994973339,-0.24906774069335894,-0.2698865812167362,0.07491166777664257,-0.2348684718811672,-0.07491166777664257,-0.20099255583126552,-0.09094667994973339
subkind,0.07174300539794394,-0.09619174323913846,-0.1283377895839496,0.281193469771011,-0.3067859955389482,0.16832508230603463,0.2057983021710106,0.2057983021710106,-0.0054030379016468694,1.0,-0.18786728732554484,0.2772413120334688,-0.10846522890932808,0.0676066257740047,0.1475797711023173,-0.21057989315866538,-0.1475797711023173,-0.0054030379016468694,-0.1584236068762679
characterization,0.1091089451179962,0.026948402781814772,0.2277100170213244,-0.26413527189768715,0.6804138174397717,0.21081851067789195,-0.18257418583505539,-0.36514837167011077,-0.14379932713576268,-0.18786728732554484,1.0,0.10540925533894598,-0.1574591643244434,-0.35986374603287324,-0.12403473458920847,0.2668802563418119,-0.041344911529736156,0.20131905799006777,0.10540925533894598
componentOf,-0.120761472884912,0.2556549962824568,-0.010286889997472794,0.13921151159742615,-0.07530800950958867,0.175,-0.18763883748662838,-0.18763883748662838,-0.09094667994973339,0.2772413120334688,0.10540925533894598,1.0,-0.27386127875258304,-0.2100902925755561,-0.10459527207369815,0.075955452531275,-0.0392232270276368,-0.09094667994973339,0.26666666666666666
derivation,0.0944911182523068,-0.04667600280093366,0.2817180849095055,0.15249857033260467,-0.2357022603955158,0.09128709291752769,0.31622776601683794,0.15811388300841897,-0.24906774069335894,-0.10846522890932808,-0.1574591643244434,-0.27386127875258304,1.0,0.7191949522280762,0.35805743701971643,-0.09245003270420485,0.21483446221182986,-0.04981354813867179,-0.09128709291752769
material,0.045305023518296864,0.02014148736276902,0.24583373920350934,0.21204065721006787,-0.4068381021724862,-0.01750752438129634,0.43969686527576396,0.2729152956884052,-0.2698865812167362,0.0676066257740047,-0.35986374603287324,-0.2100902925755561,0.7191949522280762,1.0,0.49785866253711797,-0.08422015601530061,0.2575131013123024,0.04537915967361051,-0.2100902925755561
mediation,-0.02706659809803834,0.010027613959936447,0.004034850217792017,-0.0546032472424634,-0.38821675738207223,0.0392232270276368,0.8831760866327847,0.3849741916091626,0.07491166777664257,0.1475797711023173,-0.12403473458920847,-0.10459527207369815,0.35805743701971643,0.49785866253711797,1.0,-0.13903017140231755,0.1282051282051282,-0.08204611232679901,-0.10459527207369815
memberOf,-0.05241424183609591,0.5652909360936715,-0.07813453848974924,-0.18328047158971922,0.3268602252303067,0.16878989451394444,-0.2192645048267573,-0.2192645048267573,-0.2348684718811672,-0.21057989315866538,0.2668802563418119,0.075955452531275,-0.09245003270420485,-0.08422015601530061,-0.13903017140231755,1.0,-0.006620484352491312,0.06907896231799035,0.2616243364966139
subCollectionOf,-0.2706659809803834,0.284115728864866,-0.004034850217792017,0.0546032472424634,0.016878989451394443,-0.18304172612897177,0.11322770341445958,0.11322770341445958,-0.07491166777664257,-0.1475797711023173,-0.041344911529736156,-0.0392232270276368,0.21483446221182986,0.2575131013123024,0.1282051282051282,-0.006620484352491312,1.0,-0.07491166777664257,0.10459527207369815
none_r,0.2353468933869107,-0.20228346618272267,0.41258129509471797,-0.23549134110459669,0.08218816126224048,0.40926005977380026,0.03150485409052879,0.03150485409052879,-0.20099255583126552,-0.0054030379016468694,0.20131905799006777,-0.09094667994973339,-0.04981354813867179,0.04537915967361051,-0.08204611232679901,0.06907896231799035,-0.07491166777664257,1.0,0.009094667994973339
other_r,-0.2156454872944857,0.44313532688959184,0.10286889997472795,-0.16705381391691138,0.2797154638927579,0.08333333333333333,-0.18763883748662838,-0.18763883748662838,-0.09094667994973339,-0.1584236068762679,0.10540925533894598,0.26666666666666666,-0.09128709291752769,-0.2100902925755561,-0.10459527207369815,0.2616243364966139,0.10459527207369815,0.009094667994973339,1.0
