Stereotype,Shannon Entropy,Gini Coefficient,Simpson Index
bringsAbout,0.0,0.0,0.0
characterization,2.4439838753638057,0.8837209302325582,0.32231404958677684
comparative,0.0,0.9767441860465116,1.0
componentOf,3.9031711471871406,0.7258529960957393,0.0774148862486014
creation,0.0,0.0,0.0
derivation,3.9773237845205864,0.7170542635658915,0.08063271604938273
externalDependence,0.0,0.0,0.0
historicalDependence,0.0,0.0,0.0
instantiation,0.0,0.0,0.0
manifestation,0.0,0.0,0.0
material,4.494834152445539,0.5902817167706561,0.05360565800779959
mediation,4.854183225919714,0.47819143627108496,0.04356315275654368
memberOf,3.6320170503166014,0.7728085867620751,0.10798816568047338
participation,0.0,0.0,0.0
participational,0.0,0.0,0.0
subCollectionOf,2.182005807546738,0.9102990033222591,0.2346938775510204
subQuantityOf,0.0,0.0,0.0
termination,0.0,0.0,0.0
triggers,0.0,0.0,0.0
