Stereotype,x_value,y_value,distance_from_origin,rank,quadrant
bringsAbout,0.0,0.0,0.0,14,Q1
characterization,0.036748329621380846,0.2558139534883721,0.2584399708429651,6,Q1
comparative,0.0011135857461024498,0.023255813953488372,0.023282460262033886,8,Q1
componentOf,0.15256124721603564,0.46511627906976744,0.4894977908099465,4,Q1
creation,0.0,0.0,0.0,14,Q1
derivation,0.0801781737193764,0.5116279069767442,0.5178722378525215,3,Q1
externalDependence,0.0,0.0,0.0,14,Q1
historicalDependence,0.0,0.0,0.0,14,Q1
instantiation,0.0,0.0,0.0,14,Q1
manifestation,0.0,0.0,0.0,14,Q1
material,0.13697104677060135,0.6744186046511628,0.688187127134078,2,Q1
mediation,0.5189309576837416,0.9069767441860465,1.0449383490603101,1,Q1
memberOf,0.05790645879732739,0.4186046511627907,0.4225908327751186,5,Q1
participation,0.0,0.0,0.0,14,Q1
participational,0.0,0.0,0.0,14,Q1
subCollectionOf,0.015590200445434299,0.11627906976744186,0.11731954831105697,7,Q1
subQuantityOf,0.0,0.0,0.0,14,Q1
termination,0.0,0.0,0.0,14,Q1
triggers,0.0,0.0,0.0,14,Q1
