Stereotype,Stereotype2,Absolute Value,Sign,Classification
componentOf,characterization,0.12953741565573518,positive,very_weak
derivation,characterization,0.09246739993529043,positive,very_weak
material,characterization,0.2826040004089324,positive,weak
mediation,characterization,0.0927667744715521,positive,very_weak
memberOf,characterization,0.15021514677110348,positive,very_weak
subCollectionOf,characterization,0.034421178205488075,positive,very_weak
characterization,componentOf,0.12953741565573518,positive,very_weak
derivation,componentOf,0.22810869873958198,positive,weak
material,componentOf,0.21294922780438783,positive,weak
mediation,componentOf,0.08236651249918647,positive,very_weak
memberOf,componentOf,0.10588432228231948,positive,very_weak
subCollectionOf,componentOf,0.051268615441639256,positive,very_weak
characterization,derivation,0.09246739993529043,positive,very_weak
componentOf,derivation,0.22810869873958198,positive,weak
material,derivation,0.7595860028093879,positive,strong
mediation,derivation,0.36823122045079115,positive,weak
memberOf,derivation,0.05726211743619635,positive,very_weak
subCollectionOf,derivation,0.24517015508511084,positive,weak
characterization,material,0.2826040004089324,positive,weak
componentOf,material,0.21294922780438783,positive,weak
derivation,material,0.7595860028093879,positive,strong
mediation,material,0.4269988320588017,positive,moderate
memberOf,material,0.05071776856533556,positive,very_weak
subCollectionOf,material,0.27337446467868426,positive,weak
characterization,mediation,0.0927667744715521,positive,very_weak
componentOf,mediation,0.08236651249918647,positive,very_weak
derivation,mediation,0.36823122045079115,positive,weak
material,mediation,0.4269988320588017,positive,moderate
memberOf,mediation,0.03620432352433025,positive,very_weak
subCollectionOf,mediation,0.1062184131083756,positive,very_weak
characterization,memberOf,0.15021514677110348,positive,very_weak
componentOf,memberOf,0.10588432228231948,positive,very_weak
derivation,memberOf,0.05726211743619635,positive,very_weak
material,memberOf,0.05071776856533556,positive,very_weak
mediation,memberOf,0.03620432352433025,positive,very_weak
subCollectionOf,memberOf,0.013114627727473918,positive,very_weak
characterization,subCollectionOf,0.034421178205488075,positive,very_weak
componentOf,subCollectionOf,0.051268615441639256,positive,very_weak
derivation,subCollectionOf,0.24517015508511084,positive,weak
material,subCollectionOf,0.27337446467868426,positive,weak
mediation,subCollectionOf,0.1062184131083756,positive,very_weak
memberOf,subCollectionOf,0.013114627727473918,positive,very_weak
