Stereotype,Stereotype2,Absolute Value,Sign,Classification
componentOf,characterization,0.09443507923289586,positive,very_weak
derivation,characterization,0.1735824126877212,negative,very_weak
material,characterization,0.388850790540633,negative,weak
mediation,characterization,0.1792320447747162,negative,very_weak
memberOf,characterization,0.2587972374292471,positive,weak
subCollectionOf,characterization,0.04640161686673095,negative,very_weak
characterization,componentOf,0.09443507923289586,positive,very_weak
derivation,componentOf,0.30151914756542236,negative,weak
material,componentOf,0.24759498567814756,negative,weak
mediation,componentOf,0.1829173348634131,negative,very_weak
memberOf,componentOf,0.05934424260562082,positive,very_weak
subCollectionOf,componentOf,0.04735570640442168,negative,very_weak
characterization,derivation,0.1735824126877212,negative,very_weak
componentOf,derivation,0.30151914756542236,negative,weak
material,derivation,0.7111590022187596,positive,strong
mediation,derivation,0.3277927812629611,positive,weak
memberOf,derivation,0.1140449604596933,negative,very_weak
subCollectionOf,derivation,0.2092637006814019,positive,weak
characterization,material,0.388850790540633,negative,weak
componentOf,material,0.24759498567814756,negative,weak
derivation,material,0.7111590022187596,positive,strong
mediation,material,0.46092755662274354,positive,moderate
memberOf,material,0.1146375263694541,negative,very_weak
subCollectionOf,material,0.25203347226782336,positive,weak
characterization,mediation,0.1792320447747162,negative,very_weak
componentOf,mediation,0.1829173348634131,negative,very_weak
derivation,mediation,0.3277927812629611,positive,weak
material,mediation,0.46092755662274354,positive,moderate
memberOf,mediation,0.2151326364874732,negative,weak
subCollectionOf,mediation,0.11616917255955381,positive,very_weak
characterization,memberOf,0.2587972374292471,positive,weak
componentOf,memberOf,0.05934424260562082,positive,very_weak
derivation,memberOf,0.1140449604596933,negative,very_weak
material,memberOf,0.1146375263694541,negative,very_weak
mediation,memberOf,0.2151326364874732,negative,weak
subCollectionOf,memberOf,0.013679711361135388,negative,very_weak
characterization,subCollectionOf,0.04640161686673095,negative,very_weak
componentOf,subCollectionOf,0.04735570640442168,negative,very_weak
derivation,subCollectionOf,0.2092637006814019,positive,weak
material,subCollectionOf,0.25203347226782336,positive,weak
mediation,subCollectionOf,0.11616917255955381,positive,very_weak
memberOf,subCollectionOf,0.013679711361135388,negative,very_weak
