Stereotype,Shannon Entropy,Gini Coefficient,Simpson Index
bringsAbout,0.0,0.0,0.0
characterization,2.443983875363806,0.8863636363636364,0.32231404958677684
comparative,0.0,0.9772727272727273,1.0
componentOf,3.9031711471871406,0.7320836098208361,0.07741488624860142
creation,0.0,0.0,0.0
derivation,3.9773237845205864,0.7234848484848485,0.08063271604938273
externalDependence,0.0,0.0,0.0
historicalDependence,0.0,0.0,0.0
instantiation,0.0,0.0,0.0
manifestation,0.0,0.0,0.0
material,4.494834152445539,0.5995934959349594,0.05360565800779959
mediation,4.854183225919714,0.49005072181037845,0.04356315275654368
memberOf,3.6320170503166014,0.777972027972028,0.10798816568047338
participation,0.0,0.0,0.0
participational,0.0,0.0,0.0
subCollectionOf,2.182005807546738,0.9123376623376623,0.23469387755102036
subQuantityOf,0.0,0.0,0.0
termination,0.0,0.0,0.0
triggers,0.0,0.0,0.0
none,3.209442306335143,0.8364745011086474,0.12730517549077933
other,3.8565349612557553,0.746547756041427,0.08444159589809326
