Stereotype,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
bringsAbout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
characterization,0.0,0.8553874977641691,0.04758404078427628,0.30202629467401665,0.0,0.2678973549067838,0.0,0.0,0.0,0.0,0.32083788154008486,0.4951360898541577,0.2625463968076851,0.0,0.0,0.13724437908220863,0.0,0.0,0.0,0.2955697021257955,0.2770146592259648
comparative,0.0,0.04758404078427628,0.11045304667259788,0.11045304667259825,0.0,0.016957099669991815,0.0,0.0,0.0,0.0,0.026674884635071394,0.06604508144272749,0.03744167777521919,0.0,0.0,0.0029109233757056013,0.0,0.0,0.0,0.07821364292562408,0.014791814289168217
componentOf,0.0,0.30202629467401665,0.11045304667259825,1.6712555329870469,0.0,0.5127100894568873,0.0,0.0,0.0,0.0,0.723211634745593,1.058706861794537,0.43071176238094344,0.0,0.0,0.15233155148287747,0.0,0.0,0.0,0.4588031674952304,0.6299256046234725
creation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
derivation,0.0,0.2678973549067838,0.016957099669991815,0.5127100894568873,0.0,1.5966825612176017,0.0,0.0,0.0,0.0,1.0183994922459056,1.0930206627489114,0.42549216178623606,0.0,0.0,0.2711950021952778,0.0,0.0,0.0,0.46472744853613357,0.4221287371644161
externalDependence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historicalDependence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
instantiation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manifestation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
material,0.0,0.32083788154008486,0.026674884635071394,0.723211634745593,0.0,1.0183994922459056,0.0,0.0,0.0,0.0,2.0292681645156714,1.3844800895761868,0.5348173290214432,0.0,0.0,0.2860173817471998,0.0,0.0,0.0,0.4952881601472324,0.6474995548921161
mediation,0.0,0.4951360898541577,0.06604508144272749,1.058706861794537,0.0,1.0930206627489114,0.0,0.0,0.0,0.0,1.3844800895761868,2.7374414765715698,0.6962724633703608,0.0,0.0,0.32746385937986344,0.0,0.0,0.0,0.7963258988645016,1.001455822599511
memberOf,0.0,0.2625463968076851,0.03744167777521919,0.43071176238094344,0.0,0.42549216178623606,0.0,0.0,0.0,0.0,0.5348173290214432,0.6962724633703608,1.300918853781689,0.0,0.0,0.15136246589979735,0.0,0.0,0.0,0.24734017089823784,0.39098913574806343
participation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
participational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subCollectionOf,0.0,0.13724437908220863,0.0029109233757056013,0.15233155148287747,0.0,0.2711950021952778,0.0,0.0,0.0,0.0,0.2860173817471998,0.32746385937986344,0.15136246589979735,0.0,0.0,0.5143496870721078,0.0,0.0,0.0,0.14040285926274143,0.18067417850927642
subQuantityOf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
termination,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triggers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none,0.0,0.2955697021257955,0.07821364292562408,0.4588031674952304,0.0,0.46472744853613357,0.0,0.0,0.0,0.0,0.4952881601472324,0.7963258988645016,0.24734017089823784,0.0,0.0,0.14040285926274143,0.0,0.0,0.0,1.1243379030275396,0.2706154624822693
other,0.0,0.2770146592259648,0.014791814289168217,0.6299256046234725,0.0,0.4221287371644161,0.0,0.0,0.0,0.0,0.6474995548921161,1.001455822599511,0.39098913574806343,0.0,0.0,0.18067417850927642,0.0,0.0,0.0,0.2706154624822693,1.5817650900450464
