Stereotype,Stereotype2,Absolute Value,Sign,Classification
componentOf,characterization,0.15047296748468286,positive,very_weak
derivation,characterization,0.06499253665804483,negative,very_weak
material,characterization,0.2383931821151408,negative,weak
mediation,characterization,0.09072951881147591,negative,very_weak
memberOf,characterization,0.07077341595530742,positive,very_weak
subCollectionOf,characterization,0.033337370583965374,negative,very_weak
none,characterization,0.2713347655186105,positive,weak
other,characterization,0.15251712605756984,positive,very_weak
characterization,componentOf,0.15047296748468286,positive,very_weak
derivation,componentOf,0.21034629835381194,negative,weak
material,componentOf,0.24414964163493674,negative,weak
mediation,componentOf,0.09828908370611776,negative,very_weak
memberOf,componentOf,0.13490499737282047,positive,very_weak
subCollectionOf,componentOf,0.06287081700144694,positive,very_weak
none,componentOf,0.10498639966822397,negative,very_weak
other,componentOf,0.2938414973510116,positive,weak
characterization,derivation,0.06499253665804483,negative,very_weak
componentOf,derivation,0.21034629835381194,negative,weak
material,derivation,0.7976212305488717,positive,strong
mediation,derivation,0.359144378885206,positive,weak
memberOf,derivation,0.02097980206150537,positive,very_weak
subCollectionOf,derivation,0.2760445965109816,positive,weak
none,derivation,0.07444856051016711,positive,very_weak
other,derivation,0.12998821168701485,negative,very_weak
characterization,material,0.2383931821151408,negative,weak
componentOf,material,0.24414964163493674,negative,weak
derivation,material,0.7976212305488717,positive,strong
mediation,material,0.33779733186081506,positive,weak
memberOf,material,0.010515685696127298,positive,very_weak
subCollectionOf,material,0.28496677452914027,positive,weak
none,material,0.07636986501972179,positive,very_weak
other,material,0.25113948237248757,negative,weak
characterization,mediation,0.09072951881147591,negative,very_weak
componentOf,mediation,0.09828908370611776,negative,very_weak
derivation,mediation,0.359144378885206,positive,weak
material,mediation,0.33779733186081506,positive,weak
memberOf,mediation,0.03740256216769529,negative,very_weak
subCollectionOf,mediation,0.0764380376557924,positive,very_weak
none,mediation,0.11424790145353574,positive,very_weak
other,mediation,0.02764468710452797,negative,very_weak
characterization,memberOf,0.07077341595530742,positive,very_weak
componentOf,memberOf,0.13490499737282047,positive,very_weak
derivation,memberOf,0.02097980206150537,positive,very_weak
material,memberOf,0.010515685696127298,positive,very_weak
mediation,memberOf,0.03740256216769529,negative,very_weak
subCollectionOf,memberOf,0.03325369394251441,negative,very_weak
none,memberOf,0.05327420857129231,positive,very_weak
other,memberOf,0.15314531970255257,positive,very_weak
characterization,subCollectionOf,0.033337370583965374,negative,very_weak
componentOf,subCollectionOf,0.06287081700144694,positive,very_weak
derivation,subCollectionOf,0.2760445965109816,positive,weak
material,subCollectionOf,0.28496677452914027,positive,weak
mediation,subCollectionOf,0.0764380376557924,positive,very_weak
memberOf,subCollectionOf,0.03325369394251441,negative,very_weak
none,subCollectionOf,0.05405991587941181,negative,very_weak
other,subCollectionOf,0.13242486726623262,positive,very_weak
characterization,none,0.2713347655186105,positive,weak
componentOf,none,0.10498639966822397,negative,very_weak
derivation,none,0.07444856051016711,positive,very_weak
material,none,0.07636986501972179,positive,very_weak
mediation,none,0.11424790145353574,positive,very_weak
memberOf,none,0.05327420857129231,positive,very_weak
subCollectionOf,none,0.05405991587941181,negative,very_weak
other,none,0.09420680601417777,negative,very_weak
characterization,other,0.15251712605756984,positive,very_weak
componentOf,other,0.2938414973510116,positive,weak
derivation,other,0.12998821168701485,negative,very_weak
material,other,0.25113948237248757,negative,weak
mediation,other,0.02764468710452797,negative,very_weak
memberOf,other,0.15314531970255257,positive,very_weak
subCollectionOf,other,0.13242486726623262,positive,very_weak
none,other,0.09420680601417777,negative,very_weak
