Stereotype,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none,other
abstract,0.1169068491375311,0.010941489966192736,0.023390185654947146,0.005658210373737982,0.0006410959011923581,0.0,0.0,0.0,0.11690684913753098,0.0019748245521221397,0.004876833167465858,0.06067333467565021,0.0,0.0012990665933722695,0.0,0.04932266780758529,0.06067333467565009,0.00816052951997974,0.0,0.11690684913753117,0.0006410959011923581,0.0,0.0
category,0.010941489966192736,1.137560940715548,0.21361054046101544,0.2662253068771032,0.04932266780758503,0.0,0.0,0.0,0.7103219655115163,0.03560839305488982,0.22064321996517944,0.309247128178312,0.0,0.04481132155242323,0.0,0.5081367906496329,0.6244649704093104,0.3108714584538385,0.0,0.6587222520534896,0.010941489966192736,0.0,0.0
collective,0.023390185654947146,0.21361054046101544,1.4126145000985921,0.12731489446487146,0.025058089089542462,0.0,0.0,0.0,0.7364572232181871,0.07335343719711572,0.14436538118070355,0.34164849064828917,0.0,0.04780717884329752,0.0,0.7347266864921381,0.9210946852262383,0.20777150174739434,0.0,0.7268370930761708,0.025058089089542462,0.0,0.0
datatype,0.005658210373737982,0.2662253068771032,0.12731489446487146,0.8469760138181605,0.11690684913753083,0.0,0.0,0.0,0.4805568048303535,0.2028743871262386,0.0801200253222779,0.41292080986182933,0.0,0.16385788431787499,0.0,0.49408563505779535,0.5287429940857926,0.1750746044810353,0.0,0.5760814793240856,0.005658210373737982,0.0,0.0
enumeration,0.0006410959011923581,0.04932266780758503,0.025058089089542462,0.11690684913753083,0.1169068491375311,0.0,0.0,0.0,0.060673334675650226,0.08224949010953346,0.004876833167465858,0.06067333467565021,0.0,0.0012990665933722695,0.0,0.035636105789669026,0.0691682865154199,0.00816052951997974,0.0,0.11690684913753117,0.0006410959011923581,0.0,0.0
event,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historicalRole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historicalRoleMixin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kind,0.11690684913753098,0.7103219655115163,0.7364572232181871,0.4805568048303535,0.060673334675650226,0.0,0.0,0.0,2.6184100243314474,0.15391743434415897,0.5418135840002747,0.8911323567085732,0.0,0.08604821442211076,0.0,1.4967409584747495,1.706415649368782,0.5498565450594536,0.0,1.5518492946343843,0.060673334675650226,0.0,0.0
mixin,0.0019748245521221397,0.03560839305488982,0.07335343719711572,0.2028743871262386,0.08224949010953346,0.0,0.0,0.0,0.15391743434415897,0.31412302589003144,0.01505968295479912,0.09882017215408247,0.0,0.004003086981198764,0.0,0.15436506097748715,0.21864590064580958,0.06459661140081142,0.0,0.20097844529735204,0.0019748245521221397,0.0,0.0
