model,year,total_class_number,total_relation_number
bank-account2013,2013,18,12
bank-model,2013,23,14
chartered-service,2013,11,14
clergy-ontology,2013,29,33
construction-model,2013,13,7
digitaldoctor2022,2022,48,23
experiment2013,2013,22,26
g809-2015,2013,24,18
genealogy2013,2013,8,4
health-organizations,2013,24,13
idaf2013,2013,46,28
internal-affairs2013,2013,61,54
internship,2013,26,17
it-infrastructure,2013,31,15
library,2013,43,45
music-ontology,2013,42,15
online-mentoring,2013,29,16
parking-business2013,2013,50,21
photography,2013,18,11
project-assets2013,2013,19,28
project-management-ontology,2013,14,7
public-organization2013,2013,46,31
public-tender,2013,71,39
qam,2013,41,20
real-estate-ontology,2013,15,5
recommendation-ontology,2013,18,10
road-accident2013,2013,15,8
scientific-experiment2013,2013,20,24
scientific-publication2013,2013,55,18
short-examples2013,2013,35,19
social-contract,2013,33,33
social-contracts2013,2013,33,36
sousa2022triponto,2022,44,36
sportbooking2021,2021,37,38
srro-ontology,2013,20,15
stock-broker2021,2013,14,6
telecom-equipment2013,2013,34,41
tourbo2021,2021,49,21
unimatch-ontology2022,2023,34,22
university-ontology,2013,32,33
