Stereotype,category,collective,datatype,kind,mode,phase,relator,role,roleMixin,subkind
category,1.0,0.17118419700436519,0.15724272550828775,-0.2182178902359924,0.21381344338776134,0.21735757586639412,0.06988565578146122,0.2445997952351143,0.01760780488287548,0.018827751470952857
collective,0.17118419700436519,1.0,-0.10206207261596575,-0.13074409009212268,0.1074430618700507,0.0825840139015334,-0.10206207261596574,0.06804138174397717,-0.06857254813237416,-0.07332355751067664
datatype,0.15724272550828775,-0.10206207261596575,1.0,0.08006407690254357,-0.0657951694959769,0.3287191293257129,-0.041666666666666664,-0.25,-0.16796775328675628,-0.029934217004462485
kind,-0.2182178902359924,-0.13074409009212268,0.08006407690254357,1.0,-0.3476767476825577,0.13766648985981775,-0.05337605126836238,-0.05337605126836238,0.09862000951952102,0.29718527608057627
mode,0.21381344338776134,0.1074430618700507,-0.0657951694959769,-0.3476767476825577,1.0,-0.12976878498333136,-0.5044296328024895,-0.28511240114923325,0.01105146679736056,-0.22452606449532778
phase,0.21735757586639412,0.0825840139015334,0.3287191293257129,0.13766648985981775,-0.12976878498333136,1.0,0.11800173873230717,0.11800173873230717,-0.18971037498562313,0.22102040978616352
relator,0.06988565578146122,-0.10206207261596574,-0.041666666666666664,-0.05337605126836238,-0.5044296328024895,0.11800173873230717,1.0,0.4444444444444444,0.20529392068381325,0.2195175913660582
role,0.2445997952351143,0.06804138174397717,-0.25,-0.05337605126836238,-0.28511240114923325,0.11800173873230717,0.4444444444444444,1.0,0.20529392068381325,0.2195175913660582
roleMixin,0.01760780488287548,-0.06857254813237416,-0.16796775328675628,0.09862000951952102,0.01105146679736056,-0.18971037498562313,0.20529392068381325,0.20529392068381325,1.0,-0.07039176447292891
subkind,0.018827751470952857,-0.07332355751067664,-0.029934217004462485,0.29718527608057627,-0.22452606449532778,0.22102040978616352,0.2195175913660582,0.2195175913660582,-0.07039176447292891,1.0
