stereotype1,stereotype2,geometric_mean_correlation
characterization,componentOf,0.11750889240855956
characterization,derivation,0.1697608096292603
characterization,material,0.37532402758455685
characterization,mediation,0.24588141669184102
characterization,memberOf,0.14038972908721783
characterization,subCollectionOf,0.17881981884345174
componentOf,derivation,0.1846095765957674
componentOf,material,0.1730401402991455
componentOf,mediation,0.18546867187549387
componentOf,memberOf,0.16884143801074042
componentOf,subCollectionOf,0.07213931682280691
derivation,material,0.7276950979430787
derivation,mediation,0.39276358009183515
derivation,memberOf,0.09223883340766974
derivation,subCollectionOf,0.16520547236779512
material,mediation,0.4777676663543087
material,memberOf,0.11595872658082317
material,subCollectionOf,0.20783702054889552
mediation,memberOf,0.02496675846567488
mediation,subCollectionOf,0.048119413647360776
memberOf,subCollectionOf,0.10703845905925712
