Stereotype,Total,Mean,Median,Mode,Standard Deviation,Variance,Skewness,Kurtosis,Q1,Q3,IQR,Min,Max,Range,Min Non-Zero,Range Non-Zero
bringsAbout,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
characterization,12,0.3,0.0,0,0.6076436202501999,0.3692307692307692,1.9199850500961175,2.6226143907064965,0.0,0.0,0.0,0,2,2,1.0,1.0
comparative,1,0.025,0.0,0,0.15811388300841897,0.024999999999999998,6.324555320336759,40.0,0.0,0.0,0.0,0,1,1,1.0,0.0
componentOf,117,2.925,0.0,0,4.381707312721717,19.199358974358972,1.2639265441881022,0.023934254333558336,0.0,5.25,5.25,0,12,12,1.0,11.0
creation,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
derivation,61,1.525,1.0,0,2.286947355128273,5.230128205128204,1.8953846811833335,3.177918485811769,0.0,2.0,2.0,0,9,9,1.0,8.0
externalDependence,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
historicalDependence,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
instantiation,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
manifestation,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
material,113,2.825,2.0,0,3.1694656995324655,10.04551282051282,1.511400949851206,2.625625664181554,0.0,4.0,4.0,0,14,14,1.0,13.0
mediation,373,9.325,6.0,6,8.736564776991246,76.3275641025641,1.7998245166627298,3.512936192961646,4.75,11.5,6.75,0,37,37,2.0,35.0
memberOf,51,1.275,0.0,0,2.407120846411906,5.7942307692307695,2.677763445475891,7.419933320105482,0.0,1.0,1.0,0,10,10,1.0,9.0
participation,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
participational,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
subCollectionOf,13,0.325,0.0,0,1.0225032129596563,1.0455128205128204,3.0769398697480326,8.363433149844276,0.0,0.0,0.0,0,4,4,2.0,2.0
subQuantityOf,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
termination,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
triggers,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
none,59,1.475,0.0,0,3.5517240306284483,12.61474358974359,2.9082371028882137,8.227030906579781,0.0,1.0,1.0,0,15,15,1.0,14.0
other,76,1.9,0.0,0,3.111599473269541,9.682051282051283,1.8180727411617124,2.6095368732346746,0.0,2.25,2.25,0,12,12,1.0,11.0
