Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index,Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
bringsAbout,0,0.0,0,0.0,0.0,0.0
characterization,12,0.3,9,0.225,0.0136986301369863,0.05521472392638037
comparative,1,0.025,1,0.025,0.001141552511415525,0.006134969325153374
componentOf,117,2.925,18,0.45,0.13356164383561644,0.11042944785276074
creation,0,0.0,0,0.0,0.0,0.0
derivation,61,1.525,21,0.525,0.06963470319634703,0.12883435582822086
externalDependence,0,0.0,0,0.0,0.0,0.0
historicalDependence,0,0.0,0,0.0,0.0,0.0
instantiation,0,0.0,0,0.0,0.0,0.0
manifestation,0,0.0,0,0.0,0.0,0.0
material,113,2.825,28,0.7,0.12899543378995434,0.17177914110429449
mediation,373,9.325,36,0.9,0.4257990867579909,0.22085889570552147
memberOf,51,1.275,17,0.425,0.05821917808219178,0.10429447852760736
participation,0,0.0,0,0.0,0.0,0.0
participational,0,0.0,0,0.0,0.0,0.0
subCollectionOf,13,0.325,4,0.1,0.014840182648401826,0.024539877300613498
subQuantityOf,0,0.0,0,0.0,0.0,0.0
termination,0,0.0,0,0.0,0.0,0.0
triggers,0,0.0,0,0.0,0.0,0.0
none,59,1.475,11,0.275,0.06735159817351598,0.06748466257668712
other,76,1.9,18,0.45,0.0867579908675799,0.11042944785276074
