Stereotype,Stereotype2,Absolute Value,Sign,Classification
collective,category,0.03654435019808827,positive,very_weak
datatype,category,0.11798626471077009,positive,very_weak
kind,category,0.11133318293158305,positive,very_weak
mode,category,0.07817336663283586,positive,very_weak
phase,category,0.23551185768365623,positive,weak
relator,category,0.065322047723084,positive,very_weak
role,category,0.18224078155812617,positive,very_weak
roleMixin,category,0.02918780994615664,positive,very_weak
subkind,category,0.12206718593880915,positive,very_weak
category,collective,0.03654435019808827,positive,very_weak
datatype,collective,0.1145408263217949,positive,very_weak
kind,collective,0.16252146859566297,positive,very_weak
mode,collective,0.049501840348938946,positive,very_weak
phase,collective,0.019162487161055206,positive,very_weak
relator,collective,0.1391554184091373,positive,very_weak
role,collective,0.09306418175086591,positive,very_weak
roleMixin,collective,0.04350352311107422,positive,very_weak
subkind,collective,0.10133772323876095,positive,very_weak
category,datatype,0.11798626471077009,positive,very_weak
collective,datatype,0.1145408263217949,positive,very_weak
kind,datatype,0.028119564123163257,positive,very_weak
mode,datatype,0.05764593778663306,positive,very_weak
phase,datatype,0.3584949586619557,positive,weak
relator,datatype,0.04768693414190498,positive,very_weak
role,datatype,0.09242383173929135,positive,very_weak
roleMixin,datatype,0.16705271195968435,positive,very_weak
subkind,datatype,0.11115875758236987,positive,very_weak
category,kind,0.11133318293158305,positive,very_weak
collective,kind,0.16252146859566297,positive,very_weak
datatype,kind,0.028119564123163257,positive,very_weak
mode,kind,0.03601478822615001,positive,very_weak
phase,kind,0.1261891471563994,positive,very_weak
relator,kind,0.0442531514136554,positive,very_weak
role,kind,0.05109941240889621,positive,very_weak
roleMixin,kind,0.08589018006268047,positive,very_weak
subkind,kind,0.3348093093724249,positive,weak
category,mode,0.07817336663283586,positive,very_weak
collective,mode,0.049501840348938946,positive,very_weak
datatype,mode,0.05764593778663306,positive,very_weak
kind,mode,0.03601478822615001,positive,very_weak
phase,mode,0.054122348840977184,positive,very_weak
relator,mode,0.3469847298375987,positive,weak
role,mode,0.2503489227973493,positive,weak
roleMixin,mode,0.052089441818677806,positive,very_weak
subkind,mode,0.32675985438808497,positive,weak
category,phase,0.23551185768365623,positive,weak
collective,phase,0.019162487161055206,positive,very_weak
datatype,phase,0.3584949586619557,positive,weak
kind,phase,0.1261891471563994,positive,very_weak
mode,phase,0.054122348840977184,positive,very_weak
relator,phase,0.14095189274529787,positive,very_weak
role,phase,0.12202022099191981,positive,very_weak
roleMixin,phase,0.2584700933347078,positive,weak
subkind,phase,0.24627051354509708,positive,weak
category,relator,0.065322047723084,positive,very_weak
collective,relator,0.1391554184091373,positive,very_weak
datatype,relator,0.04768693414190498,positive,very_weak
kind,relator,0.0442531514136554,positive,very_weak
mode,relator,0.3469847298375987,positive,weak
phase,relator,0.14095189274529787,positive,very_weak
role,relator,0.556378168963377,positive,moderate
roleMixin,relator,0.22185103936842854,positive,weak
subkind,relator,0.17560016973383863,positive,very_weak
category,role,0.18224078155812617,positive,very_weak
collective,role,0.09306418175086591,positive,very_weak
datatype,role,0.09242383173929135,positive,very_weak
kind,role,0.05109941240889621,positive,very_weak
mode,role,0.2503489227973493,positive,weak
phase,role,0.12202022099191981,positive,very_weak
relator,role,0.556378168963377,positive,moderate
roleMixin,role,0.1357350890823833,positive,very_weak
subkind,role,0.10397893527191898,positive,very_weak
category,roleMixin,0.02918780994615664,positive,very_weak
collective,roleMixin,0.04350352311107422,positive,very_weak
datatype,roleMixin,0.16705271195968435,positive,very_weak
kind,roleMixin,0.08589018006268047,positive,very_weak
mode,roleMixin,0.052089441818677806,positive,very_weak
phase,roleMixin,0.2584700933347078,positive,weak
relator,roleMixin,0.22185103936842854,positive,weak
role,roleMixin,0.1357350890823833,positive,very_weak
subkind,roleMixin,0.03695621961370502,positive,very_weak
category,subkind,0.12206718593880915,positive,very_weak
collective,subkind,0.10133772323876095,positive,very_weak
datatype,subkind,0.11115875758236987,positive,very_weak
kind,subkind,0.3348093093724249,positive,weak
mode,subkind,0.32675985438808497,positive,weak
phase,subkind,0.24627051354509708,positive,weak
relator,subkind,0.17560016973383863,positive,very_weak
role,subkind,0.10397893527191898,positive,very_weak
roleMixin,subkind,0.03695621961370502,positive,very_weak
