Stereotype,Stereotype2,Absolute Value,Sign,Classification
collective,category,0.008365619241804454,negative,very_weak
datatype,category,0.13487968365332628,positive,very_weak
kind,category,0.05879501558862487,positive,very_weak
mode,category,0.04030119731075478,positive,very_weak
phase,category,0.23797561125541586,positive,weak
quality,category,0.261585391492659,positive,weak
relator,category,0.06424770283806375,positive,very_weak
role,category,0.14168596502417782,negative,very_weak
roleMixin,category,0.04209292907585281,positive,very_weak
subkind,category,0.2641558213195555,positive,weak
category,collective,0.008365619241804454,negative,very_weak
datatype,collective,0.1703590380297464,negative,very_weak
kind,collective,0.22236580965630146,positive,weak
mode,collective,0.020291506383556195,negative,very_weak
phase,collective,0.0035429923680773165,negative,very_weak
quality,collective,0.11078460096395568,negative,very_weak
relator,collective,0.23937848872779824,positive,weak
role,collective,0.10219899339573574,positive,very_weak
roleMixin,collective,0.03298635786935821,negative,very_weak
subkind,collective,0.12507756993999816,positive,very_weak
category,datatype,0.13487968365332628,positive,very_weak
collective,datatype,0.1703590380297464,negative,very_weak
kind,datatype,0.009960015583927947,negative,very_weak
mode,datatype,0.06947828833350499,positive,very_weak
phase,datatype,0.36928858869524106,positive,weak
quality,datatype,0.31989873765836474,positive,weak
relator,datatype,0.07097800303193826,positive,very_weak
role,datatype,0.03732681613171879,positive,very_weak
roleMixin,datatype,0.14485246409320504,negative,very_weak
subkind,datatype,0.10067935955335185,positive,very_weak
category,kind,0.05879501558862487,positive,very_weak
collective,kind,0.22236580965630146,positive,weak
datatype,kind,0.009960015583927947,negative,very_weak
mode,kind,0.004018808825226389,positive,very_weak
phase,kind,0.11598383804680955,positive,very_weak
quality,kind,0.12555598934450815,positive,very_weak
relator,kind,0.03962920503308733,positive,very_weak
role,kind,0.05283950804088779,negative,very_weak
roleMixin,kind,0.07684257249464028,negative,very_weak
subkind,kind,0.39991042475779204,positive,weak
category,mode,0.04030119731075478,positive,very_weak
collective,mode,0.020291506383556195,negative,very_weak
datatype,mode,0.06947828833350499,positive,very_weak
kind,mode,0.004018808825226389,positive,very_weak
phase,mode,0.0455079081965014,negative,very_weak
quality,mode,0.1300150982558837,negative,very_weak
relator,mode,0.25941214573869764,negative,weak
role,mode,0.24257107291515714,negative,weak
roleMixin,mode,0.08756889970656254,negative,very_weak
subkind,mode,0.352781291636004,negative,weak
category,phase,0.23797561125541586,positive,weak
collective,phase,0.0035429923680773165,negative,very_weak
datatype,phase,0.36928858869524106,positive,weak
kind,phase,0.11598383804680955,positive,very_weak
mode,phase,0.0455079081965014,negative,very_weak
quality,phase,0.3155004073289716,positive,weak
relator,phase,0.16057303083334992,positive,very_weak
role,phase,0.120335674072549,positive,very_weak
roleMixin,phase,0.2779324757206835,negative,weak
subkind,phase,0.38568645609532914,positive,weak
category,quality,0.261585391492659,positive,weak
collective,quality,0.11078460096395568,negative,very_weak
datatype,quality,0.31989873765836474,positive,weak
kind,quality,0.12555598934450815,positive,very_weak
mode,quality,0.1300150982558837,negative,very_weak
phase,quality,0.3155004073289716,positive,weak
relator,quality,0.14387385842116746,positive,very_weak
role,quality,0.05581640541719255,positive,very_weak
roleMixin,quality,0.1676991109874443,negative,very_weak
subkind,quality,0.2648050532864964,positive,weak
category,relator,0.06424770283806375,positive,very_weak
collective,relator,0.23937848872779824,positive,weak
datatype,relator,0.07097800303193826,positive,very_weak
kind,relator,0.03962920503308733,positive,very_weak
mode,relator,0.25941214573869764,negative,weak
phase,relator,0.16057303083334992,positive,very_weak
quality,relator,0.14387385842116746,positive,very_weak
role,relator,0.6898691433750036,positive,strong
roleMixin,relator,0.2470105298052573,positive,weak
subkind,relator,0.1520937262640076,positive,very_weak
category,role,0.14168596502417782,negative,very_weak
collective,role,0.10219899339573574,positive,very_weak
datatype,role,0.03732681613171879,positive,very_weak
kind,role,0.05283950804088779,negative,very_weak
mode,role,0.24257107291515714,negative,weak
phase,role,0.120335674072549,positive,very_weak
quality,role,0.05581640541719255,positive,very_weak
relator,role,0.6898691433750036,positive,strong
roleMixin,role,0.09246487700953086,positive,very_weak
subkind,role,0.05332761604758523,positive,very_weak
category,roleMixin,0.04209292907585281,positive,very_weak
collective,roleMixin,0.03298635786935821,negative,very_weak
datatype,roleMixin,0.14485246409320504,negative,very_weak
kind,roleMixin,0.07684257249464028,negative,very_weak
mode,roleMixin,0.08756889970656254,negative,very_weak
phase,roleMixin,0.2779324757206835,negative,weak
quality,roleMixin,0.1676991109874443,negative,very_weak
relator,roleMixin,0.2470105298052573,positive,weak
role,roleMixin,0.09246487700953086,positive,very_weak
subkind,roleMixin,0.05316930811704589,negative,very_weak
category,subkind,0.2641558213195555,positive,weak
collective,subkind,0.12507756993999816,positive,very_weak
datatype,subkind,0.10067935955335185,positive,very_weak
kind,subkind,0.39991042475779204,positive,weak
mode,subkind,0.352781291636004,negative,weak
phase,subkind,0.38568645609532914,positive,weak
quality,subkind,0.2648050532864964,positive,weak
relator,subkind,0.1520937262640076,positive,very_weak
role,subkind,0.05332761604758523,positive,very_weak
roleMixin,subkind,0.05316930811704589,negative,very_weak
