Stereotype,x_value,y_value,distance_from_origin,rank,quadrant
abstract,0.00041911148365465214,0.023255813953488372,0.02325959021726298,23,Q3
category,0.017183570829840736,0.3488372093023256,0.34926018052491853,12,Q1
collective,0.027661357921207042,0.627906976744186,0.6285159681074689,7,Q1
datatype,0.01550712489522213,0.20930232558139536,0.20987599771364146,15,Q1
enumeration,0.0016764459346186086,0.023255813953488372,0.02331616078197617,21,Q4
event,0.0,0.0,0.0,32,Q3
historicalRole,0.0,0.0,0.0,32,Q3
historicalRoleMixin,0.0,0.0,0.0,32,Q3
kind,0.1366303436714166,0.9767441860465116,0.9862540523553918,1,Q1
mixin,0.0016764459346186086,0.06976744186046512,0.06978758066250097,19,Q1
mode,0.008801341156747695,0.18604651162790697,0.18625457872243137,16,Q1
phase,0.038139145012573344,0.4418604651162791,0.44350339910204134,10,Q1
phaseMixin,0.0,0.0,0.0,32,Q3
quality,0.0075440067057837385,0.06976744186046512,0.070174126150101,18,Q1
quantity,0.00041911148365465214,0.023255813953488372,0.02325959021726298,23,Q3
relator,0.09555741827326068,0.9069767441860465,0.911996729534362,4,Q1
role,0.1454316848281643,0.9069767441860465,0.9185625669742261,3,Q1
roleMixin,0.012573344509639563,0.27906976744186046,0.27935286662608666,13,Q1
situation,0.0,0.0,0.0,32,Q3
subkind,0.11190276613579211,0.7674418604651163,0.7755573726443459,5,Q1
type,0.002514668901927913,0.046511627906976744,0.046579556569844895,20,Q1
bringsAbout,0.0,0.0,0.0,32,Q3
characterization,0.013830678960603521,0.2558139534883721,0.256187561134147,14,Q1
comparative,0.00041911148365465214,0.023255813953488372,0.02325959021726298,23,Q3
componentOf,0.057418273260687346,0.46511627906976744,0.46864700058780356,9,Q1
creation,0.0,0.0,0.0,32,Q3
derivation,0.030176026823134954,0.5116279069767442,0.51251703170942,8,Q1
externalDependence,0.0,0.0,0.0,32,Q3
historicalDependence,0.0,0.0,0.0,32,Q3
instantiation,0.0,0.0,0.0,32,Q3
manifestation,0.0,0.0,0.0,32,Q3
material,0.05155071248952221,0.6744186046511628,0.6763859329242432,6,Q1
mediation,0.1953059513830679,0.9069767441860465,0.9277667967436464,2,Q1
memberOf,0.02179379715004191,0.4186046511627907,0.41917159203521753,11,Q1
participation,0.0,0.0,0.0,32,Q3
participational,0.0,0.0,0.0,32,Q3
subCollectionOf,0.00586756077116513,0.11627906976744186,0.11642701720556499,17,Q1
subQuantityOf,0.0,0.0,0.0,32,Q3
termination,0.0,0.0,0.0,32,Q3
triggers,0.0,0.0,0.0,32,Q3
