stereotype,total_correlation,rank
category,2.191915280819374,17
collective,2.703606736503823,11
datatype,2.6820620298841287,13
kind,2.6934417670784074,12
phase,3.1802970912044297,6
relator,3.9922526936590796,3
role,3.4562587227409303,5
roleMixin,2.4382180151739115,16
subkind,2.7403997418812014,9
characterization,3.013276108302179,8
componentOf,3.0862412965341086,7
derivation,3.4935153160790224,4
material,4.045747235432237,2
mediation,4.106571422896807,1
memberOf,2.4481778396088276,15
none_r,2.6027772044193513,14
other_r,2.734918328187477,10
