stereotype1,stereotype2,geometric_mean_correlation
category,collective,0.10589074548320315
category,event,0.09763366728134674
category,kind,0.0509726367199117
category,mode,0.3676609643959763
category,phase,0.04218596930823605
category,quality,0.19020117654612162
category,relator,0.02856844710010982
category,role,0.02577240321905832
category,roleMixin,0.30233085917338615
category,subkind,0.3215352390434954
category,type,0.31554797231673987
category,none,0.0661859182148095
category,other,0.057918041997347076
collective,event,0.053004380628015726
collective,kind,0.1985222934558478
collective,mode,0.20468865724633967
collective,phase,0.30053787430285095
collective,quality,0.0356374858294581
collective,relator,0.26591256280909104
collective,role,0.13397689838410565
collective,roleMixin,0.020021884121295706
collective,subkind,0.19775544543647125
collective,type,0.13026186723952998
collective,none,0.131624815962952
collective,other,0.08018784186002915
event,kind,0.20980115958899612
event,mode,0.18349335637800168
event,phase,0.08393527556614634
event,quality,0.11047413247187522
event,relator,0.05296692595732752
event,role,0.04885522512417185
event,roleMixin,0.27467295874178493
event,subkind,0.023297414120069748
event,type,0.29194889912688915
event,none,0.12526902360726574
event,other,0.13956524358073316
kind,mode,0.1093163764271441
kind,phase,0.27898318945457484
kind,quality,0.10062722597477743
kind,relator,0.23591478376647187
kind,role,0.44809509940211517
kind,roleMixin,0.14116530741350775
kind,subkind,0.4833377716450401
kind,type,0.12956070631991748
kind,none,0.015667770068618386
kind,other,0.025073433314772905
mode,phase,0.12850782629078938
mode,quality,0.2019157631310858
mode,relator,0.15192177538673632
mode,role,0.18359077753722736
mode,roleMixin,0.29846258127126213
mode,subkind,0.23519340801111757
mode,type,0.29137848285072143
mode,none,0.19339388477791994
mode,other,0.087160798168906
phase,quality,0.12268786698610419
phase,relator,0.19254244426475275
phase,role,0.31718127212608316
phase,roleMixin,0.0719932661708999
phase,subkind,0.3554878728463492
phase,type,0.014005923437376899
phase,none,0.03971765076839678
phase,other,0.018133153272867467
quality,relator,0.13113011070901867
quality,role,0.11391102823109155
quality,roleMixin,0.03535350477992713
quality,subkind,0.19136716442960813
quality,type,0.15519922729476016
quality,none,0.14716538341955934
quality,other,0.19493217697833187
relator,role,0.2628614613772793
relator,roleMixin,0.16000879465095735
relator,subkind,0.17257126811087267
relator,type,0.05633032407614894
relator,none,0.196662189004991
relator,other,0.0935861499618887
role,roleMixin,0.08382891465682539
role,subkind,0.1394487200092226
role,type,0.03894734237027162
role,none,0.058139650821578535
role,other,0.026272789694035962
roleMixin,subkind,0.01193020481319924
roleMixin,type,0.31533108281836386
roleMixin,none,0.19377118602666227
roleMixin,other,0.09048913946386805
subkind,type,0.05967224002753595
subkind,none,0.0582941308385589
subkind,other,0.08295576861561871
type,none,0.11464297093904494
type,other,0.04422429214596578
none,other,0.08030019149427216
