Stereotype,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers
abstract,0.0780397770903951,0.03949119889172396,0.004788906025305836,0.011122386190005933,0.0011846994025619256,0.06368231464765448,0.02388539524575377,0.06368231464765499,0.024790723919398246,0.0030176754781181675,0.030627534828654213,0.006269267051592954,0.03424802500195164,0.0284019815659126,0.0015591072725211902,0.012712258914415818,0.017955144197909514,0.03852395508679881,0.016470162419328763,0.02698515382982919,0.03954237253028914,0.017770785405535477,0.0411092792658543,0.019830411541650113,0.015488462021646415,0.04880439003166707,0.005428924390397903,0.03556471501643064,0.0431741823908878,0.04676997947114874,0.05922765590474896,0.017782943471504192,0.015212987872890632,0.004175020124056447,0.04335624507473895,0.0005806857768239776,0.000699563133000354,0.0004627408400581165,0.000699563133000354,0.0014332659940508446
category,0.03949119889172396,2.271578952592208,0.3278572398484273,0.3386996464864728,0.15899853806638084,0.69814911583078,0.11571946189857352,0.08859397588040174,0.9477958293724363,0.24354784619670422,0.6963387210334506,0.4999161748490803,0.12092060605564273,0.514212901352511,0.16628173598200172,0.6937506219708622,0.7725354791340167,0.6308487600636004,0.3275845627601755,1.0882957947951,0.5490584279248183,0.24572586541432773,0.8414938377650643,0.13332882367815088,0.5433174003717371,0.2538798200251462,0.32483656884338385,0.2860029628911798,0.2280308276747481,0.3262810774264129,0.25972699766611845,0.6099892476141936,0.796629854360889,0.3410766176031994,0.46587829109526235,0.06509745144113863,0.11483178932964086,0.092222005956207,0.09609342381363176,0.1868918938545815
collective,0.004788906025305836,0.3278572398484273,1.026388044591341,0.17824480078094412,0.08235152221984063,0.23692012289527126,0.04916688901224832,0.03166487603775389,0.4468664649651069,0.1224469249692916,0.2828466928514426,0.301559206338986,0.03634375526057711,0.13705252636993545,0.14604951999863258,0.38575530036194117,0.4033353723104719,0.23656888929884398,0.055408519400721015,0.5326340982116273,0.23158628127675285,0.03819294531868796,0.367898506448337,0.04711274094723946,0.3602006246419947,0.11993033198294717,0.21995227262774292,0.12922258482518953,0.09885047970004013,0.1369638313480061,0.06255191642439842,0.35008738380341137,0.5226473649913383,0.505114442842266,0.2026559817339812,0.0536943475203526,0.20197403621877077,0.09995467114200923,0.03166487603775388,0.03010654077546121
datatype,0.011122386190005933,0.3386996464864728,0.17824480078094412,0.8813806971900466,0.1381839709997642,0.23914763894888064,0.053280253709125903,0.025684027477915306,0.3771193581221636,0.08349620199664048,0.23086042525576522,0.20190553896739177,0.08083030548756602,0.16479050632502207,0.09031435893478892,0.2627218895674698,0.29458778739273683,0.18933061925775613,0.0944165329293851,0.41284449038659055,0.14918149624623941,0.07015876191219261,0.26716486448550236,0.1221873859131174,0.3016916680098727,0.11763466611984177,0.10684134505720366,0.10511932215269817,0.13710953716869823,0.1500316697327421,0.09248331294752114,0.25501888671013834,0.36316603605895026,0.14242660507228483,0.172431720778299,0.023969297797904705,0.08480988831999611,0.02916283327891292,0.08229754070282372,0.03364854295275268
enumeration,0.0011846994025619256,0.15899853806638084,0.08235152221984063,0.1381839709997642,0.429559879560647,0.12050436212492588,0.03822364367154308,0.003611644614904104,0.23579809667515145,0.07228617277260832,0.15912457223647003,0.1545438822337603,0.04808273194162809,0.08890155510882283,0.10770876875582056,0.18278387319608022,0.21314248875576874,0.14709922715598603,0.06228561763379378,0.22814011855721272,0.13893816199434997,0.061136328841750534,0.17142878519099036,0.04752322133937753,0.17297782798755484,0.06731616383085644,0.08190875820231636,0.0644883999267605,0.03200227983532339,0.07143877327123499,0.046839480360162215,0.17986085370137103,0.20536665736869683,0.08481934170273411,0.06595330943337684,0.0029975206610786675,0.046968301123257436,0.04587193469079521,0.07996541113982625,0.007405674219166991
event,0.06368231464765448,0.69814911583078,0.23692012289527126,0.23914763894888064,0.12050436212492588,2.0346069366247903,0.25405672887066194,0.15684662947799913,0.8526807145071296,0.17422665772236123,0.6696110003737921,0.508662245664505,0.07631541189898469,0.4728161109908447,0.19240303728886413,0.6221355233565229,0.7291165276102537,0.7269186016738538,0.5357920085135506,0.9562589624155986,0.5983113077827859,0.31012635870758715,0.794749584746063,0.1565175092502902,0.42547331184185266,0.5718423572313592,0.27835677807138276,0.45884480404829725,0.42529721734613296,0.4243098924892421,0.4202717988240676,0.5950767190078537,0.7676768888727588,0.26201468333061156,0.8300807752372741,0.1568070980066855,0.11520333587920537,0.09942180649356636,0.1811068956205734,0.2697551770746098
historicalRole,0.02388539524575377,0.11571946189857352,0.04916688901224832,0.053280253709125903,0.03822364367154308,0.25405672887066194,0.36498223184292455,0.08806007794879149,0.18273525219154102,0.018131790927967913,0.1047199888133726,0.10484415913202703,0.004351615970069493,0.06663548420368362,0.07580409277763281,0.1300990757494329,0.15989706641566853,0.1416266012027983,0.09843479481569575,0.1834731590411835,0.1337372401858175,0.023894282173615562,0.12206002803254822,0.04494187770383716,0.03905137092719067,0.2367903693850021,0.0913570637333696,0.15979413213060234,0.09183538952594661,0.09908162902044781,0.18527468308985484,0.08022373397129981,0.20424147203064677,0.047941391698368356,0.20299680400942824,0.0026867805791707597,0.003237185151700392,0.0021408187192365966,0.11284080626461349,0.006637123957245049
historicalRoleMixin,0.06368231464765499,0.08859397588040174,0.03166487603775389,0.025684027477915306,0.003611644614904104,0.15684662947799913,0.08806007794879149,0.2399160692274273,0.09851294813610183,0.047651347046653914,0.048768388933335086,0.019173027630366386,0.04820252243000542,0.044297614569949205,0.029104117169093183,0.07379353581768505,0.07233362296337574,0.11791945293136818,0.040591502263475514,0.10688963053646566,0.1667351326516652,0.046030721165655514,0.08049910678472005,0.017328757930847025,0.06295181844832456,0.14995742202653667,0.016593440097354244,0.08347308960069622,0.12729455518404348,0.14097071540887587,0.12573984449455897,0.04502552836997067,0.0961739113943182,0.030106003904381937,0.13559995958379645,0.016724744305109097,0.00213210609185549,0.0014101475293509177,0.03138300034273657,0.027271526099149762
kind,0.024790723919398246,0.9477958293724363,0.4468664649651069,0.3771193581221636,0.23579809667515145,0.8526807145071296,0.18273525219154102,0.09851294813610183,2.9273842259861405,0.2564384729250979,0.8294172298357878,0.7247412578018789,0.11442914571599547,0.6639186038982793,0.24647114971088518,1.0603579354233064,1.2227622382584884,0.6769903627416611,0.31565656499033695,1.4750245425503814,0.49784137484905006,0.18447975206269376,0.9974015001827828,0.1629627658754339,0.8213633672072619,0.3664019676819678,0.5506615665157282,0.3560781314563531,0.24779077094885052,0.3307714324752229,0.2599334537866801,0.9023623320952298,1.1164334985214168,0.4090830076741487,0.5545660434227392,0.10847483213566039,0.171710253567819,0.11880822184229234,0.13365235924793456,0.1444907318296766
mixin,0.0030176754781181675,0.24354784619670422,0.1224469249692916,0.08349620199664048,0.07228617277260832,0.17422665772236123,0.018131790927967913,0.047651347046653914,0.2564384729250979,0.6796358820437063,0.2494811977629651,0.1821097496448624,0.01659608962169326,0.14637202957257314,0.10968539355604748,0.27174200065142545,0.3210195766113088,0.20999513954214433,0.0541609439113206,0.3362283186916821,0.21421464762890785,0.029784285575265766,0.2662098577393746,0.07671154892963974,0.24145935441050703,0.030591966901638373,0.13149293596925543,0.055481391608046236,0.04876285424215985,0.03828009528395271,0.06340436686708428,0.20851755488941467,0.3096025877240406,0.14501614785516428,0.074421980481544,0.0076413129286337506,0.09408715546477778,0.09589204882885075,0.009209328555849744,0.019225967559035842
