Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,111,1,111,7.288246881155613
relator,101,2,212,13.919894944189101
subkind,98,3,310,20.35456336178595
category,95,4,405,26.59225213394616
role,92,5,497,32.63296126066973
mediation,84,6,581,38.1483913328956
characterization,78,7,659,43.26986211424819
mode,65,8,724,47.53775443204202
event,62,9,786,51.60866710439921
roleMixin,62,10,848,55.679579776756405
material,58,11,906,59.487852921864736
quality,51,12,957,62.836506894287595
componentOf,47,13,1004,65.9225213394616
phase,45,14,1049,68.87721602101117
derivation,40,15,1089,71.50361129349967
participation,37,16,1126,73.93302692055155
collective,36,17,1162,76.2967826657912
type,33,18,1195,78.46355876559421
memberOf,32,19,1227,80.56467498358502
externalDependence,28,20,1255,82.40315167432699
datatype,28,21,1283,84.24162836506895
creation,25,22,1308,85.88312541037426
situation,24,23,1332,87.45896257386737
mixin,24,24,1356,89.03479973736047
historicalDependence,22,25,1378,90.47931713722916
instantiation,22,26,1400,91.92383453709783
manifestation,20,27,1420,93.23703217334209
bringsAbout,15,28,1435,94.22193040052528
quantity,13,29,1448,95.07550886408404
triggers,12,30,1460,95.8634274458306
enumeration,10,31,1470,96.52002626395273
historicalRole,9,32,1479,97.11096520026264
phaseMixin,8,33,1487,97.63624425476034
comparative,7,34,1494,98.09586342744583
termination,6,35,1500,98.4898227183191
historicalRoleMixin,6,36,1506,98.88378200919237
subCollectionOf,6,37,1512,99.27774130006566
participational,5,38,1517,99.60604070912672
subQuantityOf,4,39,1521,99.86868023637557
abstract,2,40,1523,100.0
