Stereotype,Stereotype2,Absolute Value,Sign,Classification
event,category,0.11133346751088095,positive,very_weak
kind,category,0.24641082534738917,positive,weak
mode,category,0.3789464289261341,positive,weak
phase,category,0.01616144302716329,positive,very_weak
quality,category,0.20196928032818962,positive,weak
relator,category,0.02853145942078476,positive,very_weak
role,category,0.05643273346513467,positive,very_weak
roleMixin,category,0.32715349519822623,positive,weak
subkind,category,0.3388692567162925,positive,weak
type,category,0.4064302735297507,positive,moderate
characterization,category,0.39578951349887515,positive,weak
componentOf,category,0.2965090722439147,positive,weak
derivation,category,0.008233563644798469,negative,very_weak
material,category,0.217676214767161,positive,weak
mediation,category,0.1207533297212881,positive,very_weak
memberOf,category,0.1906481647841873,positive,very_weak
participation,category,0.13474900572996676,positive,very_weak
category,event,0.11133346751088095,positive,very_weak
kind,event,0.18732450190693628,negative,very_weak
mode,event,0.18047983418558688,positive,very_weak
phase,event,0.09806666378954154,positive,very_weak
quality,event,0.1292323827417668,positive,very_weak
relator,event,0.03911116330262627,negative,very_weak
role,event,0.023634054552318616,negative,very_weak
roleMixin,event,0.3064479516806007,positive,weak
subkind,event,0.03192592188236001,positive,very_weak
type,event,0.317880995722455,positive,weak
characterization,event,0.21735317679000116,positive,weak
componentOf,event,0.0534205321560307,negative,very_weak
derivation,event,0.035852765511282164,negative,very_weak
material,event,0.04799417410017782,positive,very_weak
mediation,event,0.015908962473808894,positive,very_weak
memberOf,event,0.09321498225106623,positive,very_weak
participation,event,0.6330957253277104,positive,strong
category,kind,0.24641082534738917,positive,weak
event,kind,0.18732450190693628,negative,very_weak
mode,kind,0.1690943834062303,positive,very_weak
phase,kind,0.28661010672220644,positive,weak
quality,kind,0.17201157234966347,positive,very_weak
relator,kind,0.3551562843846254,positive,weak
role,kind,0.42065436390026734,positive,moderate
roleMixin,kind,0.14481814577870905,negative,very_weak
subkind,kind,0.6197330881915603,positive,strong
type,kind,0.08369369872004105,negative,very_weak
characterization,kind,0.07796524006658818,positive,very_weak
componentOf,kind,0.4729695500382674,positive,moderate
derivation,kind,0.2210339438549339,positive,weak
material,kind,0.38301574526777654,positive,weak
mediation,kind,0.29824437697034023,positive,weak
memberOf,kind,0.28264471758314014,positive,weak
participation,kind,0.13556878133744937,negative,very_weak
category,mode,0.3789464289261341,positive,weak
event,mode,0.18047983418558688,positive,very_weak
kind,mode,0.1690943834062303,positive,very_weak
phase,mode,0.10869125524607967,positive,very_weak
quality,mode,0.20062746233441417,positive,weak
relator,mode,0.13754024051134212,positive,very_weak
role,mode,0.25129743980405184,positive,weak
roleMixin,mode,0.29364514290531163,positive,weak
subkind,mode,0.25595299087864115,positive,weak
type,mode,0.3224565625543584,positive,weak
characterization,mode,0.5687946267918289,positive,moderate
componentOf,mode,0.2708050257316038,positive,weak
derivation,mode,0.05530281317739102,positive,very_weak
material,mode,0.1834733692848544,positive,very_weak
mediation,mode,0.2584732439740292,positive,weak
memberOf,mode,0.3385700474162627,positive,weak
participation,mode,0.0823294921628893,positive,very_weak
category,phase,0.01616144302716329,positive,very_weak
event,phase,0.09806666378954154,positive,very_weak
kind,phase,0.28661010672220644,positive,weak
mode,phase,0.10869125524607967,positive,very_weak
quality,phase,0.13416531434128323,positive,very_weak
relator,phase,0.2896492664027394,positive,weak
role,phase,0.40608412935071564,positive,moderate
roleMixin,phase,0.08667377986728998,positive,very_weak
subkind,phase,0.3510514315847144,positive,weak
type,phase,0.024276219655579898,positive,very_weak
characterization,phase,0.12343793579293702,positive,very_weak
componentOf,phase,0.21603155022510592,positive,weak
derivation,phase,0.20558454464951614,positive,weak
material,phase,0.23497492898851682,positive,weak
mediation,phase,0.39443856819363576,positive,weak
memberOf,phase,0.25877084685984647,positive,weak
participation,phase,0.04212527277575583,positive,very_weak
category,quality,0.20196928032818962,positive,weak
event,quality,0.1292323827417668,positive,very_weak
kind,quality,0.17201157234966347,positive,very_weak
mode,quality,0.20062746233441417,positive,weak
phase,quality,0.13416531434128323,positive,very_weak
relator,quality,0.11055967142792907,positive,very_weak
role,quality,0.07811869594332875,positive,very_weak
roleMixin,quality,0.026520822338427927,positive,very_weak
subkind,quality,0.3164449908212236,positive,weak
type,quality,0.12668832590483148,positive,very_weak
characterization,quality,0.5738044621145781,positive,moderate
componentOf,quality,0.010862899413719021,positive,very_weak
derivation,quality,0.10189465103616767,negative,very_weak
material,quality,0.020848298210188722,positive,very_weak
mediation,quality,0.14712661483005915,positive,very_weak
memberOf,quality,0.07727602262393417,negative,very_weak
participation,quality,0.284318730140785,positive,weak
category,relator,0.02853145942078476,positive,very_weak
event,relator,0.03911116330262627,negative,very_weak
kind,relator,0.3551562843846254,positive,weak
mode,relator,0.13754024051134212,positive,very_weak
phase,relator,0.2896492664027394,positive,weak
quality,relator,0.11055967142792907,positive,very_weak
role,relator,0.4347050381591875,positive,moderate
roleMixin,relator,0.19625442397771442,positive,very_weak
subkind,relator,0.24590209650558437,positive,weak
type,relator,0.12298141822893159,positive,very_weak
characterization,relator,0.2727436914264547,positive,weak
componentOf,relator,0.3972767714014705,positive,weak
derivation,relator,0.3741328650185562,positive,weak
material,relator,0.37427702110469807,positive,weak
mediation,relator,0.7677517840255544,positive,strong
memberOf,relator,0.34477039312774893,positive,weak
participation,relator,0.03550648003607997,positive,very_weak
category,role,0.05643273346513467,positive,very_weak
event,role,0.023634054552318616,negative,very_weak
kind,role,0.42065436390026734,positive,moderate
mode,role,0.25129743980405184,positive,weak
phase,role,0.40608412935071564,positive,moderate
quality,role,0.07811869594332875,positive,very_weak
relator,role,0.4347050381591875,positive,moderate
roleMixin,role,0.12876901785377923,positive,very_weak
subkind,role,0.25290411494330994,positive,weak
type,role,0.033093364083874956,positive,very_weak
characterization,role,0.1314390828160758,positive,very_weak
componentOf,role,0.18813500167004596,positive,very_weak
derivation,role,0.29264169254492706,positive,weak
material,role,0.24139454289976384,positive,weak
mediation,role,0.45053424913815376,positive,moderate
memberOf,role,0.29844237810523566,positive,weak
participation,role,0.1795887683777947,negative,very_weak
category,roleMixin,0.32715349519822623,positive,weak
event,roleMixin,0.3064479516806007,positive,weak
kind,roleMixin,0.14481814577870905,negative,very_weak
mode,roleMixin,0.29364514290531163,positive,weak
phase,roleMixin,0.08667377986728998,positive,very_weak
quality,roleMixin,0.026520822338427927,positive,very_weak
relator,roleMixin,0.19625442397771442,positive,very_weak
role,roleMixin,0.12876901785377923,positive,very_weak
subkind,roleMixin,0.00524258782019184,positive,very_weak
type,roleMixin,0.3840390276982241,positive,weak
characterization,roleMixin,0.2588465605636941,positive,weak
componentOf,roleMixin,0.08529040614227032,positive,very_weak
derivation,roleMixin,0.07776969661415428,positive,very_weak
material,roleMixin,0.052619322236090706,positive,very_weak
mediation,roleMixin,0.249021950211906,positive,weak
memberOf,roleMixin,0.13273876482835256,positive,very_weak
participation,roleMixin,0.22174189980883946,positive,weak
category,subkind,0.3388692567162925,positive,weak
event,subkind,0.03192592188236001,positive,very_weak
kind,subkind,0.6197330881915603,positive,strong
mode,subkind,0.25595299087864115,positive,weak
phase,subkind,0.3510514315847144,positive,weak
quality,subkind,0.3164449908212236,positive,weak
relator,subkind,0.24590209650558437,positive,weak
role,subkind,0.25290411494330994,positive,weak
roleMixin,subkind,0.00524258782019184,positive,very_weak
type,subkind,0.07224661996457858,positive,very_weak
characterization,subkind,0.20717362660117108,positive,weak
componentOf,subkind,0.36890526297371956,positive,weak
derivation,subkind,0.014936610741765605,positive,very_weak
material,subkind,0.26538524118666024,positive,weak
mediation,subkind,0.2936526689627577,positive,weak
memberOf,subkind,0.27014648397815516,positive,weak
participation,subkind,0.04145735524722176,positive,very_weak
category,type,0.4064302735297507,positive,moderate
event,type,0.317880995722455,positive,weak
kind,type,0.08369369872004105,negative,very_weak
mode,type,0.3224565625543584,positive,weak
phase,type,0.024276219655579898,positive,very_weak
quality,type,0.12668832590483148,positive,very_weak
relator,type,0.12298141822893159,positive,very_weak
role,type,0.033093364083874956,positive,very_weak
roleMixin,type,0.3840390276982241,positive,weak
subkind,type,0.07224661996457858,positive,very_weak
characterization,type,0.28638705166320544,positive,weak
componentOf,type,0.18394288790655552,positive,very_weak
derivation,type,0.1356082128800655,negative,very_weak
material,type,0.005560755720138476,positive,very_weak
mediation,type,0.13246043930993517,positive,very_weak
memberOf,type,0.1751300874698116,positive,very_weak
participation,type,0.29916500291150794,positive,weak
category,characterization,0.39578951349887515,positive,weak
event,characterization,0.21735317679000116,positive,weak
kind,characterization,0.07796524006658818,positive,very_weak
mode,characterization,0.5687946267918289,positive,moderate
phase,characterization,0.12343793579293702,positive,very_weak
quality,characterization,0.5738044621145781,positive,moderate
relator,characterization,0.2727436914264547,positive,weak
role,characterization,0.1314390828160758,positive,very_weak
roleMixin,characterization,0.2588465605636941,positive,weak
subkind,characterization,0.20717362660117108,positive,weak
type,characterization,0.28638705166320544,positive,weak
componentOf,characterization,0.2837927337011976,positive,weak
derivation,characterization,0.06937711592576863,positive,very_weak
material,characterization,0.19025310352816197,positive,very_weak
mediation,characterization,0.3818397805768552,positive,weak
memberOf,characterization,0.23594510046486525,positive,weak
participation,characterization,0.333534861379486,positive,weak
category,componentOf,0.2965090722439147,positive,weak
event,componentOf,0.0534205321560307,negative,very_weak
kind,componentOf,0.4729695500382674,positive,moderate
mode,componentOf,0.2708050257316038,positive,weak
phase,componentOf,0.21603155022510592,positive,weak
quality,componentOf,0.010862899413719021,positive,very_weak
relator,componentOf,0.3972767714014705,positive,weak
role,componentOf,0.18813500167004596,positive,very_weak
roleMixin,componentOf,0.08529040614227032,positive,very_weak
subkind,componentOf,0.36890526297371956,positive,weak
type,componentOf,0.18394288790655552,positive,very_weak
characterization,componentOf,0.2837927337011976,positive,weak
derivation,componentOf,0.18561208165774642,positive,very_weak
material,componentOf,0.39276014210542026,positive,weak
mediation,componentOf,0.37718050412521253,positive,weak
memberOf,componentOf,0.45936626554904847,positive,moderate
participation,componentOf,0.004311123526746892,positive,very_weak
category,derivation,0.008233563644798469,negative,very_weak
event,derivation,0.035852765511282164,negative,very_weak
kind,derivation,0.2210339438549339,positive,weak
mode,derivation,0.05530281317739102,positive,very_weak
phase,derivation,0.20558454464951614,positive,weak
quality,derivation,0.10189465103616767,negative,very_weak
relator,derivation,0.3741328650185562,positive,weak
role,derivation,0.29264169254492706,positive,weak
roleMixin,derivation,0.07776969661415428,positive,very_weak
subkind,derivation,0.014936610741765605,positive,very_weak
type,derivation,0.1356082128800655,negative,very_weak
characterization,derivation,0.06937711592576863,positive,very_weak
componentOf,derivation,0.18561208165774642,positive,very_weak
material,derivation,0.5105127069671637,positive,moderate
mediation,derivation,0.44266100892218635,positive,moderate
memberOf,derivation,0.26346801708095324,positive,weak
participation,derivation,0.039593451881299785,negative,very_weak
category,material,0.217676214767161,positive,weak
event,material,0.04799417410017782,positive,very_weak
kind,material,0.38301574526777654,positive,weak
mode,material,0.1834733692848544,positive,very_weak
phase,material,0.23497492898851682,positive,weak
quality,material,0.020848298210188722,positive,very_weak
relator,material,0.37427702110469807,positive,weak
role,material,0.24139454289976384,positive,weak
roleMixin,material,0.052619322236090706,positive,very_weak
subkind,material,0.26538524118666024,positive,weak
type,material,0.005560755720138476,positive,very_weak
characterization,material,0.19025310352816197,positive,very_weak
componentOf,material,0.39276014210542026,positive,weak
derivation,material,0.5105127069671637,positive,moderate
mediation,material,0.42652142341828264,positive,moderate
memberOf,material,0.3195166160302117,positive,weak
participation,material,0.02782282406082307,negative,very_weak
category,mediation,0.1207533297212881,positive,very_weak
event,mediation,0.015908962473808894,positive,very_weak
kind,mediation,0.29824437697034023,positive,weak
mode,mediation,0.2584732439740292,positive,weak
phase,mediation,0.39443856819363576,positive,weak
quality,mediation,0.14712661483005915,positive,very_weak
relator,mediation,0.7677517840255544,positive,strong
role,mediation,0.45053424913815376,positive,moderate
roleMixin,mediation,0.249021950211906,positive,weak
subkind,mediation,0.2936526689627577,positive,weak
type,mediation,0.13246043930993517,positive,very_weak
characterization,mediation,0.3818397805768552,positive,weak
componentOf,mediation,0.37718050412521253,positive,weak
derivation,mediation,0.44266100892218635,positive,moderate
material,mediation,0.42652142341828264,positive,moderate
memberOf,mediation,0.456837234475569,positive,moderate
participation,mediation,0.10860767529977108,positive,very_weak
category,memberOf,0.1906481647841873,positive,very_weak
event,memberOf,0.09321498225106623,positive,very_weak
kind,memberOf,0.28264471758314014,positive,weak
mode,memberOf,0.3385700474162627,positive,weak
phase,memberOf,0.25877084685984647,positive,weak
quality,memberOf,0.07727602262393417,negative,very_weak
relator,memberOf,0.34477039312774893,positive,weak
role,memberOf,0.29844237810523566,positive,weak
roleMixin,memberOf,0.13273876482835256,positive,very_weak
subkind,memberOf,0.27014648397815516,positive,weak
type,memberOf,0.1751300874698116,positive,very_weak
characterization,memberOf,0.23594510046486525,positive,weak
componentOf,memberOf,0.45936626554904847,positive,moderate
derivation,memberOf,0.26346801708095324,positive,weak
material,memberOf,0.3195166160302117,positive,weak
mediation,memberOf,0.456837234475569,positive,moderate
participation,memberOf,0.1624656384666636,positive,very_weak
category,participation,0.13474900572996676,positive,very_weak
event,participation,0.6330957253277104,positive,strong
kind,participation,0.13556878133744937,negative,very_weak
mode,participation,0.0823294921628893,positive,very_weak
phase,participation,0.04212527277575583,positive,very_weak
quality,participation,0.284318730140785,positive,weak
relator,participation,0.03550648003607997,positive,very_weak
role,participation,0.1795887683777947,negative,very_weak
roleMixin,participation,0.22174189980883946,positive,weak
subkind,participation,0.04145735524722176,positive,very_weak
type,participation,0.29916500291150794,positive,weak
characterization,participation,0.333534861379486,positive,weak
componentOf,participation,0.004311123526746892,positive,very_weak
derivation,participation,0.039593451881299785,negative,very_weak
material,participation,0.02782282406082307,negative,very_weak
mediation,participation,0.10860767529977108,positive,very_weak
memberOf,participation,0.1624656384666636,positive,very_weak
