Stereotype,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none_c,other_c,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none_r,other_r
abstract,0.04786485027570417,0.036407872084630415,0.00283583642343313,0.00200869185693546,0.000567743420796199,0.03208350726013039,0.00027899735835622275,0.0364078720846307,0.015052413359030951,0.0016660713202636193,0.0187288019323655,0.003437160779705274,0.04786485027570503,0.021918661328702287,0.0008669442132167512,0.011630615728126417,0.009870792561519355,0.04786485027570414,0.02718706417908559,0.010830134252542256,0.03640787208463075,0.03208350726013107,0.0014181167713374562,0.029275258718056835,0.020170659607591894,0.00042210940957803506,0.025522972150101797,0.02718706417908412,0.003231819307099211,0.0016660713202636887,0.036407872084630706,0.036407872084629984,0.029275258718056835,0.025522972150102324,0.008420726989916721,0.0024579624776587122,0.03208350726012965,0.00027899735835622275,0.00042210940957803506,0.00027899735835622275,0.00020836006404306717,0.0007159898748509558,0.029275258718057764,0.002835836423433241
category,0.036407872084630415,2.2837580539351183,0.3549102952958103,0.35327312731259497,0.1464617056720931,0.6762009714571627,0.07079880018693513,0.05634624527622791,1.0461684830545996,0.2630115556512219,0.739922490256488,0.5465341724761519,0.1337992706340202,0.5573678637491433,0.17817513885950592,0.7433666068400571,0.803169066762041,0.6505629650811684,0.3056875892337752,1.137034918980489,0.5532121418431111,0.38198190977123797,0.2677839725825596,0.2502878288721443,0.8678683877615316,0.1415706426335535,0.5762206543871066,0.21672034662094297,0.3603932309966885,0.2574970045020287,0.2472278295263588,0.3129362737110619,0.2094667686589954,0.6463143631733892,0.8450836596002567,0.3692131745393449,0.43625624717662026,0.06697518893553361,0.1251840408969781,0.09967837066338867,0.052123335979749774,0.17401671560387227,1.3269883829690916,0.4768659312609708
collective,0.00283583642343313,0.3549102952958103,1.076923628638858,0.1964597835781513,0.08406144835565588,0.2360849334388503,0.044222263380283316,0.027480372666996412,0.49376671013319706,0.13709306424852696,0.32198083036463887,0.317658715782708,0.03952566785100694,0.15268875905423923,0.15884579591909603,0.42407206015847176,0.4309431816964986,0.2510737663261113,0.05763887815987339,0.5701587151339884,0.2556237609206318,0.1121105282589353,0.09021430430483471,0.03603872953335556,0.38861494284371,0.0527877420806271,0.39074440551635714,0.13127348575248066,0.2361402736182056,0.11440699167947269,0.10190161699598622,0.14040294628676797,0.04044126217140011,0.3859617488127648,0.5770633937223093,0.5299524114002314,0.22440965426048548,0.05624965797672936,0.21820133766171385,0.10861166732261435,0.008593167765067689,0.029708016987571,0.5609719315110454,0.2865388036995311
datatype,0.00200869185693546,0.35327312731259497,0.1964597835781513,0.9052537632312313,0.14942782955060233,0.22716638183958227,0.03139820478620521,0.017964106422652712,0.40202256991792207,0.09177075985090788,0.25935820489224237,0.21407553656662856,0.08663165320045632,0.1830163401309384,0.10394101647017098,0.2765862692811921,0.31791440555831174,0.20142824717906985,0.11308600792707542,0.4316258624558326,0.17182002736071914,0.10450920761088653,0.10194422451638746,0.08856130792874914,0.27859882186108703,0.126589824427216,0.3241838113309673,0.09649591099861383,0.11370060035995364,0.07832440945912292,0.14701466618269798,0.14467322184485282,0.05169175765736118,0.27218938256704023,0.365414028780007,0.15817511794588984,0.18449980699256843,0.04071017274959138,0.09179402715119006,0.03139820478620521,0.06373234336585543,0.04179500026750877,0.4986794534399981,0.1679930232484701
enumeration,0.000567743420796199,0.1464617056720931,0.08406144835565588,0.14942782955060233,0.3695003152197628,0.0881502963284055,0.0023008371433912295,0.001718074817591994,0.20746301027443506,0.07527486971095937,0.13493331208758885,0.13537746661636071,0.05145085094294026,0.09422672885934735,0.11460545761674765,0.1670138852407054,0.19240053184046935,0.13641805001644863,0.06317767935454954,0.211125256022477,0.11386997440710361,0.014478429113379848,0.011721612240461629,0.03501487368805727,0.15744211518837498,0.05040339066407659,0.18049210326174747,0.03631537998578532,0.08401905175505633,0.03645394798065148,0.03349951564206151,0.07248228894321837,0.023557895496983797,0.18646134853437552,0.17675723346939515,0.08884460998998571,0.04309609998500373,0.0023008371433912295,0.05040339066407659,0.04937456502925229,0.03740995702737173,0.005909635906567845,0.2003819234254067,0.11154041799950014
event,0.03208350726013039,0.6762009714571627,0.2360849334388503,0.22716638183958227,0.0881502963284055,1.8966799001480728,0.13375895735759374,0.08891071568800496,0.8221482967381007,0.17898310328867292,0.6114378207161207,0.4825673511747678,0.08031334771890122,0.4422482847638231,0.1835118965811804,0.599636994897469,0.6867980907906862,0.7055386686818239,0.4866257613952863,0.8562113375964105,0.5069287878242171,0.42448149473070673,0.31889171912532976,0.29554460903413915,0.7360028626744559,0.13651122115723155,0.4573837035813224,0.48462212568670965,0.29728299215685283,0.33909786258332786,0.386070225188879,0.33867427726315213,0.2688226711923689,0.5825129818900009,0.7361633058564598,0.27909083508303417,0.7312232037893163,0.14802418409073992,0.1343762076399444,0.1179219194503521,0.0912386130099292,0.24424995793324897,1.2515765376629544,0.4288956342115729
historicalRole,0.00027899735835622275,0.07079880018693513,0.044222263380283316,0.03139820478620521,0.0023008371433912295,0.13375895735759374,0.19104384831296045,0.04828689851812897,0.12230197916651986,0.006758224666076645,0.022095265071398307,0.03316554598875953,0.0023008371433912295,0.04045259902287536,0.09332158640513447,0.09041057847816114,0.09441462577285416,0.09049029630160052,0.09856280956012498,0.07825699909701711,0.05374008291180707,0.03436741206387004,0.05194994920823893,0.003514241730838863,0.04993920595485788,0.037476777752274364,0.035647080660502053,0.10524871171111702,0.09590333493402123,0.041244400845754536,0.056816915994278,0.051461358149857146,0.038823438823560194,0.06178952986912235,0.11872433095907005,0.04576238169810303,0.11108337658702606,0.0011304032150846327,0.001710439915401693,0.0011304032150846327,0.000844157652002818,0.002901971798536976,0.12030551166394379,0.07338886115754792
historicalRoleMixin,0.0364078720846307,0.05634624527622791,0.027480372666996412,0.017964106422652712,0.001718074817591994,0.08891071568800496,0.04828689851812897,0.13193037991022585,0.05960806547796042,0.00504488882516619,0.018049025384287855,0.010419479661821128,0.06604368149767134,0.017873373049914966,0.028790283776972445,0.055422583970362656,0.04271841673139622,0.07319703255208498,0.01877155506077189,0.05811925437837224,0.09813152359355062,0.024005346573960078,0.0042934589965785905,0.01942150012487174,0.022398468999784614,0.0012772657316859198,0.04186172844118044,0.09057480771698807,0.009795639665150131,0.05359683666709268,0.07745373749693123,0.10469205870357935,0.054885904099020034,0.02380971702447293,0.06469132566739898,0.025800082154555315,0.09547125079803351,0.025372942135982006,0.0012772657316859198,0.000844157652002818,0.036688036781215946,0.0021668637520984857,0.07896985377935958,0.025732370945886297
kind,0.015052413359030951,1.0461684830545996,0.49376671013319706,0.40202256991792207,0.20746301027443506,0.8221482967381007,0.12230197916651986,0.05960806547796042,2.933591944254931,0.2730430703258713,0.8646488872516142,0.7507719757004592,0.12611157285645364,0.7018249840605968,0.2552492836618624,1.1507564090455502,1.3115152872162636,0.7328801693926102,0.30720830497737794,1.538508329061116,0.4607240327750515,0.4843348323625507,0.351299381377953,0.17805913278476562,1.0178514115666524,0.16955452237838314,0.8782595291330426,0.3304781085944264,0.6090605792856498,0.3185140353245056,0.2220897713249648,0.29595755907670196,0.1823992163694348,0.98326449322972,1.1580093877350892,0.4431228724296268,0.517348599618543,0.10212840982562424,0.1867197246899986,0.1274145889260791,0.07539220557190984,0.14200518396324224,1.8169049298340232,0.5943354498524205
mixin,0.0016660713202636193,0.2630115556512219,0.13709306424852696,0.09177075985090788,0.07527486971095937,0.17898310328867292,0.006758224666076645,0.00504488882516619,0.2730430703258713,0.6849736429321333,0.27497330214047405,0.2246556265281377,0.01813852148070315,0.16588036330499678,0.12269676363709252,0.3104566794369707,0.35010809007100496,0.2257246384641799,0.051018137300077274,0.34780289835037176,0.23300200217864203,0.1339316913716585,0.11232436209450072,0.017939750569404382,0.30338432085067035,0.08326909269160063,0.2564236489584851,0.026803390550354828,0.14415086825786372,0.05459372490421125,0.04505661436229013,0.03476991867880253,0.04361626388261357,0.22527658634698372,0.3663062422499521,0.15563411098944457,0.06736576854636217,0.006758224666076659,0.10185868424924718,0.10361568647542531,0.00504488882516619,0.014438076792125817,0.36687204299809506,0.23913169715358762
