Stereotype,Stereotype2,Absolute Value,Sign,Classification
event,category,0.09763366728134674,positive,very_weak
kind,category,0.0509726367199117,positive,very_weak
mode,category,0.3676609643959763,positive,weak
phase,category,0.04218596930823605,positive,very_weak
quality,category,0.19020117654612162,positive,very_weak
relator,category,0.02856844710010982,positive,very_weak
role,category,0.02577240321905832,positive,very_weak
roleMixin,category,0.30233085917338615,positive,weak
subkind,category,0.3215352390434954,positive,weak
type,category,0.31554797231673987,positive,weak
none_c,category,0.0661859182148095,positive,very_weak
characterization,category,0.355043908860545,positive,weak
componentOf,category,0.2801074679322706,positive,weak
derivation,category,0.015194706336349844,positive,very_weak
material,category,0.1446026843002413,positive,very_weak
mediation,category,0.07631017396865786,positive,very_weak
memberOf,category,0.1251301941254911,positive,very_weak
participation,category,0.11722591353145521,positive,very_weak
none_r,category,0.13594622965518396,positive,very_weak
other_r,category,0.0495677725787915,positive,very_weak
category,event,0.09763366728134674,positive,very_weak
kind,event,0.20980115958899612,positive,weak
mode,event,0.18349335637800168,positive,very_weak
phase,event,0.08393527556614634,positive,very_weak
quality,event,0.11047413247187522,positive,very_weak
relator,event,0.05296692595732752,positive,very_weak
role,event,0.04885522512417185,positive,very_weak
roleMixin,event,0.27467295874178493,positive,weak
subkind,event,0.023297414120069748,positive,very_weak
type,event,0.29194889912688915,positive,weak
none_c,event,0.12526902360726574,positive,very_weak
characterization,event,0.19507664801309554,positive,very_weak
componentOf,event,0.07064611838660662,positive,very_weak
derivation,event,0.010276506941300681,positive,very_weak
material,event,0.02362683619209288,positive,very_weak
mediation,event,0.030846935528820337,positive,very_weak
memberOf,event,0.09280672008534599,positive,very_weak
participation,event,0.6147453439129097,positive,strong
none_r,event,0.24965556967083677,positive,weak
other_r,event,0.09921112606702376,positive,very_weak
category,kind,0.0509726367199117,positive,very_weak
event,kind,0.20980115958899612,positive,weak
mode,kind,0.1093163764271441,positive,very_weak
phase,kind,0.27898318945457484,positive,weak
quality,kind,0.10062722597477743,positive,very_weak
relator,kind,0.23591478376647187,positive,weak
role,kind,0.44809509940211517,positive,moderate
roleMixin,kind,0.14116530741350775,positive,very_weak
subkind,kind,0.4833377716450401,positive,moderate
type,kind,0.12956070631991748,positive,very_weak
none_c,kind,0.015667770068618386,positive,very_weak
characterization,kind,0.028947793856086774,positive,very_weak
componentOf,kind,0.31085607904415485,positive,weak
derivation,kind,0.26044698273239053,positive,weak
material,kind,0.3686061987825189,positive,weak
mediation,kind,0.2553644594091719,positive,weak
memberOf,kind,0.21214238318258155,positive,weak
participation,kind,0.1724068188335558,positive,very_weak
none_r,kind,0.06293348125473608,positive,very_weak
other_r,kind,0.05137483993996965,positive,very_weak
category,mode,0.3676609643959763,positive,weak
event,mode,0.18349335637800168,positive,very_weak
kind,mode,0.1093163764271441,positive,very_weak
phase,mode,0.12850782629078938,positive,very_weak
quality,mode,0.2019157631310858,positive,weak
relator,mode,0.15192177538673632,positive,very_weak
role,mode,0.18359077753722736,positive,very_weak
roleMixin,mode,0.29846258127126213,positive,weak
subkind,mode,0.23519340801111757,positive,weak
type,mode,0.29137848285072143,positive,weak
none_c,mode,0.19339388477791994,positive,very_weak
characterization,mode,0.5405207431967847,positive,moderate
componentOf,mode,0.22434292734570455,positive,weak
derivation,mode,0.06718370695037519,positive,very_weak
material,mode,0.17673500084637453,positive,very_weak
mediation,mode,0.25105764720103546,positive,weak
memberOf,mode,0.30268294569021603,positive,weak
participation,mode,0.08183818414222377,positive,very_weak
none_r,mode,0.11760035119453306,positive,very_weak
other_r,mode,0.054790793593623176,positive,very_weak
category,phase,0.04218596930823605,positive,very_weak
event,phase,0.08393527556614634,positive,very_weak
kind,phase,0.27898318945457484,positive,weak
mode,phase,0.12850782629078938,positive,very_weak
quality,phase,0.12268786698610419,positive,very_weak
relator,phase,0.19254244426475275,positive,very_weak
role,phase,0.31718127212608316,positive,weak
roleMixin,phase,0.0719932661708999,positive,very_weak
subkind,phase,0.3554878728463492,positive,weak
type,phase,0.014005923437376899,positive,very_weak
none_c,phase,0.03971765076839678,positive,very_weak
characterization,phase,0.09224308980147378,positive,very_weak
componentOf,phase,0.2118791506935455,positive,weak
derivation,phase,0.19171073721479168,positive,very_weak
material,phase,0.19700683555203505,positive,very_weak
mediation,phase,0.29086294454876127,positive,weak
memberOf,phase,0.25929815990142335,positive,weak
participation,phase,0.04496769410661212,positive,very_weak
none_r,phase,0.052972139527886146,positive,very_weak
other_r,phase,0.04067509993498382,positive,very_weak
category,quality,0.19020117654612162,positive,very_weak
event,quality,0.11047413247187522,positive,very_weak
kind,quality,0.10062722597477743,positive,very_weak
mode,quality,0.2019157631310858,positive,weak
phase,quality,0.12268786698610419,positive,very_weak
relator,quality,0.13113011070901867,positive,very_weak
role,quality,0.11391102823109155,positive,very_weak
roleMixin,quality,0.03535350477992713,positive,very_weak
subkind,quality,0.19136716442960813,positive,very_weak
type,quality,0.15519922729476016,positive,very_weak
none_c,quality,0.14716538341955934,positive,very_weak
characterization,quality,0.5325324581040963,positive,moderate
componentOf,quality,0.011849685947770723,positive,very_weak
derivation,quality,0.0665331746783559,positive,very_weak
material,quality,0.02141300787809346,positive,very_weak
mediation,quality,0.1255530400852532,positive,very_weak
memberOf,quality,0.0997661176552057,positive,very_weak
participation,quality,0.27176651522611167,positive,weak
none_r,quality,0.013998084895196295,positive,very_weak
other_r,quality,0.14770660808857106,positive,very_weak
category,relator,0.02856844710010982,positive,very_weak
