Stereotype,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation
characterization,1.0,0.24969716214062157,0.22204682918753962,0.04665630271928926,0.4079183406718204,0.2761652778503974,0.31242968865052395,0.3555906182479952,0.1945426333719225,0.3530151870330434,0.20010568056885358,0.38100690772477863
componentOf,0.24969716214062157,1.0,0.022028338795281956,0.2118181066215302,-0.077616795685963,0.038662085947453205,0.0952399488711602,0.007374758333371451,0.39443052837074005,0.34662888480169085,0.449182929976259,-0.016613530393746162
creation,0.22204682918753962,0.022028338795281956,1.0,0.0080765606274716,0.30035600464729256,0.4388014222785995,0.3930041487006871,0.5043099604172845,-0.0030556655633845373,0.17328274168627195,0.13987759615504453,0.7195100634357636
derivation,0.04665630271928926,0.2118181066215302,0.0080765606274716,1.0,-0.15571946418731622,-0.11485029971082492,-0.1401896474206737,-0.20153068764626153,0.5021701104711027,0.42094541834163085,0.2706753552558067,-0.06437351616097382
externalDependence,0.4079183406718204,-0.077616795685963,0.30035600464729256,-0.15571946418731622,1.0,0.36853010338845815,0.4824256590524791,0.49048177971480333,-0.20678943452914014,0.09473212692035742,0.08842235104546203,0.3898013497424784
historicalDependence,0.2761652778503974,0.038662085947453205,0.4388014222785995,-0.11485029971082492,0.36853010338845815,1.0,0.5842446574741734,0.5990884182955906,0.005936129440823484,0.04393256437260239,0.03961741852237277,0.6485056658399958
instantiation,0.31242968865052395,0.0952399488711602,0.3930041487006871,-0.1401896474206737,0.4824256590524791,0.5842446574741734,1.0,0.718630786738787,-0.13206587174151008,0.04883444568844001,0.04042303596986939,0.52924806393756
manifestation,0.3555906182479952,0.007374758333371451,0.5043099604172845,-0.20153068764626153,0.49048177971480333,0.5990884182955906,0.718630786738787,1.0,-0.13382349166906796,-0.028641206290659957,-0.058740045380096806,0.6249457207215926
material,0.1945426333719225,0.39443052837074005,-0.0030556655633845373,0.5021701104711027,-0.20678943452914014,0.005936129440823484,-0.13206587174151008,-0.13382349166906796,1.0,0.41784267672248965,0.297171249166107,-0.037562539658708836
mediation,0.3530151870330434,0.34662888480169085,0.17328274168627195,0.42094541834163085,0.09473212692035742,0.04393256437260239,0.04883444568844001,-0.028641206290659957,0.41784267672248965,1.0,0.44188742092675926,0.07140489311750671
memberOf,0.20010568056885358,0.449182929976259,0.13987759615504453,0.2706753552558067,0.08842235104546203,0.03961741852237277,0.04042303596986939,-0.058740045380096806,0.297171249166107,0.44188742092675926,1.0,0.11881235331212125
participation,0.38100690772477863,-0.016613530393746162,0.7195100634357636,-0.06437351616097382,0.3898013497424784,0.6485056658399958,0.52924806393756,0.6249457207215926,-0.037562539658708836,0.07140489311750671,0.11881235331212125,1.0
