Stereotype,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
bringsAbout,0.4551305226696707,0.265031557208862,0.09242035046693713,0.12506090418236682,0.06397337661732361,0.05256091473844358,0.1085389827005118,0.1352819322986899,0.11199805015438283,0.10918810294689171,0.17619685884129788,0.18127496090247774,0.04361177445870862,0.27652958779513026,0.027366460632486704,0.0053192386785760465,0.003514241730838863,0.05488590409902003,0.20480731211883443,0.2510691180455489,0.04988299960376505
characterization,0.265031557208862,2.211477280199068,0.14225751060377578,0.6631737647565835,0.271522868432899,0.4042745757185795,0.42422842127172494,0.3110430315379826,0.3543366789757137,0.262315035703186,0.7725974714929127,0.9898524800389235,0.3960820671677698,0.5370610785084242,0.08402798700796679,0.13078448422139607,0.13330308789612783,0.050092659667897145,0.24664192130960053,1.2953993761333373,0.45327346157193915
comparative,0.09242035046693713,0.14225751060377578,0.27468732970505816,0.1753978703304667,0.08253538106584338,0.07480678584300007,0.010234288887275858,0.047485904934432166,0.007715873177233046,0.033337644832088516,0.21975481783029838,0.1751294911445205,0.095034928516981,0.10506432019166864,0.001710439915401707,0.002588311211857819,0.001710439915401707,0.08448763904409973,0.030480502214471267,0.13423164836338036,0.01745226902099778
componentOf,0.12506090418236682,0.6631737647565835,0.1753978703304667,1.595667834879522,0.204447787249319,0.3776749319505335,0.1782298084031764,0.16827727483471158,0.2080093618828832,0.14491895202105864,0.6948855371567046,0.7535320118786574,0.3861680335133495,0.2773125539716933,0.037030939956543676,0.1739734810844356,0.12719842224756522,0.07214800097285198,0.06503201497840241,0.8903638871003985,0.37201332530937936
creation,0.06397337661732361,0.271522868432899,0.08253538106584338,0.204447787249319,0.6788186766784131,0.12233886751235243,0.14328535462838754,0.16978801957950243,0.20499026065822906,0.1444887968789506,0.20551421035961162,0.3442112829848657,0.14589348468325275,0.4615224424061518,0.11238132507769011,0.07328432863718663,0.04024747186698359,0.07911782952591459,0.03416829265254904,0.44605908327537436,0.10532022160027646
derivation,0.05256091473844358,0.4042745757185795,0.07480678584300007,0.3776749319505335,0.12233886751235243,1.1902940339466894,0.07873999403754758,0.062347037843929386,0.05587998619907026,0.03406301220531494,0.7071936475544182,0.6856578626142557,0.24504027935112305,0.13332218828316003,0.013129056627997349,0.13817927171818556,0.09193417493106143,0.0395981150733588,0.055080314640978054,0.6536645507222575,0.4127733293683537
externalDependence,0.1085389827005118,0.42422842127172494,0.010234288887275858,0.1782298084031764,0.14328535462838754,0.07873999403754758,0.8148601353984621,0.19143966928054507,0.30946903334712983,0.1984987190549443,0.13733510802219873,0.3795525980554173,0.1257747718518859,0.315261624683271,0.08979634868768097,0.028764204623831204,0.025463057830180658,0.030396346810496216,0.10800017168171126,0.49291452186007195,0.1691072273888804
historicalDependence,0.1352819322986899,0.3110430315379826,0.047485904934432166,0.16827727483471158,0.16978801957950243,0.062347037843929386,0.19143966928054507,0.599640465029571,0.25960277453080466,0.188661720244778,0.1523048403656337,0.30660448077663893,0.09556143755988189,0.38950701079918093,0.0805109573232901,0.058370804868960555,0.028306670347801925,0.027750017340264263,0.11681609530154628,0.3637766715913501,0.09970654308315746
instantiation,0.11199805015438283,0.3543366789757137,0.007715873177233046,0.2080093618828832,0.20499026065822906,0.05587998619907026,0.30946903334712983,0.25960277453080466,0.6806988645270657,0.33113192616307,0.13578859062426796,0.3062566634252132,0.12329243836247834,0.3527929520386929,0.05488842743200265,0.026676330926026198,0.024223036943209784,0.034470258426989676,0.09393647785513128,0.4333780928977712,0.13823178770991315
manifestation,0.10918810294689171,0.262315035703186,0.033337644832088516,0.14491895202105864,0.1444887968789506,0.03406301220531494,0.1984987190549443,0.188661720244778,0.33113192616307,0.4665875008607442,0.07335655884076345,0.1901013207473365,0.03813847058801515,0.2932122047793986,0.003514241730838863,0.005319238678576033,0.003514241730838863,0.0026239268029734017,0.10299682154754775,0.29689703080984275,0.12228516401423162
material,0.17619685884129788,0.7725974714929127,0.21975481783029838,0.6948855371567046,0.20551421035961162,0.7071936475544182,0.13733510802219873,0.1523048403656337,0.13578859062426796,0.07335655884076345,1.8314381187463444,1.0159442596572388,0.40709810157763804,0.31502819941388205,0.03487124306488289,0.1542608168749217,0.1404357012627006,0.08897837556765892,0.09871537035620934,1.039390507279847,0.4295258303095616
mediation,0.18127496090247774,0.9898524800389235,0.1751294911445205,0.7535320118786574,0.3442112829848657,0.6856578626142557,0.3795525980554173,0.30660448077663893,0.3062566634252132,0.1901013207473365,1.0159442596572388,2.3926584530871495,0.5764622818497603,0.5143131037587704,0.14014274683609945,0.21151746899762724,0.17958687012188712,0.06524793541779147,0.14264186042569202,1.3834086072104042,0.6328945222123472
memberOf,0.04361177445870862,0.3960820671677698,0.095034928516981,0.3861680335133495,0.14589348468325275,0.24504027935112305,0.1257747718518859,0.09556143755988189,0.12329243836247834,0.03813847058801515,0.40709810157763804,0.5764622818497603,0.9832530161252881,0.2091258035000389,0.05510282346357971,0.17323861801438012,0.1267743197375748,0.04023970988642277,0.03098315846375297,0.515365402047297,0.3113116851230134
participation,0.27652958779513026,0.5370610785084242,0.10506432019166864,0.2773125539716933,0.4615224424061518,0.13332218828316003,0.315261624683271,0.38950701079918093,0.3527929520386929,0.2932122047793986,0.31502819941388205,0.5143131037587704,0.2091258035000389,1.1129634898078087,0.15177647065869465,0.0770968179751914,0.06782082982040928,0.08344219435041496,0.18487236550609248,0.6841026049468866,0.23867434994132672
participational,0.027366460632486704,0.08402798700796679,0.001710439915401707,0.037030939956543676,0.11238132507769011,0.013129056627997349,0.08979634868768097,0.0805109573232901,0.05488842743200265,0.003514241730838863,0.03487124306488289,0.14014274683609945,0.05510282346357971,0.15177647065869465,0.17958687012188695,0.03747677775227438,0.03704366967258962,0.036829920327055496,0.01768858967606593,0.1337589573575934,0.011515838377978205
subCollectionOf,0.0053192386785760465,0.13078448422139607,0.002588311211857819,0.1739734810844356,0.07328432863718663,0.13817927171818556,0.028764204623831204,0.058370804868960555,0.026676330926026198,0.005319238678576033,0.1542608168749217,0.21151746899762724,0.17323861801438012,0.0770968179751914,0.03747677775227438,0.27468732970505816,0.12068715106468819,0.0012772657316859198,0.00439211302729578,0.18849907985981562,0.15135011755989985
subQuantityOf,0.003514241730838863,0.13330308789612783,0.001710439915401707,0.12719842224756522,0.04024747186698359,0.09193417493106143,0.025463057830180658,0.028306670347801925,0.024223036943209784,0.003514241730838863,0.1404357012627006,0.17958687012188712,0.1267743197375748,0.06782082982040928,0.03704366967258962,0.12068715106468819,0.17958687012188695,0.000844157652002818,0.0029019717985369897,0.13889510322159035,0.10686366560150415
termination,0.05488590409902003,0.050092659667897145,0.08448763904409973,0.07214800097285198,0.07911782952591459,0.0395981150733588,0.030396346810496216,0.027750017340264263,0.034470258426989676,0.0026239268029734017,0.08897837556765892,0.06524793541779147,0.04023970988642277,0.08344219435041496,0.036829920327055496,0.0012772657316859198,0.000844157652002818,0.13193037991022585,0.01703000552689231,0.07264902145228305,0.008593167765067689
