Stereotype,x_value,y_value,distance_from_origin,rank,quadrant
bringsAbout,0.004775315293253337,0.11278195488721804,0.11288300573750003,15,Q3
characterization,0.07652748867393168,0.5864661654135338,0.5914380945607014,3,Q1
comparative,0.004652871311375046,0.05263157894736842,0.0528368461770126,17,Q3
componentOf,0.06783396596057303,0.3533834586466165,0.35983512305358006,5,Q1
creation,0.013101506060977102,0.18796992481203006,0.18842595918531516,11,Q1
derivation,0.02693767601322395,0.3007518796992481,0.30195584367854916,6,Q1
externalDependence,0.015060609771029753,0.21052631578947367,0.21106433049325132,10,Q1
historicalDependence,0.0071017509489408595,0.16541353383458646,0.16556591449385546,13,Q3
instantiation,0.011877066242194196,0.16541353383458646,0.16583938578687316,12,Q3
manifestation,0.008693522713358638,0.15037593984962405,0.15062702487543672,14,Q3
material,0.08093547202155014,0.43609022556390975,0.44353718611152865,4,Q1
mediation,0.2467246234847557,0.631578947368421,0.678059736743524,2,Q1
memberOf,0.024978572303171298,0.24060150375939848,0.24189463136991818,9,Q1
participation,0.03232521121586874,0.2781954887218045,0.2800672226900431,7,Q1
participational,0.002203991673809232,0.03759398496240601,0.037658535349264846,20,Q3
subCollectionOf,0.0033059875107138486,0.045112781954887216,0.0452337556381315,19,Q3
subQuantityOf,0.0017142157462960695,0.03007518796992481,0.030124001511272692,21,Q3
termination,0.004775315293253337,0.045112781954887216,0.04536481821697489,18,Q3
triggers,0.0025713236194441044,0.09022556390977443,0.0902621963392909,16,Q3
none,0.29778376392800293,0.8721804511278195,0.9216148378735313,1,Q1
other,0.06611975021427696,0.2706766917293233,0.27863541198837144,8,Q1
