Stereotype,Stereotype2,Absolute Value,Sign,Classification
characterization,bringsAbout,0.2753960972024054,positive,weak
comparative,bringsAbout,0.31052244796142886,positive,weak
componentOf,bringsAbout,0.037158671330160126,positive,very_weak
creation,bringsAbout,0.17765662948313596,positive,very_weak
derivation,bringsAbout,0.008848238966486668,negative,very_weak
externalDependence,bringsAbout,0.20391418815228005,positive,weak
historicalDependence,bringsAbout,0.37736142222445146,positive,weak
instantiation,bringsAbout,0.2792971395447729,positive,weak
manifestation,bringsAbout,0.3688230886047048,positive,weak
material,bringsAbout,0.1269845161168218,positive,very_weak
mediation,bringsAbout,0.09403824840226843,negative,very_weak
memberOf,bringsAbout,0.06209853927433442,negative,very_weak
participation,bringsAbout,0.506465821693497,positive,moderate
participational,bringsAbout,0.0780343830128025,positive,very_weak
subCollectionOf,bringsAbout,0.0756317360462962,negative,very_weak
subQuantityOf,bringsAbout,0.06123817004977124,negative,very_weak
termination,bringsAbout,0.3258517982676289,positive,weak
triggers,bringsAbout,0.7153966492032395,positive,strong
none,bringsAbout,0.030466913662723905,negative,very_weak
other,bringsAbout,0.14439655553486822,negative,very_weak
bringsAbout,characterization,0.2753960972024054,positive,weak
comparative,characterization,0.061412813007693266,positive,very_weak
componentOf,characterization,0.2837927337011976,positive,weak
creation,characterization,0.17216302464171115,positive,very_weak
derivation,characterization,0.06937711592576863,positive,very_weak
externalDependence,characterization,0.35740346229310777,positive,weak
historicalDependence,characterization,0.22198844334028514,positive,weak
instantiation,characterization,0.29126964429963603,positive,weak
manifestation,characterization,0.30056652321470867,positive,weak
material,characterization,0.19025310352816197,positive,very_weak
mediation,characterization,0.3818397805768552,positive,weak
memberOf,characterization,0.23594510046486525,positive,weak
participation,characterization,0.333534861379486,positive,weak
participational,characterization,0.08743762968561679,positive,very_weak
subCollectionOf,characterization,0.08169227215237891,positive,very_weak
subQuantityOf,characterization,0.2333481019830996,positive,weak
termination,characterization,0.01630806614674722,negative,very_weak
triggers,characterization,0.30525564260981836,positive,weak
none,characterization,0.003353121777601751,positive,very_weak
other,characterization,0.093571765994605,positive,very_weak
bringsAbout,comparative,0.31052244796142886,positive,weak
characterization,comparative,0.061412813007693266,positive,very_weak
componentOf,comparative,0.26738500166705353,positive,weak
creation,comparative,0.2250594593150059,positive,weak
derivation,comparative,0.093754169742632,positive,very_weak
externalDependence,comparative,0.10694209651842161,negative,very_weak
historicalDependence,comparative,0.1213224163301363,positive,very_weak
instantiation,comparative,0.09197032786287009,negative,very_weak
manifestation,comparative,0.04208681673063591,positive,very_weak
material,comparative,0.3115883635245425,positive,weak
mediation,comparative,0.2368834634607766,positive,weak
memberOf,comparative,0.2093486551048977,positive,weak
participation,comparative,0.18438822906664176,positive,very_weak
participational,comparative,0.0422102544176855,negative,very_weak
subCollectionOf,comparative,0.052131453601091456,negative,very_weak
subQuantityOf,comparative,0.0422102544176855,negative,very_weak
termination,comparative,0.4652183896232143,positive,moderate
triggers,comparative,0.0671799429368552,positive,very_weak
none,comparative,0.18734269034602458,negative,very_weak
other,comparative,0.14298106727145735,negative,very_weak
bringsAbout,componentOf,0.037158671330160126,positive,very_weak
characterization,componentOf,0.2837927337011976,positive,weak
comparative,componentOf,0.26738500166705353,positive,weak
creation,componentOf,0.061970464580913924,positive,very_weak
derivation,componentOf,0.18561208165774642,positive,very_weak
externalDependence,componentOf,0.012753541424891483,negative,very_weak
historicalDependence,componentOf,0.058624132182898574,positive,very_weak
instantiation,componentOf,0.1285216256295731,positive,very_weak
manifestation,componentOf,0.07923994385272336,positive,very_weak
material,componentOf,0.39276014210542026,positive,weak
mediation,componentOf,0.37718050412521253,positive,weak
memberOf,componentOf,0.45936626554904847,positive,moderate
participation,componentOf,0.004311123526746892,positive,very_weak
participational,componentOf,0.06384845296252155,negative,very_weak
subCollectionOf,componentOf,0.27563092601885436,positive,weak
subQuantityOf,componentOf,0.29026954721977644,positive,weak
termination,componentOf,0.14873138439134664,positive,very_weak
triggers,componentOf,0.10209347024998361,negative,very_weak
none,componentOf,0.13869129956504395,negative,very_weak
other,componentOf,0.13397302791417193,positive,very_weak
bringsAbout,creation,0.17765662948313596,positive,very_weak
characterization,creation,0.17216302464171115,positive,very_weak
comparative,creation,0.2250594593150059,positive,weak
componentOf,creation,0.061970464580913924,positive,very_weak
derivation,creation,0.058994005751009555,positive,very_weak
externalDependence,creation,0.21561687076384004,positive,weak
historicalDependence,creation,0.38342639921559213,positive,weak
instantiation,creation,0.35615378078224613,positive,weak
manifestation,creation,0.3270710293609022,positive,weak
material,creation,0.013820364615990694,positive,very_weak
mediation,creation,0.20242249203178575,positive,weak
memberOf,creation,0.18860286800922269,positive,very_weak
participation,creation,0.6886539211724967,positive,strong
participational,creation,0.334336190585572,positive,weak
subCollectionOf,creation,0.1296674182853683,positive,very_weak
subQuantityOf,creation,0.06811468210059085,positive,very_weak
termination,creation,0.38022692713276746,positive,weak
triggers,creation,0.03964018773555826,positive,very_weak
none,creation,0.014866292327237225,positive,very_weak
other,creation,0.07963361997389945,negative,very_weak
bringsAbout,derivation,0.008848238966486668,negative,very_weak
characterization,derivation,0.06937711592576863,positive,very_weak
comparative,derivation,0.093754169742632,positive,very_weak
componentOf,derivation,0.18561208165774642,positive,very_weak
creation,derivation,0.058994005751009555,positive,very_weak
externalDependence,derivation,0.11391733025645134,negative,very_weak
historicalDependence,derivation,0.10146834588185237,negative,very_weak
instantiation,derivation,0.1527923201457731,negative,very_weak
manifestation,derivation,0.17880983066637668,negative,very_weak
material,derivation,0.5105127069671637,positive,moderate
mediation,derivation,0.44266100892218635,positive,moderate
memberOf,derivation,0.26346801708095324,positive,weak
participation,derivation,0.039593451881299785,negative,very_weak
participational,derivation,0.12467308140063657,negative,very_weak
subCollectionOf,derivation,0.2100006391404569,positive,weak
subQuantityOf,derivation,0.20246496277045525,positive,weak
termination,derivation,0.11022492527712018,positive,very_weak
triggers,derivation,0.06757542414023804,positive,very_weak
none,derivation,0.008042647185806173,negative,very_weak
other,derivation,0.30780835114294575,positive,weak
bringsAbout,externalDependence,0.20391418815228005,positive,weak
characterization,externalDependence,0.35740346229310777,positive,weak
comparative,externalDependence,0.10694209651842161,negative,very_weak
componentOf,externalDependence,0.012753541424891483,negative,very_weak
creation,externalDependence,0.21561687076384004,positive,weak
derivation,externalDependence,0.11391733025645134,negative,very_weak
historicalDependence,externalDependence,0.3840891596458304,positive,weak
instantiation,externalDependence,0.5256160257696942,positive,moderate
manifestation,externalDependence,0.4257284129792023,positive,moderate
material,externalDependence,0.24301359500748052,negative,weak
mediation,externalDependence,0.08908900873740724,positive,very_weak
memberOf,externalDependence,0.11363698968145103,positive,very_weak
participation,externalDependence,0.34483184917495363,positive,weak
participational,externalDependence,0.24376562710072575,positive,weak
subCollectionOf,externalDependence,0.0015265964191209696,negative,very_weak
subQuantityOf,externalDependence,0.037277209588661826,positive,very_weak
termination,externalDependence,0.041050948836646284,positive,very_weak
triggers,externalDependence,0.25065076691261073,positive,weak
none,externalDependence,0.013522600187496493,positive,very_weak
other,externalDependence,0.06460886969734395,positive,very_weak
bringsAbout,historicalDependence,0.37736142222445146,positive,weak
