Stereotype,characterization,componentOf,creation,derivation,externalDependence,instantiation,material,mediation,memberOf,participation,none,other
characterization,1.0,0.25938199807049633,0.21522672545342175,0.06282947809631947,0.3825341169668364,0.30186405882347206,0.18933342520462398,0.3772421689795126,0.1933980841246222,0.3656740535821278,0.05162872516502647,0.0693939796909904
componentOf,0.25938199807049633,1.0,0.032148943424471846,0.16756306205459878,0.07532553331548088,0.1140388241556184,0.3625033899256317,0.245117412244368,0.42038238008863943,0.006621610770315435,0.07852664508666471,0.1573977400861999
creation,0.21522672545342175,0.032148943424471846,1.0,0.012771048074469266,0.2852020577663282,0.4001170459940352,0.0034045626532066037,0.14898131741049123,0.13710729238612307,0.7257466102345687,0.0770711128470739,0.08535245483979899
derivation,0.06282947809631947,0.16756306205459878,0.012771048074469266,1.0,0.14637084536275205,0.12722587424260945,0.5082151717880387,0.42688905489145784,0.27672939169203153,0.05154010168161277,0.028742192046179324,0.3057816648976618
externalDependence,0.3825341169668364,0.07532553331548088,0.2852020577663282,0.14637084536275205,1.0,0.49828072191946876,0.20018044174040234,0.09158373017229024,0.09292008667142658,0.3844011176960635,0.0398024903654643,0.006820693265692664
instantiation,0.30186405882347206,0.1140388241556184,0.4001170459940352,0.12722587424260945,0.49828072191946876,1.0,0.13917156801574151,0.014684930405133217,0.036776816929602656,0.5099284588189039,0.04682906733218398,0.00719191442543205
material,0.18933342520462398,0.3625033899256317,0.0034045626532066037,0.5082151717880387,0.20018044174040234,0.13917156801574151,1.0,0.38640357628929456,0.2912092269761337,0.037986160077526185,0.10656419507700036,0.1982546717969762
mediation,0.3772421689795126,0.245117412244368,0.14898131741049123,0.42688905489145784,0.09158373017229024,0.014684930405133217,0.38640357628929456,1.0,0.3971683493782957,0.08084644506085786,0.108767798070589,0.16175363720330066
memberOf,0.1933980841246222,0.42038238008863943,0.13710729238612307,0.27672939169203153,0.09292008667142658,0.036776816929602656,0.2912092269761337,0.3971683493782957,1.0,0.12019691738337282,0.13533048076318974,0.2504556321794552
participation,0.3656740535821278,0.006621610770315435,0.7257466102345687,0.05154010168161277,0.3844011176960635,0.5099284588189039,0.037986160077526185,0.08084644506085786,0.12019691738337282,1.0,0.07252958052664499,0.0030083555613461227
none,0.05162872516502647,0.07852664508666471,0.0770711128470739,0.028742192046179324,0.0398024903654643,0.04682906733218398,0.10656419507700036,0.108767798070589,0.13533048076318974,0.07252958052664499,1.0,0.04444715144723988
other,0.0693939796909904,0.1573977400861999,0.08535245483979899,0.3057816648976618,0.006820693265692664,0.00719191442543205,0.1982546717969762,0.16175363720330066,0.2504556321794552,0.0030083555613461227,0.04444715144723988,1.0
