year,num_class,ontouml_class,none_class,other_class,num_relation,ontouml_relation,none_relation,other_relation,ratio_class,cumulative_class,cumulative_ratio_class,ratio_ontouml_class,cumulative_ontouml_class,cumulative_ratio_ontouml_class,ratio_none_class,cumulative_none_class,cumulative_ratio_none_class,ratio_other_class,cumulative_other_class,cumulative_ratio_other_class,ratio_relation,cumulative_relation,cumulative_ratio_relation,ratio_ontouml_relation,cumulative_ontouml_relation,cumulative_ratio_ontouml_relation,ratio_none_relation,cumulative_none_relation,cumulative_ratio_none_relation,ratio_other_relation,cumulative_other_relation,cumulative_ratio_other_relation,ratio_ontouml_to_total_class,ratio_none_to_total_class,ratio_other_to_total_class,ratio_ontouml_to_total_relation,ratio_none_to_total_relation,ratio_other_to_total_relation,cumulative_ratio_ontouml_to_total_class,cumulative_ratio_none_to_total_class,cumulative_ratio_other_to_total_class,cumulative_ratio_ontouml_to_total_relation,cumulative_ratio_none_to_total_relation,cumulative_ratio_other_to_total_relation
2005,43,43,0,0,25,16,4,5,0.004016814572629613,43,0.004016814572629613,0.0042094958394517865,43,0.0042094958394517865,0.0,0,0.0,0.0,0,0.0,0.003324468085106383,25,0.003324468085106383,0.0033599328013439733,16,0.0033599328013439733,0.001796138302649304,4,0.001796138302649304,0.009416195856873822,5,0.009416195856873822,0.004016814572629613,0.0,0.0,0.002127659574468085,0.0005319148936170213,0.0006648936170212766,0.004016814572629613,0.0,0.0,0.002127659574468085,0.0005319148936170213,0.0006648936170212766
2007,20,16,0,4,20,0,20,0,0.0018682858477347033,63,0.005885100420364316,0.0015663240332843857,59,0.005775819872736172,0.0,0,0.0,0.03636363636363636,4,0.03636363636363636,0.0026595744680851063,45,0.005984042553191489,0.0,16,0.0033599328013439733,0.00898069151324652,24,0.010776829815895825,0.0,5,0.009416195856873822,0.0014946286781877627,0.0,0.00037365716954694067,0.0,0.0026595744680851063,0.0,0.005511443250817375,0.0,0.00037365716954694067,0.002127659574468085,0.0031914893617021275,0.0006648936170212766
2011,15,15,0,0,7,2,0,5,0.0014012143858010276,78,0.007286314806165343,0.0014684287812041115,74,0.007244248653940284,0.0,0,0.0,0.0,4,0.03636363636363636,0.0009308510638297873,52,0.006914893617021276,0.00041999160016799666,18,0.0037799244015119695,0.0,24,0.010776829815895825,0.009416195856873822,10,0.018832391713747645,0.0014012143858010276,0.0,0.0,0.00026595744680851064,0.0,0.0006648936170212766,0.006912657636618403,0.0,0.00037365716954694067,0.0023936170212765957,0.0031914893617021275,0.0013297872340425532
2012,116,116,0,0,60,27,28,5,0.01083605791686128,194,0.018122372723026622,0.011355849241311796,190,0.01860009789525208,0.0,0,0.0,0.0,4,0.03636363636363636,0.007978723404255319,112,0.014893617021276596,0.005669886602267955,45,0.009449811003779925,0.012572968118545127,52,0.02334979793444095,0.009416195856873822,15,0.02824858757062147,0.01083605791686128,0.0,0.0,0.0035904255319148936,0.003723404255319149,0.0006648936170212766,0.017748715553479684,0.0,0.00037365716954694067,0.005984042553191489,0.006914893617021276,0.0019946808510638296
2013,55,55,0,0,33,30,0,3,0.005137786081270434,249,0.02326015880429706,0.0053842388644150755,245,0.023984336759667158,0.0,0,0.0,0.0,4,0.03636363636363636,0.004388297872340426,145,0.01928191489361702,0.00629987400251995,75,0.015749685006299873,0.0,52,0.02334979793444095,0.005649717514124294,18,0.03389830508474576,0.005137786081270434,0.0,0.0,0.003989361702127659,0.0,0.00039893617021276594,0.022886501634750117,0.0,0.00037365716954694067,0.00997340425531915,0.006914893617021276,0.0023936170212765957
2014,30,17,7,6,26,13,13,0,0.0028024287716020553,279,0.02606258757589911,0.0016642192853646598,262,0.025648556045031815,0.018421052631578946,7,0.018421052631578946,0.05454545454545454,10,0.09090909090909091,0.003457446808510638,171,0.02273936170212766,0.0027299454010919783,88,0.018479630407391853,0.0058374494836102376,65,0.02918724741805119,0.0,18,0.03389830508474576,0.001588042970574498,0.0006539000467071462,0.000560485754320411,0.001728723404255319,0.001728723404255319,0.0,0.024474544605324614,0.0006539000467071462,0.0009341429238673517,0.011702127659574468,0.008643617021276596,0.0023936170212765957
2015,4925,4752,158,15,2628,2187,145,296,0.4600653900046707,5204,0.4861279775805698,0.46519823788546255,5014,0.49084679393049435,0.41578947368421054,165,0.4342105263157895,0.13636363636363635,25,0.22727272727272727,0.349468085106383,2799,0.37220744680851064,0.45926081478370434,2275,0.47774044519109615,0.06511001347103727,210,0.09429726088908846,0.5574387947269304,314,0.591337099811676,0.4439047174217655,0.014759458197104157,0.0014012143858010276,0.29082446808510637,0.01928191489361702,0.039361702127659576,0.4683792620270901,0.015413358243811303,0.002335357309668379,0.3025265957446808,0.027925531914893616,0.04175531914893617
2016,204,196,0,8,143,77,32,34,0.019056515646893975,5408,0.5051844932274638,0.019187469407733724,5210,0.5100342633382281,0.0,165,0.4342105263157895,0.07272727272727272,33,0.3,0.01901595744680851,2942,0.39122340425531915,0.01616967660646787,2352,0.49391012179756405,0.014369106421194431,242,0.1086663673102829,0.064030131826742,348,0.655367231638418,0.018309201307800095,0.0,0.0007473143390938813,0.010239361702127659,0.00425531914893617,0.0045212765957446804,0.48668846333489024,0.015413358243811303,0.0030826716487622604,0.3127659574468085,0.032180851063829785,0.04627659574468085
2017,400,312,63,25,375,40,315,20,0.03736571695469407,5808,0.5425502101821579,0.030543318649045522,5522,0.5405775819872736,0.16578947368421051,228,0.6,0.22727272727272727,58,0.5272727272727272,0.049867021276595744,3317,0.4410904255319149,0.008399832003359933,2392,0.502309953800924,0.1414458913336327,557,0.25011225864391556,0.03766478342749529,368,0.6930320150659134,0.029145259224661373,0.005885100420364316,0.002335357309668379,0.005319148936170213,0.04188829787234043,0.0026595744680851063,0.5158337225595516,0.02129845866417562,0.00541802895843064,0.3180851063829787,0.07406914893617021,0.04893617021276596
2018,270,241,17,12,276,96,178,2,0.025221858944418495,6078,0.5677720691265764,0.023592755751346058,5763,0.5641703377386197,0.04473684210526316,245,0.6447368421052632,0.10909090909090909,70,0.6363636363636364,0.036702127659574466,3593,0.4777925531914894,0.02015959680806384,2488,0.5224695506089878,0.07992815446789403,735,0.3300404131118096,0.003766478342749529,370,0.696798493408663,0.022512844465203175,0.001588042970574498,0.001120971508640822,0.01276595744680851,0.023670212765957446,0.00026595744680851064,0.5383465670247548,0.022886501634750117,0.006539000467071462,0.33085106382978724,0.09773936170212766,0.04920212765957447
