Stereotype,Stereotype2,Absolute Value,Sign,Classification
collective,category,0.027266028002947678,positive,very_weak
datatype,category,0.1649730512472139,positive,very_weak
event,category,0.07517637854887468,positive,very_weak
kind,category,0.06677098200805365,negative,very_weak
mixin,category,0.12236229759866572,positive,very_weak
mode,category,0.2986089093888467,positive,weak
phase,category,0.0013573132244947578,negative,very_weak
quality,category,0.2291561589401306,positive,weak
relator,category,0.08552429422078031,negative,very_weak
role,category,0.04365577565045806,negative,very_weak
roleMixin,category,0.2094939389683706,positive,weak
situation,category,0.22520747107319813,positive,weak
subkind,category,0.19340856012286198,positive,very_weak
type,category,0.1999511219238379,positive,very_weak
category,collective,0.027266028002947678,positive,very_weak
datatype,collective,0.08788284038402983,positive,very_weak
event,collective,0.08848193227433923,positive,very_weak
kind,collective,0.14972886874533242,positive,very_weak
mixin,collective,0.02628523429897264,positive,very_weak
mode,collective,0.08143879346968547,positive,very_weak
phase,collective,0.3909062086544903,positive,weak
quality,collective,0.011921418673185986,negative,very_weak
relator,collective,0.27854242613189917,positive,weak
role,collective,0.10331866903941743,positive,very_weak
roleMixin,collective,0.044843750513996264,negative,very_weak
situation,collective,0.2954242491264386,negative,weak
subkind,collective,0.24195031638899206,positive,weak
type,collective,0.06238475004023743,positive,very_weak
category,datatype,0.1649730512472139,positive,very_weak
collective,datatype,0.08788284038402983,positive,very_weak
event,datatype,0.11274493823900865,positive,very_weak
kind,datatype,0.03810003810005715,positive,very_weak
mixin,datatype,0.013274585576108479,negative,very_weak
mode,datatype,0.0,negative,very_weak
phase,datatype,0.011359236684941296,positive,very_weak
quality,datatype,0.12748301895894945,positive,very_weak
relator,datatype,0.09193060217316933,negative,very_weak
role,datatype,0.009133785027086162,negative,very_weak
roleMixin,datatype,0.030807672065635464,negative,very_weak
situation,datatype,0.17199164696269356,positive,very_weak
subkind,datatype,0.07299656430919774,positive,very_weak
type,datatype,0.04183434004700515,positive,very_weak
category,event,0.07517637854887468,positive,very_weak
collective,event,0.08848193227433923,positive,very_weak
datatype,event,0.11274493823900865,positive,very_weak
kind,event,0.18631885227940492,negative,very_weak
mixin,event,0.12519531879339935,negative,very_weak
mode,event,0.17155007848855514,positive,very_weak
phase,event,0.12866255886641637,positive,very_weak
quality,event,0.09566613377789003,positive,very_weak
relator,event,0.03329228960244456,positive,very_weak
role,event,0.0630586249714243,negative,very_weak
roleMixin,event,0.2084630199600717,positive,weak
situation,event,0.5218114722634221,positive,moderate
subkind,event,0.029443319507663792,negative,very_weak
type,event,0.28881958050557577,positive,weak
category,kind,0.06677098200805365,negative,very_weak
collective,kind,0.14972886874533242,positive,very_weak
datatype,kind,0.03810003810005715,positive,very_weak
event,kind,0.18631885227940492,negative,very_weak
mixin,kind,0.05972810934315529,positive,very_weak
mode,kind,0.07453559924999299,positive,very_weak
phase,kind,0.2981423969999719,positive,weak
quality,kind,0.14002314623476178,positive,very_weak
relator,kind,0.23697872437845263,positive,weak
role,kind,0.4974431752910861,positive,moderate
roleMixin,kind,0.13047855698605987,negative,very_weak
situation,kind,0.2092525327047175,negative,weak
subkind,kind,0.4644019617342553,positive,moderate
type,kind,0.3425800798515744,negative,weak
category,mixin,0.12236229759866572,positive,very_weak
collective,mixin,0.02628523429897264,positive,very_weak
datatype,mixin,0.013274585576108479,negative,very_weak
event,mixin,0.12519531879339935,negative,very_weak
kind,mixin,0.05972810934315529,positive,very_weak
mode,mixin,0.10016708449412667,positive,very_weak
phase,mixin,0.1318866612506001,positive,very_weak
quality,mixin,0.11078680707350812,positive,very_weak
relator,mixin,0.0009650653064780237,positive,very_weak
role,mixin,0.20583157482326028,positive,weak
roleMixin,mixin,0.0979642885260697,positive,very_weak
situation,mixin,0.11901431219412714,negative,very_weak
subkind,mixin,0.05130880537769624,negative,very_weak
type,mixin,0.01180480411624714,positive,very_weak
category,mode,0.2986089093888467,positive,weak
collective,mode,0.08143879346968547,positive,very_weak
datatype,mode,0.0,negative,very_weak
event,mode,0.17155007848855514,positive,very_weak
kind,mode,0.07453559924999299,positive,very_weak
mixin,mode,0.10016708449412667,positive,very_weak
phase,mode,0.1,positive,very_weak
quality,mode,0.2927700218845599,positive,weak
relator,mode,0.14451832825402,positive,very_weak
role,mode,0.16081688022566923,positive,very_weak
roleMixin,mode,0.22190115272469207,positive,weak
situation,mode,0.03154401489382559,negative,very_weak
subkind,mode,0.13969968905677813,positive,very_weak
type,mode,0.23570226039551584,positive,weak
category,phase,0.0013573132244947578,negative,very_weak
collective,phase,0.3909062086544903,positive,weak
datatype,phase,0.011359236684941296,positive,very_weak
event,phase,0.12866255886641637,positive,very_weak
kind,phase,0.2981423969999719,positive,weak
mixin,phase,0.1318866612506001,positive,very_weak
mode,phase,0.1,positive,very_weak
quality,phase,0.06953288019758298,positive,very_weak
relator,phase,0.1430731449714798,positive,very_weak
role,phase,0.2398851796699566,positive,weak
roleMixin,phase,0.03328517290870381,negative,very_weak
situation,phase,0.05520202606419478,negative,very_weak
subkind,phase,0.3548372102042165,positive,weak
type,phase,0.06187184335382291,negative,very_weak
category,quality,0.2291561589401306,positive,weak
collective,quality,0.011921418673185986,negative,very_weak
datatype,quality,0.12748301895894945,positive,very_weak
event,quality,0.09566613377789003,positive,very_weak
kind,quality,0.14002314623476178,positive,very_weak
mixin,quality,0.11078680707350812,positive,very_weak
mode,quality,0.2927700218845599,positive,weak
phase,quality,0.06953288019758298,positive,very_weak
relator,quality,0.18898749909456755,positive,very_weak
role,quality,0.19879219318187574,positive,very_weak
roleMixin,quality,0.04571681857218246,positive,very_weak
situation,quality,0.16931093539785705,positive,very_weak
subkind,quality,0.18132280586605826,positive,very_weak
type,quality,0.1897680288191474,positive,very_weak
category,relator,0.08552429422078031,negative,very_weak
collective,relator,0.27854242613189917,positive,weak
datatype,relator,0.09193060217316933,negative,very_weak
event,relator,0.03329228960244456,positive,very_weak
kind,relator,0.23697872437845263,positive,weak
mixin,relator,0.0009650653064780237,positive,very_weak
mode,relator,0.14451832825402,positive,very_weak
phase,relator,0.1430731449714798,positive,very_weak
quality,relator,0.18898749909456755,positive,very_weak
role,relator,0.1549399112349379,positive,very_weak
roleMixin,relator,0.06485020689503411,positive,very_weak
situation,relator,0.11396720747188956,negative,very_weak
subkind,relator,0.20754462154654565,positive,weak
type,relator,0.12773736239270123,negative,very_weak
category,role,0.04365577565045806,negative,very_weak
collective,role,0.10331866903941743,positive,very_weak
datatype,role,0.009133785027086162,negative,very_weak
event,role,0.0630586249714243,negative,very_weak
kind,role,0.4974431752910861,positive,moderate
mixin,role,0.20583157482326028,positive,weak
mode,role,0.16081688022566923,positive,very_weak
phase,role,0.2398851796699566,positive,weak
quality,role,0.19879219318187574,positive,very_weak
relator,role,0.1549399112349379,positive,very_weak
roleMixin,role,0.0674058520771445,positive,very_weak
situation,role,0.1809302256522757,negative,very_weak
subkind,role,0.052420825712749954,positive,very_weak
type,role,0.17688954350174413,negative,very_weak
category,roleMixin,0.2094939389683706,positive,weak
collective,roleMixin,0.044843750513996264,negative,very_weak
datatype,roleMixin,0.030807672065635464,negative,very_weak
event,roleMixin,0.2084630199600717,positive,weak
kind,roleMixin,0.13047855698605987,negative,very_weak
mixin,roleMixin,0.0979642885260697,positive,very_weak
mode,roleMixin,0.22190115272469207,positive,weak
phase,roleMixin,0.03328517290870381,negative,very_weak
quality,roleMixin,0.04571681857218246,positive,very_weak
relator,roleMixin,0.06485020689503411,positive,very_weak
role,roleMixin,0.0674058520771445,positive,very_weak
situation,roleMixin,0.1656584606406125,positive,very_weak
subkind,roleMixin,0.058554652736518005,negative,very_weak
type,roleMixin,0.25715446613443743,positive,weak
category,situation,0.22520747107319813,positive,weak
collective,situation,0.2954242491264386,negative,weak
