Stereotype,average_quantity,rank,proportion
abstract,0,12,0.0
category,3,4,0.05357142857142857
collective,0,12,0.0
datatype,0,12,0.0
enumeration,0,12,0.0
event,3,4,0.05357142857142857
historicalRole,0,12,0.0
historicalRoleMixin,0,12,0.0
kind,10,2,0.17857142857142858
mixin,0,12,0.0
mode,2,7,0.03571428571428571
phase,2,7,0.03571428571428571
phaseMixin,0,12,0.0
quality,2,7,0.03571428571428571
quantity,0,12,0.0
relator,3,4,0.05357142857142857
role,4,3,0.07142857142857142
roleMixin,2,7,0.03571428571428571
situation,0,12,0.0
subkind,24,1,0.42857142857142855
type,0,12,0.0
none,1,11,0.017857142857142856
other,0,12,0.0
