Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index,Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
abstract,2,0.021052631578947368,2,0.021052631578947368,0.00038226299694189603,0.002677376171352075
category,299,3.1473684210526316,68,0.7157894736842105,0.05714831804281346,0.09103078982597054
collective,64,0.6736842105263158,24,0.25263157894736843,0.012232415902140673,0.0321285140562249
datatype,80,0.8421052631578947,22,0.23157894736842105,0.01529051987767584,0.029451137884872823
enumeration,50,0.5263157894736842,6,0.06315789473684211,0.0095565749235474,0.008032128514056224
event,437,4.6,46,0.4842105263157895,0.08352446483180428,0.06157965194109773
historicalRole,51,0.5368421052631579,9,0.09473684210526316,0.00974770642201835,0.012048192771084338
historicalRoleMixin,18,0.18947368421052632,6,0.06315789473684211,0.0034403669724770644,0.008032128514056224
kind,922,9.705263157894738,82,0.8631578947368421,0.17622324159021407,0.10977242302543508
mixin,19,0.2,15,0.15789473684210525,0.0036314984709480123,0.020080321285140562
mode,279,2.9368421052631577,48,0.5052631578947369,0.053325688073394495,0.0642570281124498
phase,220,2.3157894736842106,36,0.37894736842105264,0.04204892966360856,0.04819277108433735
phaseMixin,20,0.21052631578947367,8,0.08421052631578947,0.00382262996941896,0.0107095046854083
quality,253,2.663157894736842,47,0.49473684210526314,0.048356269113149844,0.06291834002677377
quantity,13,0.1368421052631579,8,0.08421052631578947,0.002484709480122324,0.0107095046854083
relator,344,3.6210526315789475,73,0.7684210526315789,0.06574923547400612,0.09772423025435073
role,447,4.705263157894737,66,0.6947368421052632,0.08543577981651376,0.08835341365461848
roleMixin,280,2.9473684210526314,43,0.45263157894736844,0.053516819571865444,0.05756358768406961
situation,86,0.9052631578947369,18,0.18947368421052632,0.01643730886850153,0.024096385542168676
subkind,1044,10.989473684210527,71,0.7473684210526316,0.19954128440366972,0.09504685408299866
type,129,1.3578947368421053,25,0.2631578947368421,0.024655963302752295,0.03346720214190094
none,135,1.4210526315789473,15,0.15789473684210525,0.025802752293577983,0.020080321285140562
other,40,0.42105263157894735,9,0.09473684210526316,0.00764525993883792,0.012048192771084338
