Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,none
category,1.0,0.044098464638220716,0.17994897222053838,0.14353888130504613,-0.047176855985963106,0.08084520834544431,0.31004410130161736,0.011140612951584302,0.2967775549701694,-0.013976619201595214,-0.012269321053326442,0.24479888673565242,0.24510874360048296,0.22444987770991826,0.21757512627648798,0.08084520834544431
collective,0.044098464638220716,1.0,0.14024275000539121,0.0668435558129129,0.1610075851270498,0.013986355971611486,0.0907853264224108,0.39475522365669297,-0.042332483668876944,0.2617461670359241,0.1223732549385954,-0.04200907874058878,-0.281104201280092,0.22652582159624413,0.037640859971174286,-0.05244883489354307
datatype,0.17994897222053838,0.14024275000539121,1.0,0.11720742822443965,0.07337022657482074,-0.03241523095718234,0.04413030895440244,0.03411069143406461,0.1055975249980344,-0.053549190535491904,-0.015399975395548679,-0.04802116835594099,0.11662586091736776,0.08946520258964612,0.06859714574381752,0.10444907752869864
event,0.14353888130504613,0.0668435558129129,0.11720742822443965,1.0,-0.16579734249822073,-0.07296484549360702,0.24257208593587032,0.1115155971415233,0.13658537928381728,0.08251823422079382,-0.04381203941904003,0.2614720342974364,0.4990108793478454,0.03010511292337299,0.3776289518840579,-0.07296484549360702
kind,-0.047176855985963106,0.1610075851270498,0.07337022657482074,-0.16579734249822073,1.0,0.004420799098060879,0.09608113360502997,0.3110212013365968,0.08769821590794681,0.2896595403318444,0.4676564121188499,-0.13019117765609353,-0.276426108543611,0.4733771396822939,-0.3184869415246672,0.0884159819612176
mixin,0.08084520834544431,0.013986355971611486,-0.03241523095718234,-0.07296484549360702,0.004420799098060879,1.0,0.08204905771756568,0.07829646125029467,0.09116561968618409,-0.03601692328575815,0.16166071475324956,0.12820140125769489,-0.06203228069323139,-0.08042154683676604,0.06900655593423542,0.12916666666666668
mode,0.31004410130161736,0.0907853264224108,0.04413030895440244,0.24257208593587032,0.09608113360502997,0.08204905771756568,1.0,0.12197321115101546,0.2632978723404255,0.20541608096632563,0.21270698657342094,0.22306543448905689,-0.0050896901789511785,0.19993173009879234,0.256673837713479,0.1397872835188156
phase,0.011140612951584302,0.39475522365669297,0.03411069143406461,0.1115155971415233,0.3110212013365968,0.07829646125029467,0.12197321115101546,1.0,0.008222913111304414,0.17163633626346797,0.2822045706899889,-0.01284827653863243,-0.10082941135808927,0.3043452390109524,-0.07261590514377234,-0.04071415985015323
quality,0.2967775549701694,-0.042332483668876944,0.1055975249980344,0.13658537928381728,0.08769821590794681,0.09116561968618409,0.2632978723404255,0.008222913111304414,1.0,0.19385814290683928,0.15303353332657887,0.07301942366508049,0.21998771995688982,0.1876910119294785,0.17363230198264756,0.2643802970899339
relator,-0.013976619201595214,0.2617461670359241,-0.053549190535491904,0.08251823422079382,0.2896595403318444,-0.03601692328575815,0.20541608096632563,0.17163633626346797,0.19385814290683928,1.0,0.23214036985141898,0.09815315729895631,-0.11662586091736776,0.25509672630290986,-0.06859714574381752,-0.17288123177163914
role,-0.012269321053326442,0.1223732549385954,-0.015399975395548679,-0.04381203941904003,0.4676564121188499,0.16166071475324956,0.21270698657342094,0.2822045706899889,0.15303353332657887,0.23214036985141898,1.0,0.09764376191852583,-0.14612494987621186,0.08804229653953244,-0.17484772553124978,0.09897594780811197
roleMixin,0.24479888673565242,-0.04200907874058878,-0.04802116835594099,0.2614720342974364,-0.13019117765609353,0.12820140125769489,0.22306543448905689,-0.01284827653863243,0.07301942366508049,0.09815315729895631,0.09764376191852583,1.0,0.15394010417789075,-0.006659975897898221,0.3210101771930095,0.18619727325522353
situation,0.24510874360048296,-0.281104201280092,0.11662586091736776,0.4990108793478454,-0.276426108543611,-0.06203228069323139,-0.0050896901789511785,-0.10082941135808927,0.21998771995688982,-0.11662586091736776,-0.14612494987621186,0.15394010417789075,1.0,-0.08979717540891827,0.07705141285294195,0.08529438595319316
subkind,0.22444987770991826,0.22652582159624413,0.08946520258964612,0.03010511292337299,0.4733771396822939,-0.08042154683676604,0.19993173009879234,0.3043452390109524,0.1876910119294785,0.25509672630290986,0.08804229653953244,-0.006659975897898221,-0.08979717540891827,1.0,-0.037640859971174286,-0.1468567377019206
type,0.21757512627648798,0.037640859971174286,0.06859714574381752,0.3776289518840579,-0.3184869415246672,0.06900655593423542,0.256673837713479,-0.07261590514377234,0.17363230198264756,-0.06859714574381752,-0.17484772553124978,0.3210101771930095,0.07705141285294195,-0.037640859971174286,1.0,0.003450327796711771
none,0.08084520834544431,-0.05244883489354307,0.10444907752869864,-0.07296484549360702,0.0884159819612176,0.12916666666666668,0.1397872835188156,-0.04071415985015323,0.2643802970899339,-0.17288123177163914,0.09897594780811197,0.18619727325522353,0.08529438595319316,-0.1468567377019206,0.003450327796711771,1.0
