stereotype,total_correlation,rank
category,2.073226491663264,11
collective,2.0206896964884944,12
datatype,1.146171595955757,17
event,2.251007768111995,8
kind,3.1052781743517377,1
mixin,1.469061457247197,16
mode,2.4060414656556133,5
phase,2.1941956920977996,9
quality,2.4552718493399577,4
relator,2.146154333896437,10
role,2.305280829061409,7
roleMixin,2.01125947371664,13
situation,2.6360349917402823,2
subkind,2.4980910503573495,3
type,2.38436040998615,6
none,1.9078747867387804,14
other,1.702990544995716,15
