Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,4,0.42625631876300923,4,0.2610030706243603
20.0,8,0.6232530478739221,8,0.47389969293756395
30.0,12,0.7702943800178412,12,0.6243602865916069
40.0,16,0.876449598572703,16,0.744114636642784
50.0,20,0.9192685102586976,20,0.827021494370522
60.0,24,0.9565863812072555,24,0.8955987717502559
70.0,28,0.9766577460600654,28,0.946775844421699
80.0,32,0.9888492417484389,32,0.9764585465711362
90.0,36,0.9965804341361879,36,0.9918116683725691
100.0,40,1.0,40,1.0
