Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index,Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
abstract,1,0.012195121951219513,1,0.012195121951219513,0.0001486767766874814,0.0010235414534288639
category,270,3.292682926829268,59,0.7195121951219512,0.04014272970561998,0.06038894575230297
collective,62,0.7560975609756098,23,0.2804878048780488,0.009217960154623847,0.02354145342886387
datatype,78,0.9512195121951219,20,0.24390243902439024,0.01159678858162355,0.02047082906857728
enumeration,38,0.4634146341463415,4,0.04878048780487805,0.005649717514124294,0.0040941658137154556
event,320,3.902439024390244,37,0.45121951219512196,0.047576568539994056,0.037871033776867964
historicalRole,23,0.2804878048780488,4,0.04878048780487805,0.0034195658638120725,0.0040941658137154556
historicalRoleMixin,9,0.10975609756097561,3,0.036585365853658534,0.0013380909901873326,0.0030706243602865915
kind,878,10.707317073170731,72,0.8780487804878049,0.1305382099316087,0.0736949846468782
mixin,16,0.1951219512195122,13,0.15853658536585366,0.0023788284269997025,0.01330603889457523
mode,247,3.0121951219512195,41,0.5,0.03672316384180791,0.04196519959058342
phase,195,2.3780487804878048,32,0.3902439024390244,0.028991971454058876,0.032753326509723645
phaseMixin,20,0.24390243902439024,8,0.0975609756097561,0.0029735355337496285,0.008188331627430911
quality,238,2.902439024390244,40,0.4878048780487805,0.035385072851620576,0.04094165813715456
quantity,11,0.13414634146341464,7,0.08536585365853659,0.0016354445435622957,0.007164790174002047
relator,312,3.8048780487804876,63,0.7682926829268293,0.0463871543264942,0.06448311156601842
role,400,4.878048780487805,58,0.7073170731707317,0.059470710674992565,0.0593654042988741
roleMixin,234,2.8536585365853657,35,0.4268292682926829,0.03479036574487065,0.03582395087001024
situation,62,0.7560975609756098,15,0.18292682926829268,0.009217960154623847,0.015353121801432957
subkind,964,11.75609756097561,61,0.7439024390243902,0.14332441272673208,0.062436028659160696
type,74,0.9024390243902439,18,0.21951219512195122,0.011002081474873625,0.01842374616171955
bringsAbout,27,0.32926829268292684,11,0.13414634146341464,0.004014272970561998,0.011258955987717503
characterization,382,4.658536585365853,53,0.6463414634146342,0.0567945286946179,0.05424769703172978
comparative,22,0.2682926829268293,5,0.06097560975609756,0.0032708890871245913,0.00511770726714432
componentOf,223,2.7195121951219514,29,0.35365853658536583,0.033154921201308356,0.02968270214943705
creation,60,0.7317073170731707,18,0.21951219512195122,0.008920606601248885,0.01842374616171955
derivation,100,1.2195121951219512,29,0.35365853658536583,0.014867677668748141,0.02968270214943705
externalDependence,67,0.8170731707317073,19,0.23170731707317074,0.009961344038061254,0.019447287615148412
historicalDependence,39,0.47560975609756095,15,0.18292682926829268,0.005798394290811775,0.015353121801432957
instantiation,67,0.8170731707317073,16,0.1951219512195122,0.009961344038061254,0.016376663254861822
manifestation,31,0.3780487804878049,11,0.13414634146341464,0.004608980077311924,0.011258955987717503
material,311,3.792682926829268,35,0.4268292682926829,0.04623847754980672,0.03582395087001024
mediation,625,7.621951219512195,56,0.6829268292682927,0.09292298542967588,0.057318321392016376
memberOf,69,0.8414634146341463,19,0.23170731707317074,0.010258697591436218,0.019447287615148412
participation,196,2.3902439024390243,27,0.32926829268292684,0.029140648230746358,0.027635619242579325
participational,17,0.2073170731707317,4,0.04878048780487805,0.002527505203687184,0.0040941658137154556
subCollectionOf,8,0.0975609756097561,2,0.024390243902439025,0.0011894142134998512,0.0020470829068577278
subQuantityOf,11,0.13414634146341464,2,0.024390243902439025,0.0016354445435622957,0.0020470829068577278
termination,5,0.06097560975609756,3,0.036585365853658534,0.0007433838834374071,0.0030706243602865915
triggers,14,0.17073170731707318,9,0.10975609756097561,0.0020814748736247396,0.009211873080859774
