Stereotype,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers
abstract,0.06586093594147811,0.06586093594147856,0.0040436849811715525,0.0034337876704576067,0.0006137286359357286,0.04895490714733387,0.0006137286359357286,0.04895490714733311,0.026216670893741245,0.0021191692922630997,0.02499511800438564,0.0060809888196908315,0.06586093594147817,0.029102871428656002,0.0010951845010562233,0.018084729087436996,0.015166729088061062,0.06586093594147845,0.048954907147333235,0.01683257348889243,0.04895490714733322,0.038429953277146114,0.026216670893741148,0.0007721112954726592,0.0384299532771465,0.035348593042808296,0.005363398721622219,0.0032370836259798946,0.04895490714733322,0.048954907147333984,0.04257383222337527,0.048954907147333374,0.014170516833508923,0.0032370836259798808,0.04257383222337545,0.0006137286359357563,0.0003030038803089885,0.0003030038803089885,0.00045737663530074496,0.0014270501527404791
category,0.06586093594147856,2.194567342036587,0.3793918602812324,0.43786897765054267,0.08566208359455278,0.753781955456368,0.09976158617010908,0.09504679771567351,1.2037940737067492,0.13316923588012852,0.7168400871402878,0.5462933547588077,0.19575926731248988,0.7060784358739559,0.09751737322937476,0.6836722357152698,0.882886358759563,0.6059652024693714,0.3807882003118665,1.1938963250545198,0.48749970997448516,0.3255783679989091,0.9513374691101155,0.1307035474163305,0.6381828008232971,0.33537157000824275,0.3206710000495089,0.3457851873093315,0.30341740242256166,0.42338330913341055,0.2823660350961894,0.6511349863502691,0.8460762549658517,0.40955812194421487,0.5681716328414769,0.10214919629762237,0.05980331687424285,0.04639489444865027,0.06712262658031004,0.21218716083790576
collective,0.0040436849811715525,0.3793918602812324,1.025963989169557,0.2032746052306782,0.06117785699403355,0.3073359937900345,0.06445437692779486,0.03869508266935508,0.5998012589796904,0.036211209466924264,0.3246001834902536,0.39194450749977944,0.05833930412777803,0.19593678815745247,0.12084030871194316,0.43980622742204056,0.4153205790476412,0.191683066602972,0.06788057900536708,0.6080115385394413,0.22656414209940978,0.04809324803508171,0.41990735531027235,0.025237227990844352,0.4130355779664849,0.18279919286130175,0.22457215022235982,0.16214932074165142,0.13516053597072147,0.2000253281607413,0.05218190761741212,0.4008519640880885,0.6422053247733228,0.5419706392205825,0.3072194278025147,0.07771555225136025,0.13157131099705155,0.09656138138706538,0.012311992945182898,0.03870585552202581
datatype,0.0034337876704576067,0.43786897765054267,0.2032746052306782,0.9893380802543257,0.16959331119470716,0.320569775688894,0.042886583638104527,0.02813786404523526,0.5288144250116587,0.053936380898415764,0.27625144868313906,0.3020773003639273,0.12793024349676113,0.2427157934759731,0.10702127882415599,0.32504549069511585,0.38888498359722923,0.2540835593625983,0.16759756151300514,0.5084164462536742,0.16297306514434295,0.13518108712484622,0.34955708124512613,0.13964540588508212,0.3617212085904893,0.13417271269534492,0.13694709936766827,0.12634406199716314,0.20067587190812708,0.20851053355088145,0.07358180391095964,0.3475106211917112,0.4388958046003144,0.17367938084996445,0.24772164079519463,0.06302908045274266,0.06914416272603083,0.04171318006169873,0.09036508332872262,0.06043269623066044
enumeration,0.0006137286359357286,0.08566208359455278,0.06117785699403355,0.16959331119470716,0.26253280236439785,0.08790402479113672,0.0025026610878178257,0.0018648532220632147,0.15885943362179905,0.008652603901050007,0.06402644573330998,0.12340591417414702,0.06923346544762712,0.0981247660337382,0.04130123499192741,0.11471345446660572,0.13800488424220653,0.08646594902767017,0.04243645746358484,0.1762197933855069,0.1201854874455785,0.04749268257363489,0.08671785676566271,0.06774986839336106,0.13441114996796155,0.044152025070032935,0.04977380258702767,0.05834855370024641,0.03998090703057398,0.11304209329598831,0.04334880362740568,0.14985123293701058,0.1337558329215523,0.07400156554752796,0.04984177871509759,0.0025026610878178396,0.001235279045502663,0.001235279045502663,0.049887182312526736,0.005823163503157799
event,0.04895490714733387,0.753781955456368,0.3073359937900345,0.320569775688894,0.08790402479113672,1.8581530115433127,0.17800265839367221,0.12312405295768197,0.9984840946204057,0.0971745108242773,0.6327205427339018,0.5742864583720274,0.1179517509775965,0.6090701021593014,0.1964435278017797,0.7352073241879771,0.7151786084426516,0.6911770504551418,0.5551264263118837,0.9181400418273975,0.5122408838264325,0.4001846441363416,0.8951278738213526,0.19859321538998714,0.5230547739500153,0.7036731315451694,0.35818702034935906,0.427047937434533,0.46341640653294636,0.45473903770437624,0.3627532330076805,0.6332328155873095,0.8698119256622654,0.3859173629486492,0.9812883417310215,0.20543364105800432,0.11466528220290717,0.10414032833272008,0.126423767647302,0.29891723736287984
historicalRole,0.0006137286359357286,0.09976158617010908,0.06445437692779486,0.042886583638104527,0.0025026610878178257,0.17800265839367221,0.26253280236439785,0.06679321110667176,0.1949086871878178,0.008652603901050007,0.03506338813219868,0.0489349094491125,0.005140729758868076,0.06311133471414755,0.13014293574739424,0.13437033048586045,0.1307557655326222,0.1224563757946379,0.13595679070612576,0.11375659566015991,0.0746643679687029,0.007217366135877187,0.08142778302374365,0.050843839599216026,0.05431741547012487,0.14177204299221985,0.13236758468108295,0.05834855370024641,0.0755579147101128,0.07351176320491531,0.05387375749759277,0.09109888904879113,0.16147353212047355,0.07154601511451714,0.15500509891215433,0.0025026610878178396,0.001235279045502663,0.001235279045502663,0.0018648532220632147,0.005823163503157799
historicalRoleMixin,0.04895490714733311,0.09504679771567351,0.03869508266935508,0.02813786404523526,0.0018648532220632147,0.12312405295768197,0.06679321110667176,0.18022321426407542,0.09176754580240326,0.006444659601307613,0.024997023938928643,0.018541279752921323,0.08819128412076707,0.028502396051934754,0.040331561474488534,0.0853486562737499,0.06330332589156727,0.09791863442555339,0.03674117381165835,0.08277649977591078,0.1328048425712604,0.024780982176298483,0.0349206115640104,0.002346309087183661,0.06486371171555505,0.11919852846673544,0.016344838828279716,0.07018099025576204,0.09983694923957963,0.14003008175182682,0.07593734606306843,0.04554736546129183,0.09423633988495438,0.03911034914002057,0.12642376764730257,0.032981153518381726,0.0009205443853315676,0.0009205443853315676,0.049572447652355675,0.004338117931666212
kind,0.026216670893741245,1.2037940737067492,0.5998012589796904,0.5288144250116587,0.15885943362179905,0.9984840946204057,0.1949086871878178,0.09176754580240326,3.004882731662868,0.20453185484668204,0.9511510967353696,0.9232393063784843,0.18381655795675128,0.9710618654419445,0.2473458997251609,1.3193904267327525,1.457226156214619,0.7856953022928141,0.4097899509991012,1.824295959859936,0.4608260079584641,0.2662172869503555,1.3167280964243575,0.22549967264846138,0.998636237803534,0.4915567053124162,0.67207841073828,0.45482145456936396,0.3465818168049905,0.43774690388624654,0.25983621202639756,1.065618072635471,1.3933387775216624,0.5482651662338743,0.7410810541182727,0.1540897448742428,0.10105896809838216,0.10105896809838216,0.11006660631766778,0.20219700576460797
mixin,0.0021191692922630997,0.13316923588012852,0.036211209466924264,0.053936380898415764,0.008652603901050007,0.0971745108242773,0.008652603901050007,0.006444659601307613,0.20453185484668204,0.5228773373477202,0.1283210949952363,0.15939676950720222,0.02368317486720229,0.20704711316370566,0.021541275742277127,0.16946796177459017,0.2553507630949511,0.10997620940266721,0.0260208206761421,0.263971273648683,0.04579475501738693,0.01977923251917335,0.2469355746214365,0.0506127074884903,0.14940851854644058,0.03342614192765489,0.08370043148826456,0.06518236537365045,0.0571289913752836,0.04256404766390365,0.061551732702906516,0.14663834200391238,0.2271697807792379,0.04872870556843589,0.08339835866954806,0.008652603901050007,0.004267124191975669,0.02818527930009867,0.006444659601307613,0.01947589915120055
