Stereotype,Stereotype2,Absolute Value,Sign,Classification
collective,category,0.044098464638220716,positive,very_weak
datatype,category,0.17994897222053838,positive,very_weak
event,category,0.14353888130504613,positive,very_weak
kind,category,0.047176855985963106,negative,very_weak
mixin,category,0.08084520834544431,positive,very_weak
mode,category,0.31004410130161736,positive,weak
phase,category,0.011140612951584302,positive,very_weak
quality,category,0.2967775549701694,positive,weak
relator,category,0.013976619201595214,negative,very_weak
role,category,0.012269321053326442,negative,very_weak
roleMixin,category,0.24479888673565242,positive,weak
situation,category,0.24510874360048296,positive,weak
subkind,category,0.22444987770991826,positive,weak
type,category,0.21757512627648798,positive,weak
none_c,category,0.08084520834544431,positive,very_weak
bringsAbout,category,0.2619684159977919,positive,weak
characterization,category,0.3409747636796656,positive,weak
componentOf,category,0.3389979784100244,positive,weak
creation,category,0.05857791861290061,positive,very_weak
derivation,category,0.07399023242403241,negative,very_weak
externalDependence,category,0.16457605705529219,positive,very_weak
historicalDependence,category,0.16695032262727558,positive,very_weak
instantiation,category,0.16695032262727558,positive,very_weak
manifestation,category,0.14002800840280097,positive,very_weak
material,category,0.05143687425385542,positive,very_weak
mediation,category,0.05405697472970309,negative,very_weak
memberOf,category,0.03916799932836848,positive,very_weak
participation,category,0.1425975439821662,positive,very_weak
triggers,category,0.08215073504449678,positive,very_weak
none_r,category,0.13666197044785447,positive,very_weak
other_r,category,0.132568613111401,negative,very_weak
category,collective,0.044098464638220716,positive,very_weak
datatype,collective,0.14024275000539121,positive,very_weak
event,collective,0.0668435558129129,positive,very_weak
kind,collective,0.1610075851270498,positive,very_weak
mixin,collective,0.013986355971611486,positive,very_weak
mode,collective,0.0907853264224108,positive,very_weak
phase,collective,0.39475522365669297,positive,weak
quality,collective,0.042332483668876944,negative,very_weak
relator,collective,0.2617461670359241,positive,weak
role,collective,0.1223732549385954,positive,very_weak
roleMixin,collective,0.04200907874058878,negative,very_weak
situation,collective,0.281104201280092,negative,weak
subkind,collective,0.22652582159624413,positive,weak
type,collective,0.037640859971174286,positive,very_weak
none_c,collective,0.05244883489354307,negative,very_weak
bringsAbout,collective,0.2417118569803796,negative,weak
characterization,collective,0.15808387074832864,positive,very_weak
componentOf,collective,0.31870728222484507,positive,weak
creation,collective,0.037640859971174286,positive,very_weak
derivation,collective,0.12617570357968805,positive,very_weak
externalDependence,collective,0.01737270460208044,negative,very_weak
historicalDependence,collective,0.09893855736722947,positive,very_weak
instantiation,collective,0.09893855736722947,positive,very_weak
manifestation,collective,0.04845015831115092,negative,very_weak
material,collective,0.15499228325771208,positive,very_weak
mediation,collective,0.31185145833629335,positive,weak
memberOf,collective,0.7099298495177581,positive,strong
participation,collective,0.05814980230542552,positive,very_weak
triggers,collective,0.21039390096047986,negative,weak
none_r,collective,0.05897404799649814,positive,very_weak
other_r,collective,0.11571543802712357,positive,very_weak
category,datatype,0.17994897222053838,positive,very_weak
collective,datatype,0.14024275000539121,positive,very_weak
event,datatype,0.11720742822443965,positive,very_weak
kind,datatype,0.07337022657482074,positive,very_weak
mixin,datatype,0.03241523095718234,negative,very_weak
mode,datatype,0.04413030895440244,positive,very_weak
phase,datatype,0.03411069143406461,positive,very_weak
quality,datatype,0.1055975249980344,positive,very_weak
relator,datatype,0.053549190535491904,negative,very_weak
role,datatype,0.015399975395548679,negative,very_weak
roleMixin,datatype,0.04802116835594099,negative,very_weak
situation,datatype,0.11662586091736776,positive,very_weak
subkind,datatype,0.08946520258964612,positive,very_weak
type,datatype,0.06859714574381752,positive,very_weak
none_c,datatype,0.10444907752869864,positive,very_weak
bringsAbout,datatype,0.053352306415873504,positive,very_weak
characterization,datatype,0.02167437448144861,positive,very_weak
componentOf,datatype,0.09691756601617013,positive,very_weak
creation,datatype,0.011929938390229133,positive,very_weak
derivation,datatype,0.0028253999177485414,positive,very_weak
externalDependence,datatype,0.011929938390229133,positive,very_weak
historicalDependence,datatype,0.18863313664357725,positive,very_weak
instantiation,datatype,0.06836368710572599,positive,very_weak
manifestation,datatype,0.08733639748854118,negative,very_weak
material,datatype,0.001601851186428212,negative,very_weak
mediation,datatype,0.031122178742592876,negative,very_weak
memberOf,datatype,0.14496531985323055,positive,very_weak
participation,datatype,0.1497442917202688,positive,very_weak
