Stereotype,x_value,y_value,distance_from_origin,rank,quadrant
bringsAbout,0.013298854820834873,0.14736842105263157,0.14796726348449965,13,Q3
characterization,0.16586627262652381,0.6631578947368421,0.6835861421553371,2,Q1
comparative,0.008496490579977835,0.06315789473684211,0.06372683908500154,16,Q3
componentOf,0.08348725526413003,0.3263157894736842,0.33682653733245516,5,Q1
creation,0.03952715182859254,0.2631578947368421,0.2661098895080893,8,Q1
derivation,0.03731067602512006,0.3157894736842105,0.31798597175850724,6,Q1
externalDependence,0.04174362763206502,0.2631578947368421,0.266448133808836,7,Q1
historicalDependence,0.019578869597340228,0.22105263157894736,0.22191799851000704,10,Q2
instantiation,0.03509420022164758,0.22105263157894736,0.2238210642838938,9,Q1
manifestation,0.025120059106021424,0.2,0.20157137041130127,12,Q3
material,0.12892500923531586,0.4105263157894737,0.4302946827024533,3,Q1
mediation,0.2486147026228297,0.6631578947368421,0.7082285391821193,1,Q1
memberOf,0.025858884373845585,0.21052631578947367,0.21210849002562135,11,Q4
participation,0.09198374584410787,0.3684210526315789,0.3797302746972831,4,Q1
participational,0.0066494274104174364,0.05263157894736842,0.05304995746821561,17,Q3
subCollectionOf,0.0029553010712966383,0.021052631578947368,0.021259047505024747,19,Q3
subQuantityOf,0.004063538973032878,0.021052631578947368,0.021441213710614637,18,Q3
termination,0.014407092722571112,0.06315789473684211,0.06478027468532986,15,Q3
triggers,0.007018840044329516,0.11578947368421053,0.11600201003273333,14,Q3
