Stereotype,Stereotype2,Absolute Value,Sign,Classification
characterization,bringsAbout,0.23346560846560846,positive,weak
componentOf,bringsAbout,0.09066956813927143,positive,very_weak
creation,bringsAbout,0.1561698269999853,positive,very_weak
derivation,bringsAbout,0.026899001451946777,negative,very_weak
externalDependence,bringsAbout,0.1561698269999853,positive,very_weak
historicalDependence,bringsAbout,0.2794742987493469,positive,weak
instantiation,bringsAbout,0.1363472993898431,positive,very_weak
manifestation,bringsAbout,0.31180478223116176,positive,weak
material,bringsAbout,0.13598184489797083,positive,very_weak
mediation,bringsAbout,0.20634920634920634,negative,weak
memberOf,bringsAbout,0.06900655593423542,negative,very_weak
participation,bringsAbout,0.4827698038025047,positive,moderate
triggers,bringsAbout,0.6848185331469225,positive,strong
bringsAbout,characterization,0.23346560846560846,positive,weak
componentOf,characterization,0.30600979247004106,positive,weak
creation,characterization,0.17302906968748372,positive,very_weak
derivation,characterization,0.00504356277224002,positive,very_weak
externalDependence,characterization,0.32476225387496943,positive,weak
historicalDependence,characterization,0.21864532402155779,positive,weak
instantiation,characterization,0.2723179487813717,positive,weak
manifestation,characterization,0.30066889715147743,positive,weak
material,characterization,0.27784140972727916,positive,weak
mediation,characterization,0.2931547619047619,positive,weak
memberOf,characterization,0.14951420452417674,positive,very_weak
participation,characterization,0.3134763658918948,positive,weak
triggers,characterization,0.2579059810995543,positive,weak
bringsAbout,componentOf,0.09066956813927143,positive,very_weak
characterization,componentOf,0.30600979247004106,positive,weak
creation,componentOf,0.09391786047461384,positive,very_weak
derivation,componentOf,0.0584668506249623,positive,very_weak
externalDependence,componentOf,0.059034083726900125,negative,very_weak
historicalDependence,componentOf,0.17028439362578274,positive,very_weak
instantiation,componentOf,0.22438813073096453,positive,weak
manifestation,componentOf,0.15715463927342804,positive,very_weak
material,componentOf,0.3319562856090522,positive,weak
mediation,componentOf,0.1635052322511494,positive,very_weak
memberOf,componentOf,0.35649927611562937,positive,weak
participation,componentOf,0.07348704390652692,positive,very_weak
triggers,componentOf,0.04136006451229722,negative,very_weak
bringsAbout,creation,0.1561698269999853,positive,very_weak
characterization,creation,0.17302906968748372,positive,very_weak
componentOf,creation,0.09391786047461384,positive,very_weak
derivation,creation,0.005413319619607667,positive,very_weak
externalDependence,creation,0.24,positive,weak
historicalDependence,creation,0.43054030797769477,positive,moderate
instantiation,creation,0.37293280198067924,positive,weak
manifestation,creation,0.47809144373375745,positive,moderate
material,creation,0.03580574370197164,positive,very_weak
mediation,creation,0.12245134162498848,positive,very_weak
memberOf,creation,0.21911075694617052,positive,weak
participation,creation,0.732904945995008,positive,strong
triggers,creation,0.007864026893759719,positive,very_weak
bringsAbout,derivation,0.026899001451946777,negative,very_weak
characterization,derivation,0.00504356277224002,positive,very_weak
componentOf,derivation,0.0584668506249623,positive,very_weak
creation,derivation,0.005413319619607667,positive,very_weak
externalDependence,derivation,0.2002928259254837,negative,weak
historicalDependence,derivation,0.14361413797053765,negative,very_weak
instantiation,derivation,0.14361413797053765,negative,very_weak
manifestation,derivation,0.22645540682891915,negative,weak
material,derivation,0.4918383847491867,positive,moderate
mediation,derivation,0.43626817979876176,positive,moderate
memberOf,derivation,0.2601938790610853,positive,weak
participation,derivation,0.04941662111074008,negative,very_weak
triggers,derivation,0.10802262109802127,positive,very_weak
bringsAbout,externalDependence,0.1561698269999853,positive,very_weak
characterization,externalDependence,0.32476225387496943,positive,weak
componentOf,externalDependence,0.059034083726900125,negative,very_weak
creation,externalDependence,0.24,positive,weak
derivation,externalDependence,0.2002928259254837,negative,weak
historicalDependence,externalDependence,0.31532529598366377,positive,weak
instantiation,externalDependence,0.48814781397471024,positive,moderate
manifestation,externalDependence,0.4183300132670377,positive,moderate
material,externalDependence,0.20716180284712166,negative,weak
mediation,externalDependence,0.021295885499997995,positive,very_weak
memberOf,externalDependence,0.10184021097498067,positive,very_weak
participation,externalDependence,0.2869022920265156,positive,weak
triggers,externalDependence,0.1572805378751944,positive,very_weak
bringsAbout,historicalDependence,0.2794742987493469,positive,weak
characterization,historicalDependence,0.21864532402155779,positive,weak
componentOf,historicalDependence,0.17028439362578274,positive,very_weak
creation,historicalDependence,0.43054030797769477,positive,moderate
derivation,historicalDependence,0.14361413797053765,negative,very_weak
externalDependence,historicalDependence,0.31532529598366377,positive,weak
instantiation,historicalDependence,0.510939510939511,positive,moderate
manifestation,historicalDependence,0.5580809183750252,positive,moderate
material,historicalDependence,0.07110816498686841,positive,very_weak
mediation,historicalDependence,0.003954824982302079,positive,very_weak
memberOf,historicalDependence,0.09824718648648242,positive,very_weak
participation,historicalDependence,0.5397211798820181,positive,moderate
triggers,historicalDependence,0.28290342502608684,positive,weak
bringsAbout,instantiation,0.1363472993898431,positive,very_weak
characterization,instantiation,0.2723179487813717,positive,weak
componentOf,instantiation,0.22438813073096453,positive,weak
creation,instantiation,0.37293280198067924,positive,weak
derivation,instantiation,0.14361413797053765,negative,very_weak
externalDependence,instantiation,0.48814781397471024,positive,moderate
historicalDependence,instantiation,0.510939510939511,positive,moderate
manifestation,instantiation,0.6849174907329855,positive,strong
material,instantiation,0.1351597945170247,negative,very_weak
mediation,instantiation,0.04971779977751185,negative,very_weak
memberOf,instantiation,0.09824718648648242,positive,very_weak
participation,instantiation,0.43454474482808636,positive,moderate
triggers,instantiation,0.12434398327105292,positive,very_weak
bringsAbout,manifestation,0.31180478223116176,positive,weak
characterization,manifestation,0.30066889715147743,positive,weak
componentOf,manifestation,0.15715463927342804,positive,very_weak
creation,manifestation,0.47809144373375745,positive,moderate
derivation,manifestation,0.22645540682891915,negative,weak
externalDependence,manifestation,0.4183300132670377,positive,moderate
historicalDependence,manifestation,0.5580809183750252,positive,moderate
instantiation,manifestation,0.6849174907329855,positive,strong
material,manifestation,0.09629111081495541,negative,very_weak
mediation,manifestation,0.0890870806374748,negative,very_weak
memberOf,manifestation,0.0,negative,very_weak
participation,manifestation,0.5455447255899809,positive,moderate
triggers,manifestation,0.23028309323591914,positive,weak
bringsAbout,material,0.13598184489797083,positive,very_weak
characterization,material,0.27784140972727916,positive,weak
componentOf,material,0.3319562856090522,positive,weak
creation,material,0.03580574370197164,positive,very_weak
derivation,material,0.4918383847491867,positive,moderate
externalDependence,material,0.20716180284712166,negative,weak
historicalDependence,material,0.07110816498686841,positive,very_weak
instantiation,material,0.1351597945170247,negative,very_weak
manifestation,material,0.09629111081495541,negative,very_weak
mediation,material,0.4136643973298085,positive,moderate
memberOf,material,0.30387204106040644,positive,weak
participation,material,0.02801659073402629,positive,very_weak
triggers,material,0.09925600932673888,positive,very_weak
bringsAbout,mediation,0.20634920634920634,negative,weak
characterization,mediation,0.2931547619047619,positive,weak
componentOf,mediation,0.1635052322511494,positive,very_weak
creation,mediation,0.12245134162498848,positive,very_weak
derivation,mediation,0.43626817979876176,positive,moderate
externalDependence,mediation,0.021295885499997995,positive,very_weak
historicalDependence,mediation,0.003954824982302079,positive,very_weak
instantiation,mediation,0.04971779977751185,negative,very_weak
manifestation,mediation,0.0890870806374748,negative,very_weak
material,mediation,0.4136643973298085,positive,moderate
memberOf,mediation,0.3680349649825889,positive,weak
participation,mediation,0.03645074021998777,positive,very_weak
triggers,mediation,0.15972586329461033,negative,very_weak
bringsAbout,memberOf,0.06900655593423542,negative,very_weak
characterization,memberOf,0.14951420452417674,positive,very_weak
componentOf,memberOf,0.35649927611562937,positive,weak
creation,memberOf,0.21911075694617052,positive,weak
derivation,memberOf,0.2601938790610853,positive,weak
externalDependence,memberOf,0.10184021097498067,positive,very_weak
historicalDependence,memberOf,0.09824718648648242,positive,very_weak
instantiation,memberOf,0.09824718648648242,positive,very_weak
manifestation,memberOf,0.0,negative,very_weak
material,memberOf,0.30387204106040644,positive,weak
mediation,memberOf,0.3680349649825889,positive,weak
participation,memberOf,0.19438547858755884,positive,very_weak
triggers,memberOf,0.10617649821617199,negative,very_weak
bringsAbout,participation,0.4827698038025047,positive,moderate
characterization,participation,0.3134763658918948,positive,weak
componentOf,participation,0.07348704390652692,positive,very_weak
creation,participation,0.732904945995008,positive,strong
derivation,participation,0.04941662111074008,negative,very_weak
externalDependence,participation,0.2869022920265156,positive,weak
historicalDependence,participation,0.5397211798820181,positive,moderate
instantiation,participation,0.43454474482808636,positive,moderate
manifestation,participation,0.5455447255899809,positive,moderate
material,participation,0.02801659073402629,positive,very_weak
mediation,participation,0.03645074021998777,positive,very_weak
memberOf,participation,0.19438547858755884,positive,very_weak
triggers,participation,0.33740555226559266,positive,weak
bringsAbout,triggers,0.6848185331469225,positive,strong
characterization,triggers,0.2579059810995543,positive,weak
componentOf,triggers,0.04136006451229722,negative,very_weak
creation,triggers,0.007864026893759719,positive,very_weak
derivation,triggers,0.10802262109802127,positive,very_weak
externalDependence,triggers,0.1572805378751944,positive,very_weak
historicalDependence,triggers,0.28290342502608684,positive,weak
instantiation,triggers,0.12434398327105292,positive,very_weak
manifestation,triggers,0.23028309323591914,positive,weak
material,triggers,0.09925600932673888,positive,very_weak
mediation,triggers,0.15972586329461033,negative,very_weak
memberOf,triggers,0.10617649821617199,negative,very_weak
participation,triggers,0.33740555226559266,positive,weak
