Stereotype,Stereotype2,Absolute Value,Sign,Classification
characterization,bringsAbout,0.27502397769383385,positive,weak
componentOf,bringsAbout,0.07532823589746829,positive,very_weak
creation,bringsAbout,0.15804808335553586,positive,very_weak
derivation,bringsAbout,0.03206985676651717,negative,very_weak
externalDependence,bringsAbout,0.1733082895421477,positive,very_weak
historicalDependence,bringsAbout,0.29753456906035464,positive,weak
instantiation,bringsAbout,0.17075394039392602,positive,very_weak
manifestation,bringsAbout,0.334297385263951,positive,weak
material,bringsAbout,0.14269526917116168,positive,very_weak
mediation,bringsAbout,0.17002360888783882,negative,very_weak
memberOf,bringsAbout,0.061761478215543536,negative,very_weak
participation,bringsAbout,0.4380725420961469,positive,moderate
termination,bringsAbout,0.2853016189378481,positive,weak
bringsAbout,characterization,0.27502397769383385,positive,weak
componentOf,characterization,0.24058131975148342,positive,weak
creation,characterization,0.19881901195308607,positive,very_weak
derivation,characterization,0.018096371296461255,negative,very_weak
externalDependence,characterization,0.35952679528336967,positive,weak
historicalDependence,characterization,0.2384419731732482,positive,weak
instantiation,characterization,0.28025985598998715,positive,weak
manifestation,characterization,0.343985886713488,positive,weak
material,characterization,0.26965470334707,positive,weak
mediation,characterization,0.21839442362935457,positive,weak
memberOf,characterization,0.1465709947391768,positive,very_weak
participation,characterization,0.344970530217947,positive,weak
termination,characterization,0.03523367678110135,positive,very_weak
bringsAbout,componentOf,0.07532823589746829,positive,very_weak
characterization,componentOf,0.24058131975148342,positive,weak
creation,componentOf,0.06305667922142712,positive,very_weak
derivation,componentOf,0.11492309309889893,positive,very_weak
externalDependence,componentOf,0.06570188677310163,negative,very_weak
historicalDependence,componentOf,0.1053329187207732,positive,very_weak
instantiation,componentOf,0.18115262473839297,positive,very_weak
manifestation,componentOf,0.0569763257681744,positive,very_weak
material,componentOf,0.3890413962028651,positive,weak
mediation,componentOf,0.3264091063580054,positive,weak
memberOf,componentOf,0.3877381889394757,positive,weak
participation,componentOf,0.06007410294887207,positive,very_weak
termination,componentOf,0.03799303986169951,positive,very_weak
bringsAbout,creation,0.15804808335553586,positive,very_weak
characterization,creation,0.19881901195308607,positive,very_weak
componentOf,creation,0.06305667922142712,positive,very_weak
derivation,creation,0.0015319095634684895,negative,very_weak
externalDependence,creation,0.28510467524309097,positive,weak
historicalDependence,creation,0.40383321921979626,positive,moderate
instantiation,creation,0.3473073849453672,positive,weak
manifestation,creation,0.48977594878936,positive,moderate
material,creation,0.02047706207381894,positive,very_weak
mediation,creation,0.196950915590346,positive,very_weak
memberOf,creation,0.226917656843681,positive,weak
participation,creation,0.7167122801786197,positive,strong
termination,creation,0.48870189181816154,positive,moderate
bringsAbout,derivation,0.03206985676651717,negative,very_weak
characterization,derivation,0.018096371296461255,negative,very_weak
componentOf,derivation,0.11492309309889893,positive,very_weak
creation,derivation,0.0015319095634684895,negative,very_weak
externalDependence,derivation,0.20495177153584665,negative,weak
historicalDependence,derivation,0.1356911923154515,negative,very_weak
instantiation,derivation,0.1677907146289936,negative,very_weak
manifestation,derivation,0.24665395806301688,negative,weak
material,derivation,0.42972910696090866,positive,moderate
mediation,derivation,0.3720960042444667,positive,weak
memberOf,derivation,0.24458062085563767,positive,weak
participation,derivation,0.0638551891204013,negative,very_weak
termination,derivation,0.007649312390764179,positive,very_weak
bringsAbout,externalDependence,0.1733082895421477,positive,very_weak
characterization,externalDependence,0.35952679528336967,positive,weak
componentOf,externalDependence,0.06570188677310163,negative,very_weak
creation,externalDependence,0.28510467524309097,positive,weak
derivation,externalDependence,0.20495177153584665,negative,weak
historicalDependence,externalDependence,0.3196317823297999,positive,weak
instantiation,externalDependence,0.4421825272013457,positive,moderate
manifestation,externalDependence,0.4748968231817684,positive,moderate
material,externalDependence,0.20756243742562183,negative,weak
mediation,externalDependence,0.050683130211986414,positive,very_weak
memberOf,externalDependence,0.1007070205367735,positive,very_weak
participation,externalDependence,0.29762376372174115,positive,weak
termination,externalDependence,0.2593757196021841,positive,weak
bringsAbout,historicalDependence,0.29753456906035464,positive,weak
characterization,historicalDependence,0.2384419731732482,positive,weak
componentOf,historicalDependence,0.1053329187207732,positive,very_weak
creation,historicalDependence,0.40383321921979626,positive,moderate
derivation,historicalDependence,0.1356911923154515,negative,very_weak
externalDependence,historicalDependence,0.3196317823297999,positive,weak
instantiation,historicalDependence,0.5391778583742591,positive,moderate
manifestation,historicalDependence,0.5447334630968454,positive,moderate
material,historicalDependence,0.05136974715636205,positive,very_weak
mediation,historicalDependence,0.01491362045455661,positive,very_weak
memberOf,historicalDependence,0.10969964293114416,positive,very_weak
participation,historicalDependence,0.6311541499064227,positive,strong
termination,historicalDependence,0.07037109610022768,positive,very_weak
bringsAbout,instantiation,0.17075394039392602,positive,very_weak
characterization,instantiation,0.28025985598998715,positive,weak
componentOf,instantiation,0.18115262473839297,positive,very_weak
creation,instantiation,0.3473073849453672,positive,weak
derivation,instantiation,0.1677907146289936,negative,very_weak
externalDependence,instantiation,0.4421825272013457,positive,moderate
historicalDependence,instantiation,0.5391778583742591,positive,moderate
manifestation,instantiation,0.6843352202422159,positive,strong
material,instantiation,0.12164461170151007,negative,very_weak
mediation,instantiation,0.024035668544789786,positive,very_weak
memberOf,instantiation,0.10095429044610896,positive,very_weak
participation,instantiation,0.48654600402358406,positive,moderate
termination,instantiation,0.04629485570502743,positive,very_weak
bringsAbout,manifestation,0.334297385263951,positive,weak
characterization,manifestation,0.343985886713488,positive,weak
componentOf,manifestation,0.0569763257681744,positive,very_weak
creation,manifestation,0.48977594878936,positive,moderate
derivation,manifestation,0.24665395806301688,negative,weak
externalDependence,manifestation,0.4748968231817684,positive,moderate
historicalDependence,manifestation,0.5447334630968454,positive,moderate
instantiation,manifestation,0.6843352202422159,positive,strong
material,manifestation,0.1280872331561414,negative,very_weak
mediation,manifestation,0.08060460395065648,negative,very_weak
memberOf,manifestation,0.0274060418581934,negative,very_weak
participation,manifestation,0.5976093740395937,positive,moderate
termination,manifestation,0.23243216075547668,positive,weak
bringsAbout,material,0.14269526917116168,positive,very_weak
characterization,material,0.26965470334707,positive,weak
componentOf,material,0.3890413962028651,positive,weak
creation,material,0.02047706207381894,positive,very_weak
derivation,material,0.42972910696090866,positive,moderate
externalDependence,material,0.20756243742562183,negative,weak
historicalDependence,material,0.05136974715636205,positive,very_weak
instantiation,material,0.12164461170151007,negative,very_weak
manifestation,material,0.1280872331561414,negative,very_weak
mediation,material,0.42444947733369576,positive,moderate
memberOf,material,0.30411610375128056,positive,weak
participation,material,0.022389340603933758,positive,very_weak
termination,material,0.08572308220399912,positive,very_weak
bringsAbout,mediation,0.17002360888783882,negative,very_weak
characterization,mediation,0.21839442362935457,positive,weak
componentOf,mediation,0.3264091063580054,positive,weak
creation,mediation,0.196950915590346,positive,very_weak
derivation,mediation,0.3720960042444667,positive,weak
externalDependence,mediation,0.050683130211986414,positive,very_weak
historicalDependence,mediation,0.01491362045455661,positive,very_weak
instantiation,mediation,0.024035668544789786,positive,very_weak
manifestation,mediation,0.08060460395065648,negative,very_weak
material,mediation,0.42444947733369576,positive,moderate
memberOf,mediation,0.44522476749704454,positive,moderate
participation,mediation,0.03607512413038481,positive,very_weak
termination,mediation,0.15040675830225672,positive,very_weak
bringsAbout,memberOf,0.061761478215543536,negative,very_weak
characterization,memberOf,0.1465709947391768,positive,very_weak
componentOf,memberOf,0.3877381889394757,positive,weak
creation,memberOf,0.226917656843681,positive,weak
derivation,memberOf,0.24458062085563767,positive,weak
externalDependence,memberOf,0.1007070205367735,positive,very_weak
historicalDependence,memberOf,0.10969964293114416,positive,very_weak
instantiation,memberOf,0.10095429044610896,positive,very_weak
manifestation,memberOf,0.0274060418581934,negative,very_weak
material,memberOf,0.30411610375128056,positive,weak
mediation,memberOf,0.44522476749704454,positive,moderate
participation,memberOf,0.19848576442399582,positive,very_weak
termination,memberOf,0.16319796740561815,positive,very_weak
bringsAbout,participation,0.4380725420961469,positive,moderate
characterization,participation,0.344970530217947,positive,weak
componentOf,participation,0.06007410294887207,positive,very_weak
creation,participation,0.7167122801786197,positive,strong
derivation,participation,0.0638551891204013,negative,very_weak
externalDependence,participation,0.29762376372174115,positive,weak
historicalDependence,participation,0.6311541499064227,positive,strong
instantiation,participation,0.48654600402358406,positive,moderate
manifestation,participation,0.5976093740395937,positive,moderate
material,participation,0.022389340603933758,positive,very_weak
mediation,participation,0.03607512413038481,positive,very_weak
memberOf,participation,0.19848576442399582,positive,very_weak
termination,participation,0.26225984940864144,positive,weak
bringsAbout,termination,0.2853016189378481,positive,weak
characterization,termination,0.03523367678110135,positive,very_weak
componentOf,termination,0.03799303986169951,positive,very_weak
