Stereotype,Shannon Entropy,Gini Coefficient,Simpson Index
bringsAbout,3.3376777638312154,0.8956639566395664,0.10562414266117968
characterization,5.205110521936263,0.6563018771548972,0.03459334996299444
comparative,1.8556037698263548,0.9645232815964523,0.3223140495867769
componentOf,4.249583998246155,0.8225418352838237,0.07024070461903517
creation,3.775769147421086,0.8678861788617886,0.09222222222222223
derivation,3.885217901862634,0.8451219512195122,0.1234
externalDependence,3.8841083676371957,0.8593010556971241,0.08220093562040544
historicalDependence,3.5403289559149016,0.8877423389618512,0.10585141354372123
instantiation,3.6925706103343834,0.8756825627957772,0.08932947204277121
manifestation,3.0353594088603257,0.9193548387096774,0.16129032258064516
material,4.348167534676464,0.8111912791153635,0.06915768033829262
mediation,5.173715427381983,0.662809756097561,0.03792639999999999
memberOf,3.649949569418503,0.8799929303640862,0.11069103129594625
participation,3.865926912252357,0.8570184171229467,0.11281757600999585
participational,1.5197284558087811,0.9705882352941176,0.39792387543252594
subCollectionOf,0.9544340000395749,0.9786585365853658,0.53125
subQuantityOf,0.43949698403612325,0.9855875831485588,0.8347107438016528
termination,1.5219280905592771,0.9682926829268292,0.3600000000000001
triggers,3.0391486589188155,0.9146341463414634,0.13265306122448978
none,5.446075033652706,0.5929837180409337,0.0329541289019543
other,3.2874379812583348,0.9087259506135434,0.14494039581806256
