Stereotype,x_value,y_value,distance_from_origin,rank,quadrant
bringsAbout,0.006875477463712758,0.13414634146341464,0.1343224222472669,15,Q3
characterization,0.09727527374586198,0.6463414634146342,0.6536205062659091,3,Q1
comparative,0.0056022408963585435,0.06097560975609756,0.06123242677037006,17,Q3
componentOf,0.056786350903997966,0.35365853658536583,0.35818856786432274,5,Q1
creation,0.015278838808250574,0.21951219512195122,0.22004328374796192,11,Q2
derivation,0.02546473134708429,0.35365853658536583,0.3545741291215163,6,Q1
externalDependence,0.017061370002546473,0.23170731707317074,0.2323346102749452,10,Q1
historicalDependence,0.009931245225362872,0.18292682926829268,0.1831962185687177,13,Q3
instantiation,0.017061370002546473,0.1951219512195122,0.1958664498939864,12,Q4
manifestation,0.00789406671759613,0.13414634146341464,0.13437841053294572,14,Q3
material,0.07919531448943214,0.4268292682926829,0.4341141809574379,4,Q1
mediation,0.1591545709192768,0.6829268292682927,0.7012269472709552,2,Q1
memberOf,0.01757066462948816,0.23170731707317074,0.2323725651637233,9,Q1
participation,0.049910873440285206,0.32926829268292684,0.3330295840520805,7,Q1
participational,0.004329004329004329,0.04878048780487805,0.04897219893942271,18,Q3
subCollectionOf,0.002037178507766743,0.024390243902439025,0.024475173010480862,21,Q3
subQuantityOf,0.0028011204481792717,0.024390243902439025,0.02455056564288636,20,Q3
termination,0.0012732365673542145,0.036585365853658534,0.03660751461110808,19,Q3
triggers,0.0035650623885918,0.10975609756097561,0.10981398190416805,16,Q3
none,0.37993379169849756,0.8780487804878049,0.9567232342692001,1,Q1
other,0.040998217468805706,0.23170731707317074,0.23530646956865925,8,Q1
