Stereotype,Stereotype2,Absolute Value,Sign,Classification
collective,category,0.056331461235482945,positive,very_weak
datatype,category,0.1677316328589387,positive,very_weak
enumeration,category,0.0358868873442962,negative,very_weak
event,category,0.11437479384676373,positive,very_weak
kind,category,0.022666549620576733,positive,very_weak
mode,category,0.2420067335643765,positive,weak
phase,category,0.2517264522785793,negative,weak
quality,category,0.256903660970977,positive,weak
relator,category,0.17120297625727274,negative,very_weak
role,category,0.22150539994788448,negative,weak
roleMixin,category,0.2252666869817574,positive,weak
situation,category,0.2773972870680158,positive,weak
subkind,category,0.0653572529713186,positive,very_weak
type,category,0.37046600280551667,positive,weak
category,collective,0.056331461235482945,positive,very_weak
datatype,collective,0.06917858373624426,positive,very_weak
enumeration,collective,0.10082047748878094,positive,very_weak
event,collective,0.05347913853392475,positive,very_weak
kind,collective,0.26236040190601256,positive,weak
mode,collective,0.025338050215309056,positive,very_weak
phase,collective,0.27578116248385753,positive,weak
quality,collective,0.07742473580256284,negative,very_weak
relator,collective,0.21999828069524435,positive,weak
role,collective,0.09075746041293625,positive,very_weak
roleMixin,collective,0.07995364094866335,negative,very_weak
situation,collective,0.27848828797723213,negative,weak
subkind,collective,0.15265361373193775,positive,very_weak
type,collective,0.0211435343038412,positive,very_weak
category,datatype,0.1677316328589387,positive,very_weak
collective,datatype,0.06917858373624426,positive,very_weak
enumeration,datatype,0.3315508346809177,positive,weak
event,datatype,0.1029212774757716,positive,very_weak
kind,datatype,0.05239807634652331,positive,very_weak
mode,datatype,0.07295600235221705,negative,very_weak
phase,datatype,0.05848537392072898,negative,very_weak
quality,datatype,0.12529462493610583,positive,very_weak
relator,datatype,0.07361097955249034,negative,very_weak
role,datatype,0.23964309631260833,negative,weak
roleMixin,datatype,0.05128606148599065,negative,very_weak
situation,datatype,0.17169340757216578,positive,very_weak
subkind,datatype,0.006178603074229407,positive,very_weak
type,datatype,0.1104496437626528,positive,very_weak
category,enumeration,0.0358868873442962,negative,very_weak
collective,enumeration,0.10082047748878094,positive,very_weak
datatype,enumeration,0.3315508346809177,positive,weak
event,enumeration,0.027245305184339312,positive,very_weak
kind,enumeration,0.23568280579477568,positive,weak
mode,enumeration,0.0999804013326325,negative,very_weak
phase,enumeration,0.15784881224961103,positive,very_weak
quality,enumeration,0.0546751727220715,positive,very_weak
relator,enumeration,0.12045604329090798,positive,very_weak
role,enumeration,0.045612320336368514,positive,very_weak
roleMixin,enumeration,0.06288042200750805,positive,very_weak
situation,enumeration,0.0379149916645948,positive,very_weak
subkind,enumeration,0.06231515266528409,positive,very_weak
type,enumeration,0.1506351235627471,positive,very_weak
category,event,0.11437479384676373,positive,very_weak
collective,event,0.05347913853392475,positive,very_weak
datatype,event,0.1029212774757716,positive,very_weak
enumeration,event,0.027245305184339312,positive,very_weak
kind,event,0.26083124666546753,negative,weak
mode,event,0.16508400910638246,positive,very_weak
phase,event,0.014477345814642339,positive,very_weak
quality,event,0.1703353001391061,positive,very_weak
relator,event,0.017643976964796918,positive,very_weak
role,event,0.21379077938632152,negative,weak
roleMixin,event,0.275607561143174,positive,weak
situation,event,0.544934671314451,positive,moderate
subkind,event,0.0697596543871877,negative,very_weak
type,event,0.3888078887411958,positive,weak
category,kind,0.022666549620576733,positive,very_weak
collective,kind,0.26236040190601256,positive,weak
datatype,kind,0.05239807634652331,positive,very_weak
enumeration,kind,0.23568280579477568,positive,weak
event,kind,0.26083124666546753,negative,weak
mode,kind,0.00044652087040889264,negative,very_weak
phase,kind,0.2559982244796481,positive,weak
quality,kind,0.150937476818613,positive,very_weak
relator,kind,0.3812159550027109,positive,weak
role,kind,0.26621822296803216,positive,weak
roleMixin,kind,0.25171510848205725,negative,weak
situation,kind,0.22049137043123224,negative,weak
subkind,kind,0.5240939937558499,positive,moderate
type,kind,0.2843560368654983,negative,weak
category,mode,0.2420067335643765,positive,weak
collective,mode,0.025338050215309056,positive,very_weak
datatype,mode,0.07295600235221705,negative,very_weak
enumeration,mode,0.0999804013326325,negative,very_weak
event,mode,0.16508400910638246,positive,very_weak
kind,mode,0.00044652087040889264,negative,very_weak
phase,mode,0.04096437639947179,negative,very_weak
quality,mode,0.25939385930549186,positive,weak
relator,mode,0.0647745924747963,positive,very_weak
role,mode,0.09380300959243401,positive,very_weak
roleMixin,mode,0.07390480870338513,positive,very_weak
situation,mode,0.08415124940903931,negative,very_weak
subkind,mode,0.13375528920213664,positive,very_weak
type,mode,0.2435716011867171,positive,weak
category,phase,0.2517264522785793,negative,weak
collective,phase,0.27578116248385753,positive,weak
datatype,phase,0.05848537392072898,negative,very_weak
enumeration,phase,0.15784881224961103,positive,very_weak
event,phase,0.014477345814642339,positive,very_weak
kind,phase,0.2559982244796481,positive,weak
mode,phase,0.04096437639947179,negative,very_weak
quality,phase,0.06072166217965565,positive,very_weak
relator,phase,0.23560417561109154,positive,weak
role,phase,0.3342168076642826,positive,weak
