stereotype,total_correlation,rank
category,2.2485917868509935,11
collective,1.8602258744141156,15
datatype,1.6336404793646029,18
event,2.372227460684498,6
kind,3.291349585041205,1
mixin,1.732600412439862,16
mode,2.2156234647111415,12
phase,2.272730416128364,10
phaseMixin,2.1049513385257996,13
quality,2.4628474154642923,5
relator,2.334139089787434,7
role,2.2887631016210106,9
roleMixin,2.3023461417229547,8
situation,2.885921382677476,3
subkind,2.7225467037536806,4
type,3.0835048269339804,2
none,1.663869164092914,17
other,1.8799236412365472,14
