Stereotype,Shannon Entropy,Gini Coefficient,Simpson Index
abstract,0.0,0.9861111111111112,1.0
category,5.052495998803098,0.648015873015873,0.03963718820861677
collective,3.8848588659205374,0.8303872053872053,0.08356290174471992
datatype,3.6600865875432667,0.8619791666666666,0.099609375
enumeration,1.5779771943464602,0.9671052631578947,0.3905817174515235
event,4.567934546678509,0.744281045751634,0.05344733907174926
historicalRole,1.2087030023114833,0.9740338164251208,0.5727788279773156
historicalRoleMixin,1.3921472193364495,0.9675925925925926,0.4074074074074074
kind,5.621009640818437,0.4598193872885231,0.023878473809886707
mixin,3.37878347761653,0.871031746031746,0.10204081632653061
mode,4.582603654306759,0.7367831541218638,0.057752341311134235
phase,4.27055313202157,0.7935185185185185,0.06284444444444445
phaseMixin,2.7016094855174675,0.925,0.19
quality,4.6617397779326915,0.7216921119592875,0.04772449157974477
quantity,2.2516291601743474,0.9398148148148148,0.2222222222222222
relator,5.2315110199155175,0.5948012232415902,0.0366551637067587
role,5.222729712266534,0.5960382513661202,0.03290513302875571
roleMixin,3.9378038706885565,0.830743879472693,0.10459957228127295
situation,3.516216285363478,0.871031746031746,0.10650510204081631
subkind,5.096661085252196,0.6408493483543185,0.036666679841428566
type,3.5667722254772762,0.872895622895623,0.10284664830119375
bringsAbout,3.2077070500435227,0.8907004830917874,0.11531190926275993
characterization,5.081170132043162,0.635576923076923,0.036213017751479296
comparative,1.4885252891269682,0.969017094017094,0.44378698224852076
componentOf,3.969330593617506,0.8287037037037037,0.08568923953539338
creation,3.5791036294307186,0.8643790849673203,0.09515570934256057
derivation,4.023287668403023,0.8150584795321637,0.08525700215450907
externalDependence,3.783744765905566,0.8511904761904762,0.08893927941546988
historicalDependence,3.3600115116345934,0.8861111111111111,0.12
instantiation,3.4876923448783037,0.8772768670309654,0.10239183015318462
manifestation,3.0353594088603257,0.9081541218637993,0.16129032258064516
material,3.9794554769635835,0.8298148148148148,0.09756049382716049
mediation,5.195260506875542,0.606727085175361,0.03286451040955751
memberOf,3.401383401094394,0.8834876543209876,0.11882716049382716
participation,4.073639611876846,0.8183443344334433,0.07107146358200177
participational,0.99999999711461,0.9722222222222222,0.5
subCollectionOf,0.0,0.0,0.0
subQuantityOf,0.0,0.0,0.0
termination,0.9182958311690995,0.9768518518518519,0.5555555555555556
triggers,2.873140667971573,0.9134615384615384,0.14792899408284027
