Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,phaseMixin,quality,relator,role,roleMixin,situation,subkind,type,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,triggers
category,1.0,0.034815531191139566,0.1557955106152167,0.04719399037242694,-0.09202830114233172,0.11406922030385278,0.26506933174788,-0.06626003483608482,0.23452078799117146,0.2292279532375023,-0.06446583712203043,-0.06646200199454705,0.19366593274629773,0.24971098385738608,0.12715279064115018,0.20951397064659888,0.2663977138330655,0.2958295987813787,0.37454545454545457,-0.05502106423976303,-0.10660035817780522,0.1044465935734187,0.15459459997091848,0.1735279718330988,0.11406922030385278,-0.008538280746069996,-0.13112773366491715,-0.05502106423976303,0.04727272727272727,0.04264014327112208
collective,0.034815531191139566,1.0,0.05664411840370207,0.06454972243679027,0.13912166872805048,0.02228835993459966,0.032124628310161774,0.3672793098117978,0.10206207261596575,-0.06454972243679027,0.23145502494313788,0.05159393703675823,-0.03253000243161777,-0.2836543144655877,0.28644594961577313,0.0,-0.23186944788008415,0.11594426549998908,0.24370871833797697,0.04052204492365539,0.0,-0.037037037037037035,0.14592836972877912,0.04052204492365539,0.02228835993459966,0.049048688639528555,0.25796968518379115,0.6888747637021416,0.034815531191139566,-0.2041241452319315
datatype,0.1557955106152167,0.05664411840370207,1.0,0.095065415136527,0.034148505195793336,-0.14518801740337614,-0.06732783623800176,-0.00945646032373157,0.11562432251572007,0.16087993330796876,-0.09614414947874673,-0.03994073873845154,-0.07186269906696167,0.22264754452972005,0.05273280443046439,0.09614414947874673,0.15498167742706204,-0.04222003309207491,0.128186179620115,-0.025248690616772377,-0.04624972900628803,-0.018881372801234024,0.24916037043748196,0.057383387765391765,-0.14518801740337614,0.010187172331760499,-0.03994073873845154,0.057383387765391765,0.128186179620115,0.11562432251572007
event,0.04719399037242694,0.06454972243679027,0.095065415136527,1.0,-0.20654609733079113,-0.14674815962966786,0.16174359558286783,0.025863030005593587,-0.04941058844013092,0.1,-0.05976143046671969,-0.10657197808460729,0.207880460155075,0.5492942180025514,-0.06933752452815364,0.3286878675669583,0.44901325506693723,0.17320508075688773,-0.04719399037242694,0.5492942180025514,0.07905694150420949,0.3227486121839514,0.3794767549691675,0.33742359105871017,0.39708325546851303,0.006332158475140234,-0.10657197808460729,0.12555296411486888,0.6809418610878745,0.3952847075210474
kind,-0.09202830114233172,0.13912166872805048,0.034148505195793336,-0.20654609733079113,1.0,0.0589150827189456,0.05810001467111502,0.3019339255063415,-0.11359236684941296,0.11674344631740369,0.2683367442131824,0.5000558116373295,-0.14934573132646875,-0.2085872968719227,0.46824735250351485,-0.36493797212992807,-0.3032258064516129,-0.06221710168382552,0.09202830114233172,-0.10711239569098734,0.2839809171235324,-0.3246172270321178,-0.43793879214659764,-0.31006219805285806,-0.27597065063085047,0.24792905331915419,0.327787780834039,0.19731230785181877,-0.3438952305845028,-0.24138377955500254
mixin,0.11406922030385278,0.02228835993459966,-0.14518801740337614,-0.14674815962966786,0.0589150827189456,1.0,0.06229245923316406,0.16297688239473226,-0.027297554521630702,0.0863224468409811,0.041270023236835186,0.20813990728041945,0.11093118163900274,-0.11108990047296713,-0.08140123294226802,0.05158752904604398,-0.0589150827189456,0.08970891825734569,0.05354269524466559,-0.11108990047296713,-0.054595109043261404,-0.06686507980379898,0.1017569117701966,0.08399480279663368,0.2488822652757079,0.12353327541912515,0.20813990728041945,-0.013547548838166723,-0.030263262529593594,-0.027297554521630702
mode,0.26506933174788,0.032124628310161774,-0.06732783623800176,0.16174359558286783,0.05810001467111502,0.06229245923316406,1.0,0.04183179465772305,0.19672236884115843,0.2737199309863917,0.1710143528768031,0.11104821537437108,0.15988717826779011,-0.04295793584082354,0.0897192042079909,0.23049760605134334,0.10279233364889581,0.5602962506968002,0.2180950197925595,0.09763167236550804,0.039344473768231684,0.3533709114117795,0.06228202875462501,0.16792647646867384,0.21694959939826103,0.1307806840065939,0.2303836110005609,0.16792647646867384,0.036908387964894686,0.019672236884115842
phase,-0.06626003483608482,0.3672793098117978,-0.00945646032373157,0.025863030005593587,0.3019339255063415,0.16297688239473226,0.04183179465772305,1.0,0.19424194477601353,0.025863030005593587,0.05409640842682881,0.204997898604976,-0.04887653253243005,-0.07712052685710914,0.3371363537484211,-0.12364893354703727,-0.05109651047030395,-0.07466013667894411,0.1918053639991929,-0.1501820786164757,0.020446520502738267,-0.16694514082354445,-0.05220435478825991,-0.07712052685710914,-0.07813960114815931,0.09007284255349908,0.14298172759842864,0.21512568018035708,-0.12205795890857729,-0.2658047665355975
phaseMixin,0.23452078799117146,0.10206207261596575,0.11562432251572007,-0.04941058844013092,-0.11359236684941296,-0.027297554521630702,0.19672236884115843,0.19424194477601353,1.0,0.1284675299443404,-0.0236227795630767,-0.13691038785811876,0.3286878675669583,-0.06203645837318314,0.02192645048267573,0.3425303036646122,-0.01419904585617662,0.09128709291752768,0.24518082380895198,0.049629166698546515,-0.0625,0.10206207261596575,0.17872502241585786,0.38462604191373545,-0.027297554521630702,0.07008415150303642,-0.04212627318711347,-0.06203645837318314,-0.04264014327112208,-0.125
quality,0.2292279532375023,-0.06454972243679027,0.16087993330796876,0.1,0.11674344631740369,0.0863224468409811,0.2737199309863917,0.025863030005593587,0.1284675299443404,1.0,0.2091650066335189,0.1332149726057591,0.03779644730092273,0.19617650642948264,0.18027756377319948,0.19422464901683897,0.20654609733079113,0.5196152422706631,0.07416198487095663,-0.08631766282897237,-0.09882117688026185,0.12909944487358055,0.08881370860980517,0.19617650642948264,0.16401264899786408,0.06332158475140234,0.0732682349331675,-0.15694120514358612,0.13483997249264842,0.1284675299443404
relator,-0.06446583712203043,0.23145502494313788,-0.09614414947874673,-0.05976143046671969,0.2683367442131824,0.041270023236835186,0.1710143528768031,0.05409640842682881,-0.0236227795630767,0.2091650066335189,1.0,0.13533899448258568,0.1129384878631564,-0.1594435256153774,0.26519741765271837,-0.19642857142857142,-0.17173551629643674,0.20701966780270625,0.13698990388431465,-0.07503224734841289,0.30709613431999716,0.0,-0.009650244130138862,-0.1594435256153774,-0.14444508132892314,0.30273507873307426,0.7085394417029486,0.2626128657194451,-0.08058229640253803,-0.0236227795630767
role,-0.06646200199454705,0.05159393703675823,-0.03994073873845154,-0.10657197808460729,0.5000558116373295,0.20813990728041945,0.11104821537437108,0.204997898604976,-0.13691038785811876,0.1332149726057591,0.13533899448258568,1.0,0.035245368842512066,-0.19025295692965058,0.040641904294504205,-0.20698905038513105,-0.327787780834039,-0.03845585014701182,0.0017962703241769472,-0.11498805089154705,0.16850509274845385,-0.017197979012252743,-0.29793404230668047,-0.2655178629677541,-0.12304403358566232,0.0160272280382215,0.16947648624667258,0.11080666722276353,-0.32153238802767353,-0.23169450252912407
roleMixin,0.19366593274629773,-0.03253000243161777,-0.07186269906696167,0.207880460155075,-0.14934573132646875,0.11093118163900274,0.15988717826779011,-0.04887653253243005,0.3286878675669583,0.03779644730092273,0.1129384878631564,0.035245368842512066,1.0,0.15422731972837422,-0.10482848367219182,0.29364006844420665,0.14934573132646875,0.13093073414159542,0.11212238211627763,0.2965909994776427,0.05976143046671968,0.3578300267477955,0.18920385885303678,0.2965909994776427,0.18923554514888702,-0.004786661882134581,0.1560866334454106,0.08304547985373997,0.1732800450887927,0.14940357616679922
situation,0.24971098385738608,-0.2836543144655877,0.22264754452972005,0.5492942180025514,-0.2085872968719227,-0.11108990047296713,-0.04295793584082354,-0.07712052685710914,-0.06203645837318314,0.19617650642948264,-0.1594435256153774,-0.19025295692965058,0.15422731972837422,1.0,-0.08705531728897115,0.07503224734841289,0.8174367039575349,0.1630980846658687,-0.021161947784524245,0.11330049261083744,0.09925833339709303,0.04052204492365539,0.22555076566581383,0.11330049261083744,0.1815371544314341,0.16894201898227576,-0.19025295692965058,-0.15270935960591134,0.5121191363854867,0.6079572920571947
subkind,0.12715279064115018,0.28644594961577313,0.05273280443046439,-0.06933752452815364,0.46824735250351485,-0.08140123294226802,0.0897192042079909,0.3371363537484211,0.02192645048267573,0.18027756377319948,0.26519741765271837,0.040641904294504205,-0.10482848367219182,-0.08705531728897115,1.0,-0.11602387022306429,-0.019925419255468715,0.03202563076101742,0.20942812576189443,-0.1654051028490452,-0.02192645048267573,-0.14322297480788657,-0.11196586725761193,-0.08705531728897115,-0.08140123294226802,0.06673654142510117,0.10714683859460199,0.30469361051139904,-0.1944689739217591,-0.07674257668936506
