Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
none_r,1054,1,1054,18.794579172610558
subkind,503,2,1557,27.763908701854493
kind,486,3,2043,36.43009985734665
mediation,377,4,2420,43.15263908701855
role,305,5,2725,48.591298145506414
characterization,260,6,2985,53.227532097004286
material,225,7,3210,57.23965763195436
relator,218,8,3428,61.12696148359487
category,210,9,3638,64.87161198288159
event,187,10,3825,68.20613409415121
roleMixin,177,11,4002,71.3623395149786
phase,150,12,4152,74.03708987161198
quality,131,13,4283,76.37303851640513
none_c,124,14,4407,78.58416547788873
mode,124,15,4531,80.79529243937232
other_r,123,16,4654,82.9885877318117
componentOf,117,17,4771,85.07489300998573
participation,101,18,4872,86.87589158345222
type,66,19,4938,88.0527817403709
datatype,64,20,5002,89.19400855920114
externalDependence,63,21,5065,90.31740370898717
instantiation,61,22,5126,91.40513552068474
derivation,57,23,5183,92.42154065620542
situation,56,24,5239,93.42011412268188
other_c,40,25,5279,94.13338088445077
enumeration,38,26,5317,94.81098430813124
memberOf,36,27,5353,95.45292439372325
creation,34,28,5387,96.05920114122682
collective,33,29,5420,96.64764621968617
manifestation,31,30,5451,97.20042796005706
historicalDependence,30,31,5481,97.73537803138373
historicalRole,23,32,5504,98.14550641940085
bringsAbout,23,33,5527,98.55563480741797
phaseMixin,20,34,5547,98.91226818830242
mixin,14,35,5561,99.16191155492155
comparative,13,36,5574,99.39372325249643
triggers,13,37,5587,99.62553495007133
historicalRoleMixin,9,38,5596,99.78601997146933
quantity,6,39,5602,99.89300998573466
termination,3,40,5605,99.94650499286733
participational,2,41,5607,99.98216833095577
abstract,1,42,5608,100.0
subQuantityOf,0,43,5608,100.0
subCollectionOf,0,44,5608,100.0
