Stereotype,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none,other
abstract,0.07402259614758089,0.07402259614758143,0.004152201048592222,0.0038864398629569127,0.000822701422923941,0.05449732345575173,0.000822701422923941,0.05449732345575144,0.028236261867095915,0.0021545400736941167,0.026825454304741807,0.00616777644569446,0.07402259614758096,0.033588592936047885,0.001036111210572295,0.022276815838855532,0.01608692019705335,0.07402259614758129,0.05449732345575154,0.018844441752772695,0.054497323455751555,0.07402259614758092,0.0019236361725993092
category,0.07402259614758143,2.060744835319707,0.3112895516646853,0.43133930776762497,0.09276305797394331,0.6851351454589061,0.12479707623518986,0.10868220762829611,0.9638666709816724,0.11580038390462509,0.5789331103759836,0.43976744417342767,0.22345106816175225,0.612806845614135,0.08502587410724176,0.5511178385647927,0.6902330901029257,0.5729827211108679,0.391012229124683,1.0002611851478351,0.5142077129996176,0.33030956392765537,0.19706761764023834
collective,0.004152201048592222,0.3112895516646853,0.8612923853459151,0.14445151165586245,0.0653969440128886,0.2043792623475096,0.07437548971565411,0.04675170494289247,0.4043440507279135,0.032472479807414516,0.18350491106442857,0.2749340059539938,0.06333795716613155,0.127940601736426,0.0447814133706349,0.26585491409655004,0.2735299365706976,0.08805495127362659,0.06548988428391264,0.4823729140829991,0.1431502730120274,0.06283725458277652,0.0675716600124476
datatype,0.0038864398629569127,0.43133930776762497,0.14445151165586245,0.9557030530298202,0.18949558530759641,0.29027940310831396,0.050025667711514024,0.03503444089742605,0.4321753049017613,0.06714757451413392,0.19882824495236157,0.25470615751595466,0.15293540861933314,0.2250325453114099,0.02222137122478364,0.2785114880697413,0.3027999910888121,0.24144994459269825,0.18205674822872936,0.45298501969964977,0.1879166145847068,0.1386018504186411,0.11292312799301629
enumeration,0.000822701422923941,0.09276305797394331,0.0653969440128886,0.18949558530759641,0.2948713488836436,0.10210379883018841,0.003365465270570994,0.002505058503977392,0.1786946630008634,0.008823694686423439,0.07012422903347376,0.14057079598054364,0.07857819354081926,0.11278432263198013,0.044884506777266124,0.1289363002353593,0.15307374353716754,0.10213818842613931,0.0476770408584396,0.19518590189393822,0.13481292450838522,0.008823694686423453,0.007876457882187549
event,0.05449732345575173,0.6851351454589061,0.2043792623475096,0.29027940310831396,0.10210379883018841,1.7707659538171767,0.21677025811632533,0.15551571958921004,0.8131485021272129,0.07782279564694351,0.5029411809306404,0.42379273124898736,0.12981201720943303,0.5149312353808916,0.13899753709876161,0.5881144286281116,0.5518135027992095,0.6260321290906841,0.5606512059038751,0.7315727534151037,0.5205674379649495,0.24237559915329407,0.21488871108909108
historicalRole,0.000822701422923941,0.12479707623518986,0.07437548971565411,0.050025667711514024,0.003365465270570994,0.21677025811632533,0.2948713488836436,0.07527485016872973,0.21677025811632578,0.008823694686423439,0.03826271170839751,0.05701344210383842,0.006944890119853581,0.07259296973546436,0.163309045871145,0.16637799208195064,0.14764771305177346,0.13767423674820004,0.1533136435486654,0.12449145887425109,0.08446780210122548,0.06045014516533967,0.07927102941380945
historicalRoleMixin,0.05449732345575144,0.10868220762829611,0.04675170494289247,0.03503444089742605,0.002505058503977392,0.15551571958921004,0.07527485016872973,0.20193595713856666,0.0997758893377626,0.00656529880392176,0.025629229159011398,0.018842930342013682,0.09792896462664971,0.030868976022527805,0.044024100010672494,0.11897656265387294,0.06815470831805295,0.10848227068914038,0.04085297911175906,0.09236252396664149,0.14717107715531558,0.05843459764371414,0.005860910360562029
kind,0.028236261867095915,0.9638666709816724,0.4043440507279135,0.4321753049017613,0.1786946630008634,0.8131485021272129,0.21677025811632578,0.0997758893377626,2.710577882912479,0.14098802639708286,0.6756637807000302,0.7057737069520624,0.20349365484460158,0.7173157156635572,0.14454009400460427,1.0188286900335985,1.1543851874982707,0.6441750960956785,0.3915706775936882,1.4865223590402739,0.42173758540632,0.35009405035912533,0.30523110224099675
mixin,0.0021545400736941167,0.11580038390462509,0.032472479807414516,0.06714757451413392,0.008823694686423439,0.07782279564694351,0.008823694686423439,0.00656529880392176,0.14098802639708286,0.47697378677187086,0.11522609294716823,0.15564205133394607,0.026396628957666035,0.17777216978731247,0.01111897553219253,0.18757449090108474,0.20029284957808033,0.10606956152569207,0.024429836684906704,0.2369333089069305,0.04842739830923042,0.05288187656474756,0.02069446547605562
