Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,phaseMixin,quality,relator,role,roleMixin,situation,subkind,type,none,other
category,1.0,0.040429678606030806,0.16184346018628715,0.05603981379114713,-0.09618786933709322,0.09618786933709322,0.2765070257329182,-0.07993402942587415,0.23877454115352714,0.23967797282982925,-0.04834024066335533,-0.07333242890562076,0.18501325178528844,0.2555274258234741,0.14534610779206675,0.21560984046602585,0.00863224468409811,0.0722040481431843
collective,0.040429678606030806,1.0,0.05236011021878916,0.05773764546566411,0.1428852480466698,0.0432588365645881,0.0246461595862305,0.3837982105845572,0.09950837523313996,-0.0724011744728169,0.22229988909314732,0.05749012958892957,-0.023192212262780898,-0.2888184332557083,0.2791365016114583,-0.004365605298758394,-0.049813205741040846,-0.02741187286063602
datatype,0.16184346018628715,0.05236011021878916,1.0,0.08875543809673568,0.03741724203874169,-0.1322966772084081,-0.07537431142740433,0.0009732619374563063,0.11320200430533935,0.1550884497269276,-0.11387778634594276,-0.034766595687257366,-0.06336213725892931,0.21965194991971335,0.040951026655107525,0.0923454316588914,0.15234162830059114,0.08383257580464282
event,0.05603981379114713,0.05773764546566411,0.08875543809673568,1.0,-0.20286216504702448,-0.12263419016967017,0.15163728072485871,0.04340573661412155,-0.054218299801580216,0.08974358974358974,-0.08594799233872416,-0.09882484909656829,0.22629411844085692,0.5471216549024155,-0.09185745459743537,0.324436933793494,-0.04126010136549651,0.08028795765080084
kind,-0.09618786933709322,0.1428852480466698,0.03741724203874169,-0.20286216504702448,1.0,0.047540983606557376,0.06392677402814077,0.2984875154237831,-0.11181794429869964,0.12263419016967017,0.2863843625663952,0.49839520319695246,-0.15777941689868233,-0.2063935537420056,0.486909681594166,-0.3630574751376884,0.047540983606557376,0.1542625451617058
mixin,0.09618786933709322,0.0432588365645881,-0.1322966772084081,-0.12263419016967017,0.047540983606557376,1.0,0.09817326011464476,0.12536475647798892,-0.01623163707561769,0.12148807624285082,0.11036275435485474,0.193752658455539,0.07540928013539965,-0.09889691116804436,-0.029626779567898987,0.07233851948232137,0.06885245901639345,-0.1542625451617058
mode,0.2765070257329182,0.0246461595862305,-0.07537431142740433,0.15163728072485871,0.06392677402814077,0.09817326011464476,1.0,0.06069230328831316,0.19340385753891898,0.26496619579291103,0.15078277597114062,0.12134200876139878,0.178537031258627,-0.049903181939901876,0.06996418989114424,0.22525098012401096,0.09817326011464476,-0.19574308468858037
phase,-0.07993402942587415,0.3837982105845572,0.0009732619374563063,0.04340573661412155,0.2984875154237831,0.12536475647798892,0.06069230328831316,1.0,0.20359518827843434,0.04340573661412155,0.09258760050954958,0.19524918239576058,-0.07266510190139398,-0.0688959304442221,0.3790128833038031,-0.1153102020106939,-0.1289466066630743,0.16228460869251327
phaseMixin,0.23877454115352714,0.09950837523313996,0.11320200430533935,-0.054218299801580216,-0.11181794429869964,-0.01623163707561769,0.19340385753891898,0.20359518827843434,1.0,0.1248281786129405,-0.03381175937165205,-0.13406030251828893,0.33822597825239953,-0.06464979361865095,0.014171187996904913,0.34085467338648645,-0.01623163707561769,-0.0018856784258392519
quality,0.23967797282982925,-0.0724011744728169,0.1550884497269276,0.08974358974358974,0.12263419016967017,0.12148807624285082,0.26496619579291103,0.04340573661412155,0.1248281786129405,1.0,0.19142961929988564,0.14312564351916787,0.05353194199676185,0.19139237378454463,0.16390251702679645,0.18893680262091708,0.28423625385119816,-0.08987457945985168
relator,-0.04834024066335533,0.22229988909314732,-0.11387778634594276,-0.08594799233872416,0.2863843625663952,0.11036275435485474,0.15078277597114062,0.09258760050954958,-0.03381175937165205,0.19142961929988564,1.0,0.15784084898842185,0.14928413640374685,-0.1771034060146992,0.2327114464578656,-0.2163375789176445,-0.08801080410577024,-0.11392993777741742
role,-0.07333242890562076,0.05749012958892957,-0.034766595687257366,-0.09882484909656829,0.49839520319695246,0.193752658455539,0.12134200876139878,0.19524918239576058,-0.13406030251828893,0.14312564351916787,0.15784084898842185,1.0,0.024146258766672733,-0.1864455689075722,0.0574497629972366,-0.20291031398236417,0.02071569304241612,0.08281551758414439
roleMixin,0.18501325178528844,-0.023192212262780898,-0.06336213725892931,0.22629411844085692,-0.15777941689868233,0.07540928013539965,0.178537031258627,-0.07266510190139398,0.33822597825239953,0.05353194199676185,0.14928413640374685,0.024146258766672733,1.0,0.16431981023917477,-0.0802196117449302,0.3061923119548948,0.07540928013539965,-0.14434648665890407
situation,0.2555274258234741,-0.2888184332557083,0.21965194991971335,0.5471216549024155,-0.2063935537420056,-0.09889691116804436,-0.049903181939901876,-0.0688959304442221,-0.06464979361865095,0.19139237378454463,-0.1771034060146992,-0.1864455689075722,0.16431981023917477,1.0,-0.10023285219334539,0.07159924926194092,0.10463006543865562,0.1303769171002741
subkind,0.14534610779206675,0.2791365016114583,0.040951026655107525,-0.09185745459743537,0.486909681594166,-0.029626779567898987,0.06996418989114424,0.3790128833038031,0.014171187996904913,0.16390251702679645,0.2327114464578656,0.0574497629972366,-0.0802196117449302,-0.10023285219334539,1.0,-0.13083984540414642,-0.2125399403784058,0.1346804095103498
type,0.21560984046602585,-0.004365605298758394,0.0923454316588914,0.324436933793494,-0.3630574751376884,0.07233851948232137,0.22525098012401096,-0.1153102020106939,0.34085467338648645,0.18893680262091708,-0.2163375789176445,-0.20291031398236417,0.3061923119548948,0.07159924926194092,-0.13083984540414642,1.0,0.07233851948232137,-0.20549632357522252
none,0.00863224468409811,-0.049813205741040846,0.15234162830059114,-0.04126010136549651,0.047540983606557376,0.06885245901639345,0.09817326011464476,-0.1289466066630743,-0.01623163707561769,0.28423625385119816,-0.08801080410577024,0.02071569304241612,0.07540928013539965,0.10463006543865562,-0.2125399403784058,0.07233851948232137,1.0,0.08912947053787446
other,0.0722040481431843,-0.02741187286063602,0.08383257580464282,0.08028795765080084,0.1542625451617058,-0.1542625451617058,-0.19574308468858037,0.16228460869251327,-0.0018856784258392519,-0.08987457945985168,-0.11392993777741742,0.08281551758414439,-0.14434648665890407,0.1303769171002741,0.1346804095103498,-0.20549632357522252,0.08912947053787446,1.0
