Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index,Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
abstract,1,0.014084507042253521,1,0.014084507042253521,0.0002378686964795433,0.0012239902080783353
category,206,2.9014084507042255,49,0.6901408450704225,0.04900095147478592,0.05997552019583843
collective,33,0.4647887323943662,18,0.2535211267605634,0.00784966698382493,0.022031823745410038
datatype,64,0.9014084507042254,17,0.23943661971830985,0.015223596574690771,0.0208078335373317
enumeration,38,0.5352112676056338,4,0.056338028169014086,0.009039010466222646,0.004895960832313341
event,187,2.6338028169014085,32,0.4507042253521127,0.0444814462416746,0.03916768665850673
historicalRole,23,0.323943661971831,4,0.056338028169014086,0.005470980019029496,0.004895960832313341
historicalRoleMixin,9,0.1267605633802817,3,0.04225352112676056,0.0021408182683158895,0.0036719706242350062
kind,480,6.76056338028169,61,0.8591549295774648,0.11417697431018078,0.07466340269277846
mixin,12,0.16901408450704225,10,0.14084507042253522,0.0028544243577545195,0.012239902080783354
mode,124,1.7464788732394365,34,0.4788732394366197,0.029495718363463368,0.0416156670746634
phase,143,2.0140845070422535,25,0.352112676056338,0.03401522359657469,0.030599755201958383
phaseMixin,20,0.28169014084507044,8,0.11267605633802817,0.004757373929590866,0.009791921664626682
quality,131,1.8450704225352113,32,0.4507042253521127,0.03116079923882017,0.03916768665850673
quantity,6,0.08450704225352113,5,0.07042253521126761,0.0014272121788772598,0.006119951040391677
relator,218,3.0704225352112675,56,0.7887323943661971,0.051855375832540435,0.06854345165238677
role,284,4.0,48,0.676056338028169,0.0675547098001903,0.0587515299877601
roleMixin,171,2.408450704225352,29,0.4084507042253521,0.040675547098001905,0.03549571603427173
situation,56,0.7887323943661971,14,0.19718309859154928,0.013320647002854425,0.017135862913096694
subkind,503,7.084507042253521,52,0.7323943661971831,0.11964795432921027,0.06364749082007344
type,66,0.9295774647887324,16,0.22535211267605634,0.01569933396764986,0.019583843329253364
bringsAbout,23,0.323943661971831,10,0.14084507042253522,0.005470980019029496,0.012239902080783354
characterization,260,3.6619718309859155,45,0.6338028169014085,0.06184586108468126,0.05507955936352509
comparative,13,0.18309859154929578,4,0.056338028169014086,0.003092293054234063,0.004895960832313341
componentOf,117,1.647887323943662,22,0.30985915492957744,0.027830637488106564,0.02692778457772338
creation,34,0.4788732394366197,14,0.19718309859154928,0.008087535680304472,0.017135862913096694
derivation,52,0.7323943661971831,23,0.323943661971831,0.012369172216936251,0.028151774785801713
externalDependence,63,0.8873239436619719,18,0.2535211267605634,0.014985727878211227,0.022031823745410038
historicalDependence,30,0.4225352112676056,13,0.18309859154929578,0.007136060894386299,0.01591187270501836
instantiation,61,0.8591549295774648,14,0.19718309859154928,0.014509990485252141,0.017135862913096694
manifestation,31,0.43661971830985913,11,0.15492957746478872,0.007373929590865842,0.01346389228886169
material,225,3.1690140845070425,29,0.4084507042253521,0.05352045670789724,0.03549571603427173
mediation,365,5.140845070422535,48,0.676056338028169,0.0868220742150333,0.0587515299877601
memberOf,36,0.5070422535211268,14,0.19718309859154928,0.008563273073263558,0.017135862913096694
participation,101,1.4225352112676057,22,0.30985915492957744,0.024024738344433874,0.02692778457772338
participational,2,0.028169014084507043,2,0.028169014084507043,0.0004757373929590866,0.0024479804161566705
subCollectionOf,0,0.0,0,0.0,0.0,0.0
subQuantityOf,0,0.0,0,0.0,0.0,0.0
termination,3,0.04225352112676056,2,0.028169014084507043,0.0007136060894386299,0.0024479804161566705
triggers,13,0.18309859154929578,8,0.11267605633802817,0.003092293054234063,0.009791921664626682
