Stereotype,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers
abstract,0.07402259614758089,0.07402259614758143,0.004152201048592222,0.0038864398629569127,0.000822701422923941,0.05449732345575173,0.000822701422923941,0.05449732345575144,0.028236261867095915,0.0021545400736941167,0.026825454304741807,0.00616777644569446,0.07402259614758096,0.033588592936047885,0.001036111210572295,0.022276815838855532,0.01608692019705335,0.07402259614758129,0.05449732345575154,0.018844441752772695,0.054497323455751555,0.042341742929619924,0.029804443153394318,0.0008227014229239688,0.047127631290054046,0.038782988856159335,0.005561874412285658,0.004152201048592208,0.074022596147581,0.05449732345575155,0.04712763129005367,0.05449732345575188,0.01608692019705319,0.003117982268693871,0.054497323455751916,0.00040534452454366043,0.0,0.0,0.0004053445245436327,0.0016964568536250516
category,0.07402259614758143,2.060744835319707,0.3112895516646853,0.43133930776762497,0.09276305797394331,0.6851351454589061,0.12479707623518986,0.10868220762829611,0.9638666709816724,0.11580038390462509,0.5789331103759836,0.43976744417342767,0.22345106816175225,0.612806845614135,0.08502587410724176,0.5511178385647927,0.6902330901029257,0.5729827211108679,0.391012229124683,1.0002611851478351,0.5142077129996176,0.32145592988133304,0.8563592269085057,0.08895211988170611,0.52632579509186,0.2621452974299404,0.2650010263955835,0.40092443773322367,0.31312094277566305,0.44694016033971984,0.31442040705716473,0.6045256300588032,0.7187904851166872,0.32405623976692205,0.5286237401249047,0.03827054503543392,0.0,0.0,0.03827054503543391,0.2101233982987491
collective,0.004152201048592222,0.3112895516646853,0.8612923853459151,0.14445151165586245,0.0653969440128886,0.2043792623475096,0.07437548971565411,0.04675170494289247,0.4043440507279135,0.032472479807414516,0.18350491106442857,0.2749340059539938,0.06333795716613155,0.127940601736426,0.0447814133706349,0.26585491409655004,0.2735299365706976,0.08805495127362659,0.06548988428391264,0.4823729140829991,0.1431502730120274,0.04497322692848097,0.28496334164562576,0.020766486321819377,0.22771016733597527,0.07331932336871552,0.12107041182478165,0.13589091353501287,0.055994001393107076,0.13504538795798657,0.06079687723167738,0.2387848274562967,0.4280760259129667,0.4163953999473595,0.22208952195039908,0.00837406061127692,0.0,0.0,0.008374060611276907,0.03531160744603926
datatype,0.0038864398629569127,0.43133930776762497,0.14445151165586245,0.9557030530298202,0.18949558530759641,0.29027940310831396,0.050025667711514024,0.03503444089742605,0.4321753049017613,0.06714757451413392,0.19882824495236157,0.25470615751595466,0.15293540861933314,0.2250325453114099,0.02222137122478364,0.2785114880697413,0.3027999910888121,0.24144994459269825,0.18205674822872936,0.45298501969964977,0.1879166145847068,0.14597154258433898,0.26585496627218647,0.15781473208963537,0.2795940322053378,0.09659008489132306,0.07524541659242034,0.14352116735635234,0.1800410040849731,0.23526592463786022,0.08224594839527838,0.29414494975654315,0.3746593203108791,0.14145049927095027,0.23219884438778446,0.06618413336658113,0.0,0.0,0.12094901334983223,0.07767030567605615
enumeration,0.000822701422923941,0.09276305797394331,0.0653969440128886,0.18949558530759641,0.2948713488836436,0.10210379883018841,0.003365465270570994,0.002505058503977392,0.1786946630008634,0.008823694686423439,0.07012422903347376,0.14057079598054364,0.07857819354081926,0.11278432263198013,0.044884506777266124,0.1289363002353593,0.15307374353716754,0.10213818842613931,0.0476770408584396,0.19518590189393822,0.13481292450838522,0.05308045299964182,0.0965795314120087,0.07591517755722485,0.15280197628180187,0.0476770408584396,0.053818373865287,0.06655282060230502,0.04408632526245733,0.1337883708568359,0.0490108975423493,0.18787862408021075,0.14790613592663907,0.07999844114178134,0.0626004633370685,0.0016575985456924874,0.0,0.0,0.07464408348270193,0.0069448901198535945
event,0.05449732345575173,0.6851351454589061,0.2043792623475096,0.29027940310831396,0.10210379883018841,1.7707659538171767,0.21677025811632533,0.15551571958921004,0.8131485021272129,0.07782279564694351,0.5029411809306404,0.42379273124898736,0.12981201720943303,0.5149312353808916,0.13899753709876161,0.5881144286281116,0.5518135027992095,0.6260321290906841,0.5606512059038751,0.7315727534151037,0.5205674379649495,0.39052805357065873,0.7587685188326633,0.14770967123365975,0.3877495228889041,0.5596762556356786,0.2750558724129768,0.4483114197839483,0.44628718829803243,0.5055034545294905,0.4285751300533016,0.5180981295848385,0.6837313115911652,0.2524856318596378,0.8719779683806573,0.08189846796617287,0.0,0.0,0.08570940605841007,0.29349814211927444
historicalRole,0.000822701422923941,0.12479707623518986,0.07437548971565411,0.050025667711514024,0.003365465270570994,0.21677025811632533,0.2948713488836436,0.07527485016872973,0.21677025811632578,0.008823694686423439,0.03826271170839751,0.05701344210383842,0.006944890119853581,0.07259296973546436,0.163309045871145,0.16637799208195064,0.14764771305177346,0.13767423674820004,0.1533136435486654,0.12449145887425109,0.08446780210122548,0.00882369468642348,0.0979637801046577,0.0563899048653954,0.06260046333706852,0.1570462744953737,0.1541999102409774,0.06655282060230502,0.08784445186102105,0.08291664814986127,0.06116647806848089,0.10213818842613939,0.1809909964259686,0.08355719521524196,0.1723272489736313,0.0016575985456924874,0.0,0.0,0.0016575985456924874,0.0069448901198535945
historicalRoleMixin,0.05449732345575144,0.10868220762829611,0.04675170494289247,0.03503444089742605,0.002505058503977392,0.15551571958921004,0.07527485016872973,0.20193595713856666,0.0997758893377626,0.00656529880392176,0.025629229159011398,0.018842930342013682,0.09792896462664971,0.030868976022527805,0.044024100010672494,0.11897656265387294,0.06815470831805295,0.10848227068914038,0.04085297911175906,0.09236252396664149,0.14717107715531558,0.026753744425753123,0.038883746958353956,0.002505058503977406,0.07939185722855577,0.13145674255572332,0.016984659634419676,0.07730068205632667,0.1286207547316827,0.15551571958920996,0.08388241616824427,0.04963679989259632,0.10623030343351514,0.04822267127745695,0.147171077155316,0.03538331377045251,0.0,0.0,0.054908586462281944,0.005168074487571825
kind,0.028236261867095915,0.9638666709816724,0.4043440507279135,0.4321753049017613,0.1786946630008634,0.8131485021272129,0.21677025811632578,0.0997758893377626,2.710577882912479,0.14098802639708286,0.6756637807000302,0.7057737069520624,0.20349365484460158,0.7173157156635572,0.14454009400460427,1.0188286900335985,1.1543851874982707,0.6441750960956785,0.3915706775936882,1.4865223590402739,0.42173758540632,0.2345780560547997,1.0387557443099693,0.18030351653793103,0.7273313663992711,0.32562516735250197,0.4824540392379838,0.4780003001341231,0.31077971714172237,0.4018652205639756,0.2759923931976985,0.8583598646877003,1.0648159960928594,0.364989971425903,0.5765489764939403,0.05783949093268653,0.0,0.0,0.07037679070891263,0.1770071975467522
mixin,0.0021545400736941167,0.11580038390462509,0.032472479807414516,0.06714757451413392,0.008823694686423439,0.07782279564694351,0.008823694686423439,0.00656529880392176,0.14098802639708286,0.47697378677187086,0.11522609294716823,0.15564205133394607,0.026396628957666035,0.17777216978731247,0.01111897553219253,0.18757449090108474,0.20029284957808033,0.10606956152569207,0.024429836684906704,0.2369333089069305,0.04842739830923042,0.018659596316857964,0.20552309043425354,0.060450145165339655,0.15063941143521975,0.024429836684906704,0.05632187519670979,0.07732445489539572,0.07070702218784779,0.053010134673337005,0.07870940304047905,0.15287577990655307,0.23442635976204806,0.03678348504996138,0.09590089327231308,0.00434261871250638,0.0,0.0,0.00434261871250638,0.019026936791968187
