stereotype,total_correlation,rank
category,4.217895219097556,11
datatype,2.148566196053287,21
event,5.125046239601543,5
kind,5.507687223883608,4
mode,3.741987174191959,16
phase,3.315555993696968,19
quality,3.8131625674819163,15
relator,4.499622179039159,10
role,4.066999976957758,12
roleMixin,4.037739343914059,13
situation,4.834099688308711,7
subkind,3.716546211170889,17
type,6.366881306015813,1
characterization,4.8861462753646405,6
componentOf,4.029227149583684,14
derivation,3.1504485489703766,20
externalDependence,4.828807620668093,8
instantiation,6.290108617678143,2
material,3.6062159332493393,18
mediation,4.6021774093818415,9
participation,5.678869864493139,3
