Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index,Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
abstract,1,0.014084507042253521,1,0.014084507042253521,0.00018365472910927456,0.0010940919037199124
category,206,2.9014084507042255,49,0.6901408450704225,0.03783287419651056,0.053610503282275714
collective,33,0.4647887323943662,18,0.2535211267605634,0.006060606060606061,0.019693654266958426
datatype,64,0.9014084507042254,17,0.23943661971830985,0.011753902662993572,0.018599562363238512
enumeration,38,0.5352112676056338,4,0.056338028169014086,0.006978879706152434,0.00437636761487965
event,187,2.6338028169014085,32,0.4507042253521127,0.03434343434343434,0.0350109409190372
historicalRole,23,0.323943661971831,4,0.056338028169014086,0.004224058769513315,0.00437636761487965
historicalRoleMixin,9,0.1267605633802817,3,0.04225352112676056,0.001652892561983471,0.0032822757111597373
kind,480,6.76056338028169,61,0.8591549295774648,0.0881542699724518,0.06673960612691467
mixin,12,0.16901408450704225,10,0.14084507042253522,0.0022038567493112946,0.010940919037199124
mode,124,1.7464788732394365,34,0.4788732394366197,0.022773186409550047,0.037199124726477024
phase,143,2.0140845070422535,25,0.352112676056338,0.026262626262626262,0.02735229759299781
phaseMixin,20,0.28169014084507044,8,0.11267605633802817,0.0036730945821854912,0.0087527352297593
quality,131,1.8450704225352113,32,0.4507042253521127,0.024058769513314968,0.0350109409190372
quantity,6,0.08450704225352113,5,0.07042253521126761,0.0011019283746556473,0.005470459518599562
relator,218,3.0704225352112675,56,0.7887323943661971,0.04003673094582186,0.061269146608315096
role,284,4.0,48,0.676056338028169,0.052157943067033974,0.0525164113785558
roleMixin,171,2.408450704225352,29,0.4084507042253521,0.03140495867768595,0.03172866520787746
situation,56,0.7887323943661971,14,0.19718309859154928,0.010284664830119375,0.015317286652078774
subkind,503,7.084507042253521,52,0.7323943661971831,0.09237832874196511,0.05689277899343545
type,66,0.9295774647887324,16,0.22535211267605634,0.012121212121212121,0.0175054704595186
none_c,64,0.9014084507042254,10,0.14084507042253522,0.011753902662993572,0.010940919037199124
other_c,40,0.5633802816901409,9,0.1267605633802817,0.0073461891643709825,0.009846827133479213
bringsAbout,23,0.323943661971831,10,0.14084507042253522,0.004224058769513315,0.010940919037199124
characterization,260,3.6619718309859155,45,0.6338028169014085,0.047750229568411386,0.04923413566739606
comparative,13,0.18309859154929578,4,0.056338028169014086,0.0023875114784205694,0.00437636761487965
componentOf,117,1.647887323943662,22,0.30985915492957744,0.021487603305785124,0.024070021881838075
creation,34,0.4788732394366197,14,0.19718309859154928,0.006244260789715335,0.015317286652078774
derivation,52,0.7323943661971831,23,0.323943661971831,0.009550045913682277,0.02516411378555799
externalDependence,63,0.8873239436619719,18,0.2535211267605634,0.011570247933884297,0.019693654266958426
historicalDependence,30,0.4225352112676056,13,0.18309859154929578,0.005509641873278237,0.014223194748358862
instantiation,61,0.8591549295774648,14,0.19718309859154928,0.011202938475665749,0.015317286652078774
manifestation,31,0.43661971830985913,11,0.15492957746478872,0.005693296602387512,0.012035010940919038
material,225,3.1690140845070425,29,0.4084507042253521,0.04132231404958678,0.03172866520787746
mediation,365,5.140845070422535,48,0.676056338028169,0.06703397612488522,0.0525164113785558
memberOf,36,0.5070422535211268,14,0.19718309859154928,0.006611570247933884,0.015317286652078774
participation,101,1.4225352112676057,22,0.30985915492957744,0.01854912764003673,0.024070021881838075
participational,2,0.028169014084507043,2,0.028169014084507043,0.0003673094582185491,0.002188183807439825
subCollectionOf,0,0.0,0,0.0,0.0,0.0
subQuantityOf,0,0.0,0,0.0,0.0,0.0
termination,3,0.04225352112676056,2,0.028169014084507043,0.0005509641873278236,0.002188183807439825
triggers,13,0.18309859154929578,8,0.11267605633802817,0.0023875114784205694,0.0087527352297593
none_r,1014,14.28169014084507,61,0.8591549295774648,0.18622589531680442,0.06673960612691467
other_r,123,1.732394366197183,17,0.23943661971830985,0.022589531680440773,0.018599562363238512
