Stereotype,category,datatype,event,kind,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,none_c,characterization,componentOf,externalDependence,instantiation,material,mediation,participation,none_r,other_r
category,1.0,0.1737170693494679,0.12608051273365567,0.02490788528479557,0.25720429890439744,-0.2747100405717694,0.26931679849869083,-0.15546116824955628,-0.24500730469546123,0.21032761796553048,0.2836981914167497,0.0841738179268186,0.37742540648595435,0.12169233224391511,0.39602119474847935,0.28055929961273013,0.1678505711505371,0.304481125333591,0.08958251005035416,-0.1672452662735611,0.17115456928693829,0.14458286260300476,-0.12567326263714357
datatype,0.1737170693494679,1.0,0.09711668628005711,0.05517578249693359,-0.08045221420243387,-0.04406859887199481,0.11912571773643553,-0.08473526068122547,-0.2315838070068567,-0.042815086812384426,0.16784692796365555,-0.0041667882934784215,0.10699202366574824,0.1507012402958561,-0.10381061073201929,0.1560245227619136,-0.05551092635084325,0.08409232014049312,0.04895164460943644,-0.0030618058516520253,0.09249241015296603,-0.011861795087826957,-0.06964995353990737
event,0.12608051273365567,0.09711668628005711,1.0,-0.2612253718620451,0.15579100140815727,0.03517921623050998,0.1625816436827522,0.0024653970711128134,-0.19873838449719824,0.3001749324269061,0.5423423372666527,-0.08578311740917446,0.3858218328712852,0.02162341037775417,0.23473443276949402,-0.01927379030360721,0.3147408486028947,0.3947637912939685,-0.04131344555378951,-0.06367151868642808,0.7406088816083285,0.07322800338281603,0.23479020941215767
kind,0.02490788528479557,0.05517578249693359,-0.2612253718620451,1.0,0.00038232507911349883,0.26186830768758496,0.15462713016169755,0.38737710282877197,0.26953218734218987,-0.259940591006207,-0.22036064970269129,0.5316050448921623,-0.2852924020037926,-0.07079142603055295,-0.08772602075121233,0.3998343567437147,-0.26241740509392225,-0.21850334671193908,0.25888027765294674,0.22266581303684954,-0.31059068815642665,0.09675659310051134,-0.03523330569925337
mode,0.25720429890439744,-0.08045221420243387,0.15579100140815727,0.00038232507911349883,1.0,-0.021371655527674435,0.25109844021213334,0.047881914906138454,0.11826515166278431,0.09626697711492459,-0.09134092924108823,0.12028303516527052,0.23864410423925403,0.09021917031997473,0.6084644641303384,0.20673651095999732,0.3922479202642414,0.2047543118509953,0.11660070523646889,0.1438296867594902,0.04453244103838253,0.015337837113012525,-0.0054117661749152135
phase,-0.2747100405717694,-0.04406859887199481,0.03517921623050998,0.26186830768758496,-0.021371655527674435,1.0,0.0816684206738898,0.27476746026520144,0.3071508060572778,-0.10561489387804913,-0.10877164212289166,0.31109608418627405,-0.10799224056585448,-0.15950843877991394,-0.034139237770808746,0.15214770635893315,-0.15180233714201785,-0.05616698421347712,0.13426056425102093,0.2906223265870806,-0.13953494085858864,-0.18662455157212687,0.0052585542902906
quality,0.26931679849869083,0.11912571773643553,0.1625816436827522,0.15462713016169755,0.25109844021213334,0.0816684206738898,1.0,0.15550763103345835,0.0345069347575343,0.051339307206845146,0.1780785550800302,0.32872502540445914,0.1363913720202951,0.2543208123735237,0.6033904929749471,0.13780789444973032,0.05595723762646586,0.16084800345105285,0.10990728518635824,0.10357922093950553,0.18638635839724563,-0.08291601883501368,-0.10841088775133693
relator,-0.15546116824955628,-0.08473526068122547,0.0024653970711128134,0.38737710282877197,0.047881914906138454,0.27476746026520144,0.15550763103345835,1.0,0.39017051135512554,0.14398136118560242,-0.23015965486963982,0.3452661497121996,-0.008020382606713493,-0.10323616668727256,0.11826302439630088,0.3588414901400936,0.04501825909214872,0.01972249286236041,0.19756315016959014,0.8023518968482378,-0.09296054629875934,-0.10007819434732607,0.082020559605423
role,-0.24500730469546123,-0.2315838070068567,-0.19873838449719824,0.26953218734218987,0.11826515166278431,0.3071508060572778,0.0345069347575343,0.39017051135512554,1.0,-0.015836285417061488,-0.2480462208764662,0.11174425014957845,-0.2247466387719817,-0.09581041077105923,0.02273187414699907,0.10509287727353181,0.09283681620189323,-0.208490803012731,0.02260311255086426,0.4187374620065975,-0.3592014157198441,-0.0994998814797163,-0.1043616502657409
roleMixin,0.21032761796553048,-0.042815086812384426,0.3001749324269061,-0.259940591006207,0.09626697711492459,-0.10561489387804913,0.051339307206845146,0.14398136118560242,-0.015836285417061488,1.0,0.22510794346302188,-0.14218440306742372,0.4105946605396519,0.04786255299138845,0.22461407312839884,0.0712222562105686,0.42002681434707545,0.43483388867199524,-0.026912453843758306,0.13084350912851397,0.254695103864792,0.09374253838254828,0.12735531479822862
