Stereotype Pair,Jaccard Similarity,Dice Coefficient
"('bringsAbout', 'characterization')",0.1956521739130435,0.32727272727272727
"('bringsAbout', 'comparative')",0.16666666666666666,0.2857142857142857
"('bringsAbout', 'componentOf')",0.14285714285714285,0.25
"('bringsAbout', 'creation')",0.14285714285714285,0.25
"('bringsAbout', 'derivation')",0.1,0.18181818181818182
"('bringsAbout', 'externalDependence')",0.16666666666666666,0.2857142857142857
"('bringsAbout', 'historicalDependence')",0.2777777777777778,0.43478260869565216
"('bringsAbout', 'instantiation')",0.2,0.3333333333333333
"('bringsAbout', 'manifestation')",0.23529411764705882,0.38095238095238093
"('bringsAbout', 'material')",0.18181818181818182,0.3076923076923077
"('bringsAbout', 'mediation')",0.07407407407407407,0.13793103448275862
"('bringsAbout', 'memberOf')",0.043478260869565216,0.08333333333333333
"('bringsAbout', 'participation')",0.391304347826087,0.5625
"('bringsAbout', 'participational')",0.09090909090909091,0.16666666666666666
"('bringsAbout', 'subCollectionOf')",0.0,0.0
"('bringsAbout', 'subQuantityOf')",0.0,0.0
"('bringsAbout', 'termination')",0.09090909090909091,0.16666666666666666
"('bringsAbout', 'triggers')",0.5,0.6666666666666666
"('characterization', 'comparative')",0.0425531914893617,0.08163265306122448
"('characterization', 'componentOf')",0.3958333333333333,0.5671641791044776
"('characterization', 'creation')",0.18,0.3050847457627119
"('characterization', 'derivation')",0.25925925925925924,0.4117647058823529
"('characterization', 'externalDependence')",0.3404255319148936,0.5079365079365079
"('characterization', 'historicalDependence')",0.20833333333333334,0.3448275862068966
"('characterization', 'instantiation')",0.2553191489361702,0.4067796610169492
"('characterization', 'manifestation')",0.21739130434782608,0.35714285714285715
"('characterization', 'material')",0.4230769230769231,0.5945945945945946
"('characterization', 'mediation')",0.576271186440678,0.7311827956989247
"('characterization', 'memberOf')",0.20408163265306123,0.3389830508474576
"('characterization', 'participation')",0.34,0.5074626865671642
"('characterization', 'participational')",0.021739130434782608,0.0425531914893617
"('characterization', 'subCollectionOf')",0.0,0.0
"('characterization', 'subQuantityOf')",0.0,0.0
"('characterization', 'termination')",0.0,0.0
"('characterization', 'triggers')",0.17777777777777778,0.3018867924528302
"('comparative', 'componentOf')",0.13043478260869565,0.23076923076923078
"('comparative', 'creation')",0.125,0.2222222222222222
"('comparative', 'derivation')",0.08,0.14814814814814814
"('comparative', 'externalDependence')",0.0,0.0
"('comparative', 'historicalDependence')",0.13333333333333333,0.23529411764705882
"('comparative', 'instantiation')",0.0,0.0
"('comparative', 'manifestation')",0.07142857142857142,0.13333333333333333
"('comparative', 'material')",0.13793103448275862,0.24242424242424243
"('comparative', 'mediation')",0.08333333333333333,0.15384615384615385
"('comparative', 'memberOf')",0.125,0.2222222222222222
"('comparative', 'participation')",0.13043478260869565,0.23076923076923078
"('comparative', 'participational')",0.0,0.0
"('comparative', 'subCollectionOf')",0.0,0.0
"('comparative', 'subQuantityOf')",0.0,0.0
"('comparative', 'termination')",0.2,0.3333333333333333
"('comparative', 'triggers')",0.0,0.0
"('componentOf', 'creation')",0.16129032258064516,0.2777777777777778
"('componentOf', 'derivation')",0.125,0.2222222222222222
"('componentOf', 'externalDependence')",0.17647058823529413,0.3
"('componentOf', 'historicalDependence')",0.20689655172413793,0.34285714285714286
"('componentOf', 'instantiation')",0.2857142857142857,0.4444444444444444
"('componentOf', 'manifestation')",0.2692307692307692,0.42424242424242425
"('componentOf', 'material')",0.3076923076923077,0.47058823529411764
"('componentOf', 'mediation')",0.32075471698113206,0.4857142857142857
"('componentOf', 'memberOf')",0.2857142857142857,0.4444444444444444
"('componentOf', 'participation')",0.1891891891891892,0.3181818181818182
"('componentOf', 'participational')",0.0,0.0
"('componentOf', 'subCollectionOf')",0.0,0.0
"('componentOf', 'subQuantityOf')",0.0,0.0
"('componentOf', 'termination')",0.043478260869565216,0.08333333333333333
"('componentOf', 'triggers')",0.034482758620689655,0.06666666666666667
"('creation', 'derivation')",0.15625,0.2702702702702703
"('creation', 'externalDependence')",0.23076923076923078,0.375
"('creation', 'historicalDependence')",0.2857142857142857,0.4444444444444444
"('creation', 'instantiation')",0.3333333333333333,0.5
"('creation', 'manifestation')",0.3157894736842105,0.48
"('creation', 'material')",0.13157894736842105,0.23255813953488372
"('creation', 'mediation')",0.19230769230769232,0.3225806451612903
"('creation', 'memberOf')",0.21739130434782608,0.35714285714285715
"('creation', 'participation')",0.5652173913043478,0.7222222222222222
"('creation', 'participational')",0.06666666666666667,0.125
"('creation', 'subCollectionOf')",0.0,0.0
"('creation', 'subQuantityOf')",0.0,0.0
"('creation', 'termination')",0.14285714285714285,0.25
"('creation', 'triggers')",0.047619047619047616,0.09090909090909091
"('derivation', 'externalDependence')",0.10810810810810811,0.1951219512195122
"('derivation', 'historicalDependence')",0.058823529411764705,0.1111111111111111
"('derivation', 'instantiation')",0.05714285714285714,0.10810810810810811
"('derivation', 'manifestation')",0.030303030303030304,0.058823529411764705
"('derivation', 'material')",0.4857142857142857,0.6538461538461539
"('derivation', 'mediation')",0.4489795918367347,0.6197183098591549
"('derivation', 'memberOf')",0.23333333333333334,0.3783783783783784
"('derivation', 'participation')",0.15384615384615385,0.26666666666666666
"('derivation', 'participational')",0.0,0.0
"('derivation', 'subCollectionOf')",0.0,0.0
"('derivation', 'subQuantityOf')",0.0,0.0
"('derivation', 'termination')",0.041666666666666664,0.08
"('derivation', 'triggers')",0.14814814814814814,0.25806451612903225
"('externalDependence', 'historicalDependence')",0.2916666666666667,0.45161290322580644
"('externalDependence', 'instantiation')",0.45454545454545453,0.625
"('externalDependence', 'manifestation')",0.3181818181818182,0.4827586206896552
"('externalDependence', 'material')",0.06818181818181818,0.1276595744680851
"('externalDependence', 'mediation')",0.2222222222222222,0.36363636363636365
"('externalDependence', 'memberOf')",0.18518518518518517,0.3125
"('externalDependence', 'participation')",0.2903225806451613,0.45
"('externalDependence', 'participational')",0.1111111111111111,0.2
"('externalDependence', 'subCollectionOf')",0.0,0.0
"('externalDependence', 'subQuantityOf')",0.0,0.0
"('externalDependence', 'termination')",0.05263157894736842,0.1
"('externalDependence', 'triggers')",0.18181818181818182,0.3076923076923077
"('historicalDependence', 'instantiation')",0.42105263157894735,0.5925925925925926
"('historicalDependence', 'manifestation')",0.4117647058823529,0.5833333333333334
"('historicalDependence', 'material')",0.13513513513513514,0.23809523809523808
"('historicalDependence', 'mediation')",0.17307692307692307,0.29508196721311475
"('historicalDependence', 'memberOf')",0.17391304347826086,0.2962962962962963
"('historicalDependence', 'participation')",0.4,0.5714285714285714
"('historicalDependence', 'participational')",0.15384615384615385,0.26666666666666666
"('historicalDependence', 'subCollectionOf')",0.0,0.0
"('historicalDependence', 'subQuantityOf')",0.0,0.0
"('historicalDependence', 'termination')",0.07142857142857142,0.13333333333333333
"('historicalDependence', 'triggers')",0.23529411764705882,0.38095238095238093
"('instantiation', 'manifestation')",0.6666666666666666,0.8
"('instantiation', 'material')",0.075,0.13953488372093023
"('instantiation', 'mediation')",0.14814814814814814,0.25806451612903225
"('instantiation', 'memberOf')",0.12,0.21428571428571427
"('instantiation', 'participation')",0.38461538461538464,0.5555555555555556
"('instantiation', 'participational')",0.06666666666666667,0.125
"('instantiation', 'subCollectionOf')",0.0,0.0
"('instantiation', 'subQuantityOf')",0.0,0.0
"('instantiation', 'termination')",0.06666666666666667,0.125
"('instantiation', 'triggers')",0.15789473684210525,0.2727272727272727
"('manifestation', 'material')",0.08108108108108109,0.15
"('manifestation', 'mediation')",0.11320754716981132,0.2033898305084746
"('manifestation', 'memberOf')",0.13636363636363635,0.24
"('manifestation', 'participation')",0.375,0.5454545454545454
"('manifestation', 'participational')",0.0,0.0
"('manifestation', 'subCollectionOf')",0.0,0.0
"('manifestation', 'subQuantityOf')",0.0,0.0
"('manifestation', 'termination')",0.0,0.0
"('manifestation', 'triggers')",0.1875,0.3157894736842105
"('material', 'mediation')",0.5098039215686274,0.6753246753246753
"('material', 'memberOf')",0.2647058823529412,0.4186046511627907
"('material', 'participation')",0.18604651162790697,0.3137254901960784
"('material', 'participational')",0.0,0.0
"('material', 'subCollectionOf')",0.0,0.0
"('material', 'subQuantityOf')",0.0,0.0
"('material', 'termination')",0.03333333333333333,0.06451612903225806
"('material', 'triggers')",0.12121212121212122,0.21621621621621623
"('mediation', 'memberOf')",0.2916666666666667,0.45161290322580644
"('mediation', 'participation')",0.25,0.4
"('mediation', 'participational')",0.02040816326530612,0.04
"('mediation', 'subCollectionOf')",0.0,0.0
"('mediation', 'subQuantityOf')",0.0,0.0
"('mediation', 'termination')",0.02040816326530612,0.04
"('mediation', 'triggers')",0.07692307692307693,0.14285714285714285
"('memberOf', 'participation')",0.2,0.3333333333333333
"('memberOf', 'participational')",0.0,0.0
"('memberOf', 'subCollectionOf')",0.0,0.0
"('memberOf', 'subQuantityOf')",0.0,0.0
"('memberOf', 'termination')",0.06666666666666667,0.125
"('memberOf', 'triggers')",0.0,0.0
"('participation', 'participational')",0.09090909090909091,0.16666666666666666
"('participation', 'subCollectionOf')",0.0,0.0
"('participation', 'subQuantityOf')",0.0,0.0
"('participation', 'termination')",0.09090909090909091,0.16666666666666666
"('participation', 'triggers')",0.25,0.4
"('participational', 'subCollectionOf')",0.0,0.0
"('participational', 'subQuantityOf')",0.0,0.0
"('participational', 'termination')",0.3333333333333333,0.5
"('participational', 'triggers')",0.1111111111111111,0.2
"('subCollectionOf', 'subQuantityOf')",0.0,0.0
"('subCollectionOf', 'termination')",0.0,0.0
"('subCollectionOf', 'triggers')",0.0,0.0
"('subQuantityOf', 'termination')",0.0,0.0
"('subQuantityOf', 'triggers')",0.0,0.0
"('termination', 'triggers')",0.0,0.0
