Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.5374123148869836,2,0.2891246684350133
20.0,4,0.7264224473889321,4,0.4854111405835544
30.0,6,0.8199532346063912,6,0.6047745358090185
40.0,8,0.8838659392049883,8,0.7108753315649867
50.0,10,0.9279033515198752,10,0.7931034482758621
60.0,12,0.9551831644583009,12,0.8673740053050398
70.0,14,0.9789555728760717,14,0.9310344827586207
80.0,16,0.9929851909586905,16,0.9787798408488063
90.0,18,0.9992205767731879,18,0.9946949602122016
100.0,21,1.0,21,1.0
