Stereotype,x_value,y_value,distance_from_origin,rank,quadrant
bringsAbout,0.008963367108339828,0.14084507042253522,0.1411299961462756,15,Q3
characterization,0.10132501948558068,0.6338028169014085,0.6418510499219532,3,Q1
comparative,0.005066250974279034,0.056338028169014086,0.05656536322615641,17,Q3
componentOf,0.045596258768511304,0.30985915492957744,0.31319596853624554,6,Q1
creation,0.013250194855806703,0.19718309859154928,0.19762778659358984,12,Q2
derivation,0.020265003897116135,0.323943661971831,0.3245769038528004,5,Q1
externalDependence,0.024551831644583008,0.2535211267605634,0.254707192970771,8,Q1
historicalDependence,0.011691348402182385,0.18309859154929578,0.18347147422636867,13,Q3
instantiation,0.02377240841777085,0.19718309859154928,0.19861093064619065,10,Q1
manifestation,0.012081060015588464,0.15492957746478872,0.1553998905550394,14,Q3
material,0.08768511301636789,0.4084507042253521,0.4177566957295589,4,Q1
mediation,0.142244738893219,0.676056338028169,0.690858696066611,2,Q1
memberOf,0.014029618082618862,0.19718309859154928,0.1976815736322149,11,Q1
participation,0.03936087295401403,0.30985915492957744,0.3123491223188788,7,Q1
participational,0.000779423226812159,0.028169014084507043,0.028179795156452973,19,Q3
subCollectionOf,0.0,0.0,0.0,20,Q3
subQuantityOf,0.0,0.0,0.0,20,Q3
termination,0.0011691348402182386,0.028169014084507043,0.02819326569888221,18,Q3
triggers,0.005066250974279034,0.11267605633802817,0.11278989569471586,16,Q3
none,0.3951675759937646,0.8591549295774648,0.9456767979251929,1,Q1
other,0.04793452844894778,0.23943661971830985,0.2441876611947326,9,Q1
