Stereotype,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,none,other
characterization,1.0,0.26638838530773584,0.020235902183138397,0.05911279166490187,0.3384570248010292,0.1639344385476764,0.25158851058193993,0.29745822398095373,0.19641568931441797,0.16646144046325664,0.03260992481873853,0.20036455947228518,0.03156770578868528,0.008134218866867571
componentOf,0.26638838530773584,1.0,0.04821864588424485,0.13244605439686333,0.04176621127322988,0.12707061143827797,0.26265133730911366,0.2639126230641688,0.22122671037635705,0.1933609615720551,0.27544879320050747,0.00625968401293258,0.03272949809643915,0.031976632449147675
creation,0.020235902183138397,0.04821864588424485,1.0,0.038055380710761796,0.1882760308640026,0.31229880790162484,0.3666154224864604,0.3853940084829119,0.04252599260004516,0.06765762488595109,0.1959768803178485,0.650025132811158,0.06462715688318367,0.05290904666404091
derivation,0.05911279166490187,0.13244605439686333,0.038055380710761796,1.0,0.1213312644011185,0.16674790240112172,0.19937195477034358,0.21854317876352045,0.3983315099020742,0.3277657069864312,0.1678347417893591,0.0851228542530031,0.08757270429842996,0.24809175645456233
externalDependence,0.3384570248010292,0.04176621127322988,0.1882760308640026,0.1213312644011185,1.0,0.3043141751099163,0.5033460296912488,0.38784055734144673,0.2899323615723586,0.024047670119255692,0.12123353639101704,0.23550210239692349,0.04816111323058892,0.11294579034512892
historicalDependence,0.1639344385476764,0.12707061143827797,0.31229880790162484,0.16674790240112172,0.3043141751099163,1.0,0.512904798701356,0.5043496603300927,0.006333553447567901,0.023798048882707312,0.12581752399745255,0.5082285791050772,0.1278235457000751,0.0009796962161660954
instantiation,0.25158851058193993,0.26265133730911366,0.3666154224864604,0.19937195477034358,0.5033460296912488,0.512904798701356,1.0,0.7666752562293353,0.17852350996799682,0.060245922110852966,0.024646667141927384,0.45842139226939776,0.09145079431958351,0.20301040788612346
manifestation,0.29745822398095373,0.2639126230641688,0.3853940084829119,0.21854317876352045,0.38784055734144673,0.5043496603300927,0.7666752562293353,1.0,0.11583205558868263,0.02390448815340245,0.06702201927862404,0.5151725091835129,0.03688936392461841,0.30008978697110184
material,0.19641568931441797,0.22122671037635705,0.04252599260004516,0.3983315099020742,0.2899323615723586,0.006333553447567901,0.17852350996799682,0.11583205558868263,1.0,0.358453116983724,0.22096788040671503,0.05691722242935305,0.2374572034086286,0.09870417780134091
mediation,0.16646144046325664,0.1933609615720551,0.06765762488595109,0.3277657069864312,0.024047670119255692,0.023798048882707312,0.060245922110852966,0.02390448815340245,0.358453116983724,1.0,0.35478295410008626,0.07626486602162112,0.1782655840617046,0.13197498302034008
memberOf,0.03260992481873853,0.27544879320050747,0.1959768803178485,0.1678347417893591,0.12123353639101704,0.12581752399745255,0.024646667141927384,0.06702201927862404,0.22096788040671503,0.35478295410008626,1.0,0.13407668334213813,0.028996274855697196,0.2156513546505991
participation,0.20036455947228518,0.00625968401293258,0.650025132811158,0.0851228542530031,0.23550210239692349,0.5082285791050772,0.45842139226939776,0.5151725091835129,0.05691722242935305,0.07626486602162112,0.13407668334213813,1.0,0.061488398471569894,0.13348694746353704
none,0.03156770578868528,0.03272949809643915,0.06462715688318367,0.08757270429842996,0.04816111323058892,0.1278235457000751,0.09145079431958351,0.03688936392461841,0.2374572034086286,0.1782655840617046,0.028996274855697196,0.061488398471569894,1.0,0.06291564333249332
other,0.008134218866867571,0.031976632449147675,0.05290904666404091,0.24809175645456233,0.11294579034512892,0.0009796962161660954,0.20301040788612346,0.30008978697110184,0.09870417780134091,0.13197498302034008,0.2156513546505991,0.13348694746353704,0.06291564333249332,1.0
